N	3gram	Losev_Vlad_1	Russkaja
1	то же время	4	10
2	в то же	4	10
3	в том что	7	7
4	во всяком случае	2	6
5	для того чтобы	2	6
6	более или менее	3	4
7	на то что	4	4
8	бы то ни	1	4
9	не может быть	3	4
10	к которой он	1	4
11	вместе с тем	1	3
12	и не может	1	3
13	и то что	4	3
14	в конце концов	3	3
15	а следовательно и	1	2
16	жизни и деятельности	1	2
17	в настоящее время	1	2
18	что он не	3	2
19	в значительной мере	1	2
20	все что может	1	2
21	и в том	1	2
22	и вместе с	1	2
23	о том что	7	2
24	и тем самым	1	2
25	к тому что	1	2
26	в том виде	1	1
27	из всего этого	1	1
28	что в последние	1	1
29	дело в том	4	1
30	в свою очередь	1	1
31	в самом деле	1	1
32	но даже и	2	1
33	в том же	1	1
34	мы уже знаем	1	1
35	с ним в	1	1
36	только то что	1	1
37	в этом отношении	1	1
38	никак не могла	1	1
39	что не только	1	1
40	в его жизни	1	1
41	за то что	1	1
42	именно так как	1	1
43	свидетельствуют о том	2	1
44	и в частности	2	1
45	и что в	1	1
46	можно сказать только	1	1
47	в том чтобы	2	1
48	но в то	1	1
49	то ни было	1	1
50	смысле этого слова	1	1
51	и в этом	1	1
52	указывает на то	1	1
53	в россию только	1	1
54	в связи с	1	1
55	также и то	2	1
56	это конечно не	1	1
57	что касается до	1	1
58	а во имя	1	1
59	об этом и	2	1
60	а в том	1	1
61	то что для	1	1
62	заключается в том	1	1
63	даже и в	1	1
64	это и есть	1	1
65	всех не только	1	1
66	но и для	1	1
67	в себе черты	1	1
68	тем более что	2	1
69	во имя своих	1	1
70	тем не менее	2	1
71	критическом отношении к	1	1
72	к тому же	2	1
73	и только в	1	1
