N	3gram	Savitsky_P_1	Myshleni
1	для того чтобы	1	14
2	в том что	4	11
3	с точки зрения	3	9
4	так же как	1	7
5	в известном смысле	1	7
6	друг с другом	1	7
7	по сравнению с	1	5
8	заключается в том	2	5
9	с одной стороны	3	3
10	не может быть	1	3
11	том что в	1	2
12	и не может	1	2
13	в отличие от	1	2
14	и то что	1	2
15	вместе с тем	1	2
16	и в частности	1	2
17	с другой стороны	1	2
18	само по себе	1	2
19	именно потому что	1	2
20	и тем более	1	2
21	в том виде	1	1
22	или хотя бы	1	1
23	что в этом	1	1
24	более или менее	1	1
25	в этом смысле	1	1
26	в том числе	2	1
27	одной стороны и	2	1
28	и в какой	1	1
29	в собственном смысле	1	1
30	том числе и	1	1
31	в применении к	1	1
32	исключительно в пределах	1	1
33	и тем самым	1	1
34	во всяком случае	1	1
35	в полной мере	2	1
36	не было бы	1	1
37	тем и другим	1	1
38	но в этом	1	1
39	мы знаем что	1	1
40	в то же	7	1
41	что уже в	1	1
42	к этой последней	1	1
