N	3gram	Trubetskoy_1	VelikijI
1	за то что	1	3
2	к тому что	2	3
3	а между тем	5	2
4	а с ним	1	2
5	по этому пути	1	2
6	в том что	7	2
7	но все же	1	1
8	тем чтобы сделать	1	1
9	никогда не было	1	1
10	то ни стало	3	1
11	и во всяком	2	1
12	во что бы	3	1
13	во всем мире	1	1
14	и то и	1	1
15	к богу и	1	1
16	с тем чтобы	3	1
17	бы то ни	4	1
18	по крайней мере	1	1
19	то и другое	1	1
20	вместе с тем	3	1
21	есть то что	1	1
22	и в жизни	1	1
23	что бы то	3	1
24	в конце концов	3	1
25	и в этом	1	1
26	тем что они	1	1
27	и вместе с	2	1
28	самого себя и	3	1
29	и что в	1	1
