N	3gram	Berdyaev_O_1	Literetu
1	в том что	1	11
2	прежде всего в	1	3
3	и прежде всего	1	3
4	все та же	1	2
5	в этом отношении	1	2
6	и то что	1	2
7	в виду не	1	2
8	во всяком случае	1	2
9	о том что	1	2
10	в другом месте	1	1
11	может быть назван	1	1
12	как например в	1	1
13	в частности может	1	1
14	а не в	2	1
15	на то что	1	1
16	у достоевского всегда	1	1
17	так и не	1	1
18	в своей глубине	1	1
19	а не только	1	1
20	преступления и наказания	1	1
21	в самом деле	1	1
22	и в этом	2	1
23	не в силах	1	1
24	не может быть	2	1
25	это должно быть	1	1
26	в россии в	1	1
27	нет ничего кроме	2	1
28	никогда и нигде	1	1
29	в русской и	1	1
30	во имя свободы	1	1
31	может быть он	1	1
