N	2gram	Medvedev_F_1	Analitik
1	литературного произведения	4	41
2	может быть	14	29
3	в том	6	27
4	не может	16	22
5	и не	20	21
6	в частности	4	19
7	и в	24	18
8	но и	7	17
9	а не	10	17
10	отнюдь не	6	15
11	не только	7	15
12	тогда как	1	14
13	не в	8	14
14	в этом	15	13
15	как и	11	13
16	в его	23	13
17	при этом	5	12
18	том что	1	12
19	литературное произведение	10	12
20	в себе	3	11
21	состоит в	1	11
22	произведения в	8	11
23	но не	3	10
24	художественного целого	2	10
25	то же	10	9
26	в то	9	9
27	а в	6	9
28	произведение искусства	2	9
29	в мире	4	8
30	текста и	1	8
31	но в	5	8
32	в той	1	8
33	не есть	2	8
34	том чтобы	2	7
35	произведения как	2	7
36	тем самым	3	7
37	к тому	3	7
38	художественного восприятия	2	7
39	этого слова	3	7
40	особого рода	1	7
41	по отношению	4	6
42	отличие от	1	6
43	в самом	5	6
44	на наш	1	6
45	это не	2	6
46	далеко не	1	6
47	точки зрения	16	6
48	в своей	11	6
49	в отличие	1	6
50	в основе	3	6
51	по своей	1	6
52	должен быть	5	6
53	же время	8	6
54	только в	2	6
55	себя в	1	6
56	то что	8	6
57	или иной	1	6
58	прежде всего	22	6
59	художественного произведения	23	5
60	в их	11	5
61	и на	8	5
62	и как	3	5
63	в произведении	2	5
64	в целом	6	5
65	в этой	6	5
66	внутренней речи	1	5
67	лишь в	8	5
68	и его	10	5
69	сводится к	3	5
70	между тем	2	5
71	как бы	6	5
72	художественное произведение	6	5
73	отношению к	4	5
74	и состоит	1	5
75	что в	4	5
76	целого в	1	4
77	в широком	3	4
78	все же	3	4
79	не следует	1	4
80	с другими	4	4
81	с точки	13	4
82	и более	2	4
83	по себе	5	4
84	в области	3	4
85	ни в	2	4
86	могут быть	1	4
87	так и	18	4
88	не с	2	4
89	с ним	2	4
90	в другом	1	4
91	с другой	5	4
92	искусства в	4	4
93	того что	5	4
94	уже не	2	4
95	именно в	8	4
96	данного художественного	1	4
97	вместе с	2	4
98	из которых	1	4
99	в литературе	5	4
100	как предмет	1	4
101	истории литературы	12	4
102	ни было	2	4
103	и т	12	3
104	и есть	1	3
105	между двумя	1	3
106	подхода к	2	3
107	место в	7	3
108	бы то	3	3
109	во внешнем	2	3
110	если в	1	3
111	в художественном	3	3
112	что как	1	3
113	однако не	2	3
114	вступает в	2	3
115	и к	4	3
116	в нашем	2	3
117	как он	1	3
118	в нем	14	3
119	он не	3	3
120	по природе	1	3
121	в силу	1	3
122	таким образом	13	3
123	то ни	3	3
124	бы быть	2	3
125	того или	2	3
126	смысл и	1	3
127	в котором	1	3
128	своего рода	1	3
129	того чтобы	1	3
130	т п	4	3
131	данного произведения	2	3
132	не могут	1	3
133	в состав	1	3
134	могла бы	2	3
135	если бы	4	3
136	а также	1	3
137	к нему	1	3
138	с его	4	3
139	еще не	6	3
140	вопрос об	2	3
141	с одной	4	3
142	никто не	1	3
143	что и	2	3
144	одной стороны	4	3
145	а именно	1	3
146	а с	1	3
147	что не	1	3
148	смысла и	1	3
149	более того	3	3
150	произведения искусства	3	3
151	и все	6	3
152	хотя бы	5	3
153	что он	3	3
154	своего предмета	1	3
155	о литературе	6	3
156	или иного	3	3
157	том числе	1	3
158	отношения к	6	2
159	самом деле	6	2
160	на самом	7	2
161	он может	1	2
162	науки о	2	2
163	в первом	1	2
164	едва ли	1	2
165	также и	1	2
166	той же	1	2
167	а как	2	2
168	место лишь	1	2
169	на себя	1	2
170	х годов	1	2
171	в составе	1	2
172	как совокупность	1	2
173	между собой	1	2
174	и эстетики	1	2
175	данном случае	1	2
176	на основе	6	2
177	в противовес	2	2
178	отношение к	3	2
179	произведение не	1	2
180	нет и	2	2
181	за пределы	2	2
182	без другого	1	2
183	как к	3	2
184	то в	1	2
185	в которой	4	2
186	все эти	6	2
187	из этих	1	2
188	думать что	3	2
189	и до	5	2
190	широком смысле	1	2
191	на его	2	2
192	из виду	2	2
193	какой бы	1	2
194	и по	1	2
195	на этом	1	2
196	или иных	1	2
197	произведения с	1	2
198	и с	8	2
199	на все	3	2
200	из них	1	2
201	вовсе не	10	2
202	так как	1	2
203	несмотря на	1	2
204	жизни но	2	2
205	с бытием	1	2
206	такой же	1	2
207	для него	3	2
208	отрыве от	1	2
209	при изучении	1	2
210	художественного творчества	1	2
211	не становится	1	2
212	не должен	1	2
213	к предмету	1	2
214	не столько	1	2
215	вопрос о	2	2
216	творчества и	1	2
217	том и	1	2
218	для этого	4	2
219	часть вторая	1	2
220	литературы как	3	2
221	в психике	1	2
222	в процессе	9	2
223	только не	2	2
224	никогда не	4	2
225	и является	2	2
226	потому что	1	2
227	науке о	1	2
228	в сознании	1	2
229	и заключается	2	2
230	отличается от	3	2
231	как мы	5	2
232	роль в	1	2
233	и о	1	2
234	ни одно	1	2
235	здесь не	3	2
236	в пределах	6	2
237	в искусстве	5	2
238	особенно в	3	2
239	одного из	1	2
240	еще в	2	2
241	не говоря	1	2
242	должно быть	11	2
243	и просто	1	2
244	можно сказать	1	2
245	произведения ни	1	2
246	и смыслом	1	2
247	не сводится	2	2
248	деле в	1	2
249	романа в	1	2
250	один из	3	2
251	в отрыве	1	2
252	в двух	1	2
253	который в	1	2
254	бы ни	5	2
255	в литературоведении	3	2
256	его и	2	2
257	себе в	1	2
258	сами по	2	2
259	не о	3	2
260	этом отношении	1	2
261	образом не	1	2
262	со стороны	5	2
263	было бы	6	2
264	только через	1	2
265	исторической поэтики	3	2
266	в ряду	2	2
267	мира в	2	2
268	на фоне	3	2
269	и потому	9	2
270	из возможных	2	2
271	внешнем мире	1	2
272	неотделимо от	1	2
273	как от	1	2
274	в данном	1	2
275	она есть	2	2
276	что же	1	2
277	с первой	1	2
278	и тогда	1	2
279	произведение в	3	2
280	тех или	1	2
281	не является	1	2
282	об искусстве	3	2
283	тем более	1	2
284	мире и	1	2
285	другой стороны	1	2
286	была бы	2	2
287	элементов а	1	2
288	культуры в	1	2
289	искусства является	1	2
290	себя как	1	1
291	художественном произведении	3	1
292	например в	1	1
293	мира не	1	1
294	что произведение	1	1
295	смысле слова	1	1
