N	3gram	Potebnia_M_4	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	1	7
3	с точки зрения	3	6
4	во всяком случае	3	6
5	в том числе	1	5
6	до сих пор	4	5
7	по крайней мере	5	5
8	для того чтобы	4	5
9	о том что	5	4
10	том числе и	1	4
11	и вместе с	1	4
12	так или иначе	2	3
13	главным образом в	1	3
14	точно так же	1	3
15	с течением времени	2	3
16	в связи с	1	3
17	и таким образом	3	3
18	тем не менее	4	3
19	в том что	7	3
20	в том виде	1	2
21	таким образом если	1	2
22	с тем и	2	2
23	то же самое	4	2
24	в этом отношении	1	2
25	заключает в себе	8	2
26	может быть и	1	2
27	мы должны признать	1	2
28	том виде в	1	2
29	таким образом в	1	2
30	то же время	3	2
31	ничего общего с	1	2
32	с самого начала	1	2
33	можно сказать что	4	2
34	на то что	4	2
35	в то же	3	2
36	и в этом	4	2
37	и того же	1	1
38	а между тем	4	1
39	и есть то	1	1
40	есть не более	1	1
41	всякую мысль о	1	1
42	в силу этого	1	1
43	сказать что в	1	1
44	иметь в виду	1	1
45	по отношению к	8	1
46	в настоящее время	1	1
47	одного и того	1	1
48	которой нет ничего	1	1
49	о том как	1	1
50	сказать и о	1	1
51	тем фактом что	1	1
52	не отличаются от	1	1
53	а следовательно и	1	1
54	в таком случае	2	1
55	можем составить себе	1	1
56	до известной степени	2	1
57	сами по себе	2	1
58	что все эти	1	1
59	с тем что	4	1
60	другими словами в	1	1
61	на каждом шагу	1	1
62	виде в каком	1	1
63	к которым они	1	1
64	с ними в	1	1
65	те же что	1	1
66	случае мы имеем	1	1
67	таким образом уже	1	1
68	и сами по	1	1
69	в данном случае	2	1
70	из себя как	1	1
71	в себе сознание	2	1
72	нельзя сказать чтобы	2	1
73	это однако не	1	1
74	смысле этого слова	1	1
75	но при этом	1	1
76	таком количестве чтобы	1	1
77	потому что в	3	1
78	не в том	2	1
79	таким образом при	1	1
80	а не как	1	1
81	все более и	2	1
82	к лицу с	1	1
83	друг к другу	1	1
84	не имеет никакого	1	1
85	до настоящего времени	1	1
86	с другой стороны	1	1
87	потому только что	1	1
88	с внутренней стороны	1	1
89	речь идет о	1	1
90	мы видели что	1	1
91	лицом к лицу	1	1
92	один и тот	2	1
93	в таком количестве	1	1
94	а в том	2	1
95	сих пор не	1	1
96	к ним для	1	1
97	не может быть	5	1
98	в общих чертах	2	1
99	имеющие ничего общего	1	1
100	но тем не	2	1
101	что происходит в	1	1
102	в разных местностях	1	1
103	в то время	1	1
104	нет ничего кроме	1	1
105	не имеющие ничего	1	1
106	что в том	1	1
107	в свою очередь	1	1
108	тем и другим	3	1
109	в одном из	1	1
110	не только не	3	1
111	в связь с	1	1
112	если бы человек	1	1
113	более и более	2	1
114	не более как	1	1
115	не представляется возможным	1	1
116	в виде двух	1	1
117	после того как	2	1
118	что мы можем	1	1
119	что и в	2	1
120	только тогда когда	4	1
121	и тот же	2	1
