N	2gram	Medvedev_F_2	Sotsiolo
1	истории литературы	6	10
2	все это	3	7
3	в том	11	5
4	в этом	27	5
5	развития литературы	1	4
6	метод в	4	4
7	и только	5	3
8	как же	1	3
9	для нас	1	3
10	не только	9	3
11	социологического метода	1	3
12	и в	38	3
13	но ведь	3	3
14	о литературе	3	3
15	не в	15	3
16	в его	10	3
17	за пределы	1	2
18	как только	1	2
19	но и	13	2
20	конце концов	2	2
21	и мы	1	2
22	было бы	6	2
23	к которому	1	2
24	исторической жизни	1	2
25	в смысле	1	2
26	должна быть	5	2
27	только в	6	2
28	далеко не	1	2
29	нужно было	2	2
30	в результате	6	2
31	в литературоведении	1	2
32	том что	2	2
33	как будто	1	2
34	то что	6	2
35	главным образом	3	2
36	или даже	2	2
37	литературы и	4	2
38	только как	1	2
39	ведь это	1	2
40	таким образом	20	2
41	это и	5	2
42	им не	1	2
43	в конце	2	2
44	что в	7	2
45	может быть	23	2
46	как бы	4	2
47	очевидно что	2	2
48	и заключается	1	2
49	по существу	7	2
50	то же	6	2
51	не из	1	1
52	крайней мере	1	1
53	же не	1	1
54	противном случае	1	1
55	вряд ли	2	1
56	по себе	7	1
57	даже в	2	1
58	сама по	1	1
59	эти вопросы	1	1
60	в этой	6	1
61	тому что	2	1
62	отнюдь не	8	1
63	даже не	2	1
64	этой области	1	1
65	изучения и	3	1
66	и самые	1	1
67	историко-литературной работы	1	1
68	с другой	3	1
69	его в	3	1
70	дает нам	1	1
71	литературы как	1	1
72	художественных произведений	1	1
73	ровно ничего	1	1
74	с ним	2	1
75	это не	2	1
76	науки о	2	1
77	новые и	1	1
78	на этот	1	1
79	именно в	5	1
80	в чем	2	1
81	научного исследования	1	1
82	самые приемы	1	1
83	все же	8	1
84	в противном	1	1
85	один из	2	1
86	и есть	1	1
87	перед нами	2	1
88	в то	5	1
89	принципы для	1	1
90	тем же	3	1
91	и наконец	4	1
92	только то	1	1
93	том как	1	1
94	тем что	8	1
95	следующий вывод	1	1
96	и как	3	1
97	в процессе	9	1
98	история литературы	1	1
99	что он	5	1
100	тогда и	1	1
101	прежде всего	15	1
102	литературный факт	1	1
103	произведение как	2	1
104	в них	1	1
105	так и	8	1
106	не было	6	1
107	методы и	1	1
108	одной стороны	1	1
109	те же	1	1
110	историю литературы	1	1
111	и не	20	1
112	полагает что	1	1
113	пишет он	1	1
114	научная поэтика	1	1
115	из себя	1	1
116	методологической системы	1	1
117	никогда не	2	1
118	зависит от	1	1
119	теоретической мысли	1	1
120	к вопросам	1	1
121	мы не	3	1
122	же время	5	1
123	ничего не	4	1
124	и о	2	1
125	формальный метод	10	1
126	изучения литературы	2	1
127	все эти	6	1
128	чуть ли	1	1
129	как художественный	1	1
130	именно на	3	1
131	как и	9	1
132	бы в	5	1
133	с помощью	10	1
134	для этого	2	1
135	этом не	1	1
136	в настоящее	1	1
137	мы должны	1	1
138	первый план	2	1
139	остается в	1	1
140	в сущности	4	1
141	но она	1	1
142	образом в	1	1
143	конечно не	1	1
144	в связи	10	1
145	на первый	2	1
146	и его	21	1
147	в этих	2	1
148	место в	3	1
149	связи с	13	1
150	или не	1	1
151	хотя бы	6	1
152	вступает в	1	1
153	в целом	3	1
154	от общих	3	1
155	никаких положительных	1	1
156	не может	14	1
157	в своей	7	1
158	только тогда	1	1
159	и должно	5	1
160	не от	1	1
161	а в	6	1
162	работы в	1	1
163	можно будет	2	1
164	о том	1	1
165	развиваться в	1	1
166	по самому	1	1
167	его утверждение	1	1
168	не дает	1	1
169	именно и	1	1
170	в области	3	1
171	к изучению	1	1
172	же это	2	1
173	настоящее время	1	1
174	но именно	3	1
175	в котором	2	1
176	между ними	2	1
177	точке зрения	2	1
178	из тех	1	1
179	на что	1	1
180	представляется нам	1	1
181	единства и	2	1
182	столь же	2	1
183	время в	1	1
184	всяком случае	5	1
185	изучаемого объекта	3	1
186	положительное и	1	1
187	метода как	1	1
188	где же	1	1
189	ни на	2	1
190	наука о	1	1
191	должно было	3	1
192	что это	3	1
193	литературы только	1	1
194	вовсе не	11	1
195	ли не	1	1
196	другие методы	1	1
197	на отдельные	1	1
198	с одной	1	1
199	литературе о	1	1
200	но не	2	1
201	а тем	1	1
202	подвести итоги	1	1
203	в систему	2	1
204	в виде	1	1
205	очень далеки	1	1
206	этого и	1	1
207	в данном	1	1
208	между тем	2	1
209	но как	2	1
210	и по	2	1
211	что на	2	1
212	вытекающих из	1	1
213	по крайней	1	1
214	это по	1	1
215	и более	2	1
216	и стало	1	1
217	поэта и	1	1
218	во всяком	5	1
219	приемов а	1	1
220	перейти к	1	1
221	в каждом	1	1
222	они не	4	1
