N	3gram	Voloshinov_1	Tragedij
1	то же время	1	5
2	в то же	1	5
3	и в частности	1	2
4	в данном случае	2	2
5	но в то	1	2
6	о том что	1	2
7	но все же	1	2
8	в том что	4	2
9	с первого же	1	2
10	а между тем	1	1
11	имеет в виду	3	1
12	и не может	3	1
13	и должна быть	1	1
14	сам по себе	1	1
15	но несмотря на	1	1
16	и в истории	1	1
17	это как бы	3	1
18	в виду не	1	1
19	во всяком случае	1	1
20	в высшей степени	1	1
21	и в этом	1	1
22	тем не менее	3	1
23	все же не	1	1
24	первого же взгляда	1	1
25	не может быть	7	1
26	отнюдь не является	1	1
27	она как бы	1	1
28	с самого начала	1	1
29	в самом деле	1	1
30	как и в	1	1
31	сводится только к	1	1
