N	2gram	Bakhtin_Fr_2	Tvorches
1	и в	49	20
2	в году	13	16
3	в романе	9	15
4	не только	17	13
5	никогда не	5	11
6	как бы	11	11
7	таким образом	7	10
8	в то	6	10
9	в его	18	10
10	и его	17	9
11	там же	2	9
12	же с	2	9
13	и не	15	9
14	при этом	5	8
15	и с	6	8
16	в том	3	8
17	может быть	5	8
18	в этом	15	8
19	прежде всего	19	8
20	но и	13	8
21	м с	1	7
22	то же	7	7
23	это не	1	7
24	представление о	1	7
25	же время	6	7
26	года в	1	7
27	потому что	1	7
28	не может	7	7
29	xix века	2	7
30	что в	2	7
31	в целом	1	6
32	как и	11	6
33	в своей	5	6
34	что он	3	6
35	так и	6	6
36	в конце	2	6
37	у него	2	6
38	в бытовой	1	6
39	именно в	6	6
40	а не	1	6
41	в основном	5	6
42	все это	9	6
43	например в	1	5
44	еще не	2	5
45	и на	17	5
46	но не	5	5
47	все же	7	5
48	в этой	10	5
49	и сам	1	5
50	в мире	2	5
51	то есть	32	5
52	о том	3	5
53	и даже	2	5
54	в творчестве	6	5
55	но это	2	5
56	так же	2	5
57	все эти	7	4
58	что они	2	4
59	как в	1	4
60	хотя и	2	4
61	но в	4	4
62	не в	1	4
63	в дальнейшем	2	4
64	на его	2	4
65	об этом	1	4
66	года и	1	4
67	если бы	1	4
68	первая часть	1	4
69	ничего не	2	4
70	в духе	4	4
71	в известной	4	4
72	в чем	1	4
73	в лице	1	4
74	мы видим	1	4
75	а в	4	4
76	если не	1	4
77	и потому	5	4
78	в терминах	1	4
79	и от	1	4
80	том что	4	4
81	одним из	2	3
82	человека и	3	3
83	по отношению	1	3
84	в одной	1	3
85	это был	2	3
86	отношению к	1	3
87	в себе	4	3
88	в нем	9	3
89	он не	1	3
90	в плане	3	3
91	в образе	1	3
92	так например	2	3
93	а затем	3	3
94	его в	1	3
95	в самом	3	3
96	в котором	1	3
97	в их	2	3
98	место в	3	3
99	своего рода	1	3
100	тем что	4	3
101	одна из	4	3
102	и это	3	3
103	с ним	4	3
104	до сих	4	3
105	в начале	5	3
106	для него	9	3
107	так как	6	3
108	то что	6	3
109	к роману	1	3
110	и др	9	3
111	что не	1	3
112	превращается в	3	3
113	в свете	1	3
114	вместе с	2	3
115	с этой	1	3
116	сих пор	4	3
117	один из	7	3
118	ранних стадиях	1	3
119	не является	1	3
120	жизни в	3	3
121	одной из	2	3
122	в своих	4	3
123	к этому	1	3
124	как известно	2	2
125	самом деле	1	2
126	и есть	1	2
127	по преимуществу	2	2
128	проникает в	1	2
129	он всегда	1	2
130	я не	1	2
131	и он	1	2
132	в xix	3	2
133	в ее	3	2
134	во многом	1	2
135	так что	1	2
136	в истории	6	2
137	и наконец	1	2
138	для которого	3	2
139	в которой	1	2
140	бы не	1	2
141	так сказать	1	2
142	же году	1	2
143	и по	1	2
144	по словам	2	2
145	том же	1	2
146	особенно в	2	2
147	известно что	1	2
148	к миру	1	2
149	и еще	2	2
150	в такой	1	2
151	точку зрения	2	2
152	т ii	1	2
153	их в	3	2
154	что этот	1	2
155	где нет	1	2
156	в устах	2	2
157	не менее	1	2
158	xviii века	6	2
159	как о	1	2
160	он еще	2	2
161	весь роман	2	2
162	а во	1	2
163	другой стороны	3	2
164	xix веке	3	2
165	однако это	1	2
166	и далее	1	2
167	могут быть	2	2
168	и смеха	1	2
169	так в	3	2
170	роль в	5	2
171	известной мере	3	2
172	в честь	1	2
173	всяком случае	2	2
174	в ту	2	2
175	о своих	1	2
176	в литературе	6	2
177	к которому	1	2
178	с ними	1	2
179	только в	13	2
180	наше время	1	2
181	и ее	1	2
182	точка зрения	3	2
183	и у	1	2
184	уже в	5	2
185	в виде	1	2
186	и других	3	2
187	из них	3	2
188	и скорбь	1	2
189	в одном	3	2
190	вовсе не	10	2
191	только с	3	2
192	рядом с	6	2
193	здравого смысла	2	2
194	с другой	4	2
195	не было	4	2
196	это прежде	1	2
197	на этот	1	2
198	в произведениях	2	2
199	и вообще	3	2
200	в частности	1	2
201	не знал	1	2
202	о человеке	2	2
203	на ранних	1	2
204	но прежде	3	2
205	характера в	1	2
206	в наше	1	2
207	более того	1	2
208	это уже	1	2
209	ii с	1	2
210	к самому	1	2
211	связь с	3	2
212	но если	1	2
213	и без	2	2
214	включает в	2	2
215	но эти	3	2
216	уже после	1	2
217	во всяком	2	2
218	этого романа	1	1
219	говорили о	1	1
220	вряд ли	2	1
221	кто бы	1	1
222	связана с	3	1
223	с кем	1	1
224	только потому	1	1
225	это и	2	1
226	перед лицом	2	1
227	видеть в	2	1
228	действительности и	1	1
229	этот и	1	1
230	и за	2	1
231	мы уже	6	1
232	той же	1	1
233	в литературу	1	1
234	из всех	1	1
235	г в	1	1
236	и значение	2	1
237	не делает	1	1
238	в первый	1	1
239	что уже	1	1
240	до минимума	1	1
241	со смертью	2	1
242	и стиль	1	1
243	роман в	1	1
244	не вполне	1	1
245	христа на	1	1
246	как я	1	1
247	мы и	1	1
248	и величие	1	1
249	всех сторон	1	1
250	литературы и	2	1
251	человеке которая	1	1
252	он был	2	1
253	ту эпоху	2	1
254	не был	3	1
255	это действительно	1	1
256	с его	5	1
257	во всех	6	1
258	в создании	1	1
259	зато их	1	1
260	с последними	1	1
261	воспринимался в	1	1
262	в противовес	1	1
263	почти до	1	1
264	присутствует в	1	1
265	менее всего	3	1
266	в жизни	4	1
267	отношение к	8	1
268	взятая в	1	1
269	это основная	1	1
270	им полную	1	1
271	чем же	1	1
272	средневекового человека	2	1
273	выпустил в	1	1
274	однако не	1	1
275	перед нами	1	1
276	романа но	1	1
277	и как	1	1
278	реальные исторические	1	1
279	и к	4	1
280	и событий	1	1
281	в противоположность	2	1
282	с гуманистической	1	1
283	сливается с	1	1
284	еще на	1	1
285	всего романа	1	1
286	говорили что	1	1
287	бы с	1	1
288	романа это	1	1
289	из этих	5	1
290	думать что	2	1
291	он начинает	1	1
292	с их	6	1
293	элементов в	1	1
294	смеха в	6	1
295	нами в	1	1
296	и до	4	1
297	всегда на	1	1
298	на то	2	1
299	а более	1	1
300	как победа	2	1
301	главным образом	1	1
302	на площадях	1	1
303	и эти	2	1
304	в первую	2	1
305	в силу	1	1
306	и вот	3	1
307	не теряет	1	1
308	и образах	1	1
309	в большой	1	1
310	можно было	3	1
311	жить в	1	1
312	свободой и	1	1
313	что все	1	1
314	значение в	4	1
315	и дальше	1	1
316	построенная на	1	1
317	а по	1	1
318	в будущее	1	1
319	входит в	1	1
320	того или	1	1
321	первую очередь	1	1
322	было бы	3	1
323	это одна	1	1
324	находит и	1	1
325	должен был	2	1
326	я считаю	1	1
327	самого смеха	1	1
328	и рядом	1	1
329	словам энгельса	1	1
330	ни в	3	1
331	для них	2	1
332	вводит в	1	1
333	в париже	1	1
334	в них	13	1
335	сервантеса и	1	1
336	но лишь	1	1
337	и четко	1	1
338	несмотря на	3	1
339	мы видели	3	1
340	становятся в	1	1
341	являются как	1	1
342	мы знаем	1	1
343	в развитии	1	1
344	очень важный	1	1
345	в церкви	1	1
346	для своих	1	1
347	в один	1	1
348	их на	1	1
349	не мог	1	1
350	его образ	1	1
351	лазаря в	1	1
352	в эту	5	1
353	в этих	4	1
354	в г	3	1
355	во время	12	1
356	метода в	2	1
357	в женеве	1	1
358	таким же	1	1
359	над тем	1	1
360	в глубь	1	1
361	своего имени	1	1
362	было очень	1	1
363	он дает	2	1
364	знаем что	1	1
365	направлен на	3	1
366	не учитывает	1	1
367	и народного	1	1
368	и о	4	1
369	должны были	1	1
370	множество специальных	1	1
371	смех в	3	1
372	из области	1	1
373	образом и	1	1
374	но он	6	1
375	была не	1	1
376	и более	4	1
377	важно лишь	1	1
378	любовь к	1	1
379	даже в	3	1
380	содержит в	2	1
381	автора и	2	1
382	по мере	1	1
383	вплоть до	2	1
384	суждения о	1	1
385	она не	1	1
386	с ребенком	1	1
387	на земле	3	1
