N	3gram	Nazirov_Tr_1	Vladivir
1	о том что	2	7
2	в том что	2	7
3	то что он	1	5
4	то же время	5	4
5	и то что	1	4
6	в то же	5	4
7	что он не	1	3
8	в конце концов	1	3
9	не может быть	1	3
10	и в частности	2	2
11	в году в	2	2
12	в году и	1	2
13	во всяком случае	1	2
14	тем не менее	1	2
15	том что он	1	2
16	с первого же	2	2
17	по поводу своей	1	1
18	но у него	1	1
19	сам говорит что	1	1
20	в самом деле	1	1
21	это было в	1	1
22	и не может	1	1
23	в этой борьбе	1	1
24	и в дальнейшем	2	1
25	как это часто	1	1
26	к м м	1	1
27	своего отца и	1	1
28	и все ей	1	1
29	к величайшему моему	1	1
30	но в то	2	1
31	смысле этого слова	1	1
32	в связи с	1	1
33	и в этом	1	1
34	и в быту	1	1
35	он сам говорит	1	1
36	и любви ко	1	1
37	всем xix веке	1	1
38	свои длинные и	1	1
39	по мнению н	1	1
40	и потому как	1	1
41	xix веке в	1	1
42	так и в	3	1
43	и вместе с	1	1
44	это и есть	1	1
45	еще в году	1	1
46	же время с	1	1
47	судя по письмам	1	1
48	у него есть	1	1
49	первого же появления	1	1
50	не только не	1	1
51	времени в году	2	1
52	в известной степени	1	1
53	за то что	1	1
54	в году по	1	1
55	к тому что	1	1
56	мысль о том	1	1
57	во всем его	1	1
