N	2gram	Medvedev_V_1	Poddanst
1	и в	2	14
2	и не	1	12
3	в этом	1	10
4	то же	1	9
5	в том	2	9
6	хотя бы	1	8
7	только в	1	7
8	в которых	1	5
9	том что	2	4
10	сводится к	1	3
11	столь же	1	3
12	потому что	1	3
13	время в	1	2
14	в значительной	1	2
15	к чему	1	2
16	главным образом	1	2
17	именно в	1	2
18	для них	1	2
19	более чем	1	2
20	не будем	1	2
21	все это	1	2
22	да и	1	2
23	тем более	1	2
24	в частности	1	2
25	с о	1	2
26	и то	1	1
27	на заре	1	1
28	в самом	1	1
29	и только	1	1
30	одно и	1	1
31	ясно что	1	1
32	совершенно ясно	1	1
33	далеко не	1	1
34	чем к	1	1
35	это способно	1	1
36	от многих	1	1
37	ни к	1	1
38	гораздо более	1	1
