N	2gram	Losev_Vlad_2	EvropaiE
1	и в	30	37
2	в отношении	3	32
3	точки зрения	7	23
4	что в	12	21
5	не только	12	18
6	с точки	3	17
7	в то	9	16
8	то же	4	15
9	хотя бы	3	15
10	отношении к	1	15
11	в своем	8	14
12	но в	8	14
13	же время	3	14
14	в качестве	1	14
15	но и	8	14
16	и не	18	14
17	в этом	20	12
18	в их	2	11
19	в области	3	11
20	в том	18	11
21	с и	2	10
22	так и	5	10
23	в себе	6	9
24	только в	6	9
25	прежде всего	6	9
26	все более	1	9
27	не может	9	9
28	так же	4	9
29	в смысле	1	9
30	думать что	1	8
31	было бы	9	8
32	в своей	5	8
33	к тому	2	8
34	также и	6	7
35	нам кажется	3	7
36	а также	10	7
37	того что	5	7
38	так как	5	7
39	как и	5	7
40	по своему	2	7
41	между прочим	7	7
42	может быть	7	6
43	и на	4	6
44	во всех	3	6
45	на то	2	6
46	то есть	7	6
47	том что	12	6
48	того чтобы	2	6
49	вовсе не	4	6
50	для того	2	6
51	в последние	2	6
52	и даже	10	6
53	как бы	5	6
54	с этой	4	6
55	то что	20	6
56	но не	3	5
57	не в	9	5
58	в россии	3	5
59	и по	2	5
60	к которым	1	5
61	но если	1	5
62	как мы	11	5
63	в виде	3	5
64	со стороны	4	5
65	в частности	2	5
66	и потому	2	5
67	в течение	5	5
68	в той	2	5
69	как нам	1	5
70	то в	5	4
71	мы не	2	4
72	в полной	1	4
73	но даже	1	4
74	в ней	4	4
75	на путях	1	4
76	независимо от	1	4
77	в самом	2	4
78	во многих	2	4
79	то ни	1	4
80	несмотря на	4	4
81	чем в	1	4
82	даже в	2	4
83	не имеет	2	4
84	и притом	2	4
85	к ней	3	4
86	бы то	1	4
87	по себе	5	4
88	можно сказать	4	4
89	тем более	3	4
90	именно в	4	4
91	само по	2	4
92	не на	2	4
93	как это	7	4
94	для нас	7	4
95	сказать что	11	4
96	в каком	1	4
97	бы и	1	3
98	того же	5	3
99	время в	4	3
100	россии и	2	3
101	в общем	2	3
102	как в	3	3
103	когда он	1	3
104	и к	6	3
105	себе не	1	3
106	не будет	1	3
107	и мы	4	3
108	этом смысле	1	3
109	и тем	1	3
110	в них	3	3
111	с тем	2	3
112	мы видели	2	3
113	можно считать	1	3
114	во второй	2	3
115	в которых	1	3
116	дело в	3	3
117	никогда не	7	3
118	потому что	9	3
119	уже и	2	3
120	в будущем	2	3
121	во все	1	3
122	можно думать	1	3
123	можно было	2	3
124	о том	4	3
125	место в	1	3
126	что и	3	3
127	всяком случае	6	3
128	в данной	1	3
129	из них	1	3
130	себе в	2	3
131	в прошлом	1	3
132	последние годы	3	3
133	к ним	1	3
134	тем что	1	3
135	этом отношении	1	3
136	и прежде	2	3
137	в свою	3	3
138	ни на	1	3
139	в данном	3	3
140	известной степени	1	3
141	и для	3	3
142	и от	2	3
143	в результате	5	3
144	мира и	1	3
145	жизни в	2	3
146	ее в	1	3
