N	3gram	Losev_Vesc_1	Analitik
1	о том что	4	6
2	в том что	4	6
3	в данном случае	2	5
4	с одной стороны	3	4
5	мы имеем дело	2	3
6	подобно тому как	4	3
7	в этом отношении	1	3
8	по крайней мере	4	3
9	содержит в себе	4	3
10	в самом начале	1	3
11	тем не менее	3	3
12	с точки зрения	3	2
13	в то же	1	2
14	можно было бы	1	2
15	и то что	3	2
16	не только в	4	2
17	по природе своей	1	2
18	в том или	1	2
19	с другой стороны	2	2
20	и в самом	1	2
21	не только не	2	2
22	на то что	2	2
23	тех или иных	1	2
24	но и все	1	1
25	крайней мере в	1	1
26	что иное как	7	1
27	ни о чем	1	1
28	можно сказать что	3	1
29	в данный момент	1	1
30	в действительности и	1	1
31	а затем и	2	1
32	между прочим и	1	1
33	более или менее	1	1
34	и даже не	3	1
35	свидетельствует о том	3	1
36	имеется в виду	1	1
37	сводится к одному	2	1
38	другого и не	1	1
39	как раз и	1	1
40	и во всех	1	1
41	сами по себе	3	1
42	то зачем же	2	1
43	с самим собою	2	1
44	с этой точки	1	1
45	то и другое	4	1
46	уже было сказано	1	1
47	как и вся	1	1
48	в применении к	1	1
49	дело не с	2	1
50	еще ничего не	1	1
51	из них в	1	1
52	зачем же нам	1	1
53	тот же самый	1	1
54	и то же	4	1
55	когда говорится о	2	1
56	так или иначе	4	1
57	в свою очередь	4	1
58	одно и то	4	1
59	так как будто	1	1
60	не говорит о	1	1
61	имеем дело не	2	1
62	уже и не	1	1
63	то что на	1	1
64	в свое время	2	1
65	этой точки зрения	1	1
66	с ним самим	1	1
67	а в том	1	1
68	только то что	2	1
69	есть не что	5	1
70	не может быть	6	1
71	том смысле что	1	1
72	заключается в том	1	1
73	во всех языках	1	1
74	но и для	1	1
75	не что иное	7	1
76	в самом деле	4	1
77	ничего не говорит	1	1
78	вообще но и	2	1
79	тому как мы	1	1
80	в том смысле	1	1
81	к тому что	2	1
82	сама по себе	3	1
83	друг с другом	1	1
84	потому что я	2	1
85	в себе не	1	1
86	то же самое	1	1
