N	3gram	Bakhtin_KF_1	Istorich
1	во всех этих	2	6
2	всех этих случаях	1	6
3	тем не менее	2	4
4	в том что	2	4
5	не может быть	11	3
6	дело не в	1	3
7	даже там где	1	2
8	между прочим и	1	2
9	но это не	1	2
10	здесь мы имеем	2	2
11	лежит в основе	1	2
12	мы не можем	1	2
13	что и в	1	2
14	там где оно	1	1
15	на том что	1	1
16	с точки зрения	9	1
17	же не может	1	1
18	а не в	2	1
19	по отношению к	22	1
20	и может быть	2	1
21	то же самое	1	1
22	он не может	1	1
23	в нем и	3	1
24	только в том	1	1
25	в зависимости от	1	1
26	бы то ни	2	1
27	и та же	1	1
28	но все это	1	1
29	независимо от того	1	1
30	в большинстве случаев	1	1
31	и одна из	1	1
32	для нее в	2	1
33	может быть распространено	1	1
34	как если бы	1	1
35	и не в	1	1
36	вместе с тем	1	1
37	здесь мы видим	1	1
38	мы должны видеть	1	1
39	все это в	1	1
40	то ни было	2	1
41	что в эту	1	1
42	и тот же	1	1
43	она требует чтобы	1	1
44	мы имеем здесь	1	1
45	одна и та	1	1
46	один и тот	1	1
47	а именно в	1	1
48	и есть момент	1	1
49	но не по	1	1
50	противоречит то что	1	1
51	вопрос о том	2	1
52	но все эти	3	1
53	ту или иную	1	1
54	в один момент	1	1
55	во второй половине	1	1
56	все в этом	1	1
57	конечно не в	1	1
58	к тому что	1	1
59	в противоречие с	1	1
60	уже не в	1	1
61	прочим и в	1	1
62	не в этом	1	1
63	в иной мир	1	1
