N	3gram	Bakhtin_Pr_1	RusskieA
1	в том что	3	15
2	и т д	1	9
3	как мы увидим	3	5
4	к тому что	1	4
5	и в других	1	4
6	в связи с	1	4
7	в настоящее время	1	3
8	с точки зрения	6	3
9	тем не менее	3	3
10	а иногда и	1	3
11	в области изучения	2	2
12	в большинстве случаев	5	2
13	к выводу что	1	2
14	это имеет место	1	2
15	может быть и	1	2
16	не что иное	1	2
17	в свою очередь	1	2
18	в равной степени	1	2
19	что иное как	1	2
20	подобно тому как	1	1
21	вопрос о том	1	1
22	в одном и	1	1
23	а следовательно и	1	1
24	и в этом	1	1
25	как и в	1	1
26	и в том	1	1
27	можно сказать что	2	1
28	иных точек зрения	1	1
29	и т п	13	1
30	в противном случае	3	1
31	на то что	1	1
32	иметь в виду	1	1
33	у нас в	1	1
34	с тем что	1	1
35	день и на	1	1
36	только по отношению	4	1
37	можно показать что	1	1
38	в то время	1	1
39	можно было бы	3	1
40	не более как	1	1
41	на самом деле	3	1
42	по отношению к	19	1
43	на том основании	1	1
44	том основании что	1	1
45	в отличие от	5	1
46	большое научное значение	1	1
47	так например в	1	1
48	как мы уже	1	1
49	и теперь еще	1	1
50	от него он	1	1
51	на самом же	1	1
52	не только в	2	1
53	в этом отношении	2	1
54	у нас при	1	1
55	более узкое значение	1	1
56	и как бы	1	1
57	в виду что	1	1
58	самом же деле	1	1
59	в особенности же	1	1
60	быть не может	1	1
61	на этот вопрос	1	1
62	как это ни	1	1
63	в данном случае	4	1
64	как в других	2	1
65	хотя и не	1	1
66	независимо от него	1	1
