N	2gram	Losev_Prob_2	ViktorSh
1	конце концов	7	2
2	и в	35	2
3	том что	19	2
4	в том	12	2
5	в конце	7	2
6	и только	4	1
7	крайней мере	6	1
8	тем более	10	1
9	и почти	1	1
10	которые они	1	1
11	в другом	1	1
12	хотя бы	12	1
13	и не	37	1
14	все время	1	1
15	и его	1	1
16	потому что	13	1
17	я не	1	1
18	даже не	3	1
19	отношений но	1	1
20	сводится к	2	1
21	и то	10	1
22	самом деле	4	1
23	все это	4	1
24	совершенно ясно	1	1
25	от других	1	1
26	по поводу	2	1
27	значит и	1	1
28	именно в	1	1
29	вещь и	2	1
30	и сводится	1	1
31	в теории	1	1
32	чего не	1	1
33	в их	3	1
34	а значит	1	1
35	как же	4	1
36	говорили в	2	1
37	в частности	5	1
38	речи и	1	1
39	о или	1	1
40	или без	1	1
41	столь же	1	1
42	время в	1	1
43	ведь это	2	1
44	говоря о	1	1
45	в которых	1	1
46	в значительной	3	1
47	в самом	5	1
48	для них	3	1
49	что имеется	1	1
50	только в	14	1
51	то же	5	1
52	говорится в	1	1
53	ясно что	8	1
54	о пределах	1	1
55	так как	7	1
56	далеко не	4	1
57	что слово	3	1
58	не будем	4	1
59	другое дело	1	1
60	но это	6	1
61	что язык	1	1
62	в этом	17	1
63	и самым	1	1
64	да и	10	1
65	имеется в	3	1
66	по крайней	6	1
67	а только	6	1
68	о теории	1	1
69	к этому	1	1
70	гораздо более	4	1
71	образом связаны	1	1
