N	2gram	Bakhtin_Fr_5	IolandNe
1	и с	10	3
2	должен быть	2	2
3	и не	15	2
4	в этом	14	2
5	он не	6	2
6	что в	12	2
7	ничего не	4	2
8	же это	1	1
9	себя в	1	1
10	все это	7	1
11	нисколько не	3	1
12	и др	8	1
13	эти произведения	1	1
14	как смерть	1	1
15	и в	45	1
16	и о	4	1
17	у всех	1	1
18	в эту	2	1
19	с жизнью	1	1
20	какую роль	1	1
21	них не	1	1
22	бы в	4	1
23	более чем	1	1
24	как только	1	1
25	того же	3	1
26	не остается	1	1
27	значительной мере	1	1
28	и со	1	1
29	было не	1	1
30	и та	2	1
31	это было	4	1
32	а в	4	1
33	вплоть до	2	1
34	того что	3	1
35	о жизни	1	1
36	стороны он	1	1
37	не дает	1	1
38	и без	2	1
39	это был	1	1
40	свою жену	1	1
41	на котором	2	1
42	оказывается для	1	1
43	и еще	1	1
44	для него	3	1
45	а также	4	1
46	нам в	1	1
47	в основе	4	1
48	что для	1	1
49	что при	1	1
50	в значительной	2	1
51	говорить о	2	1
52	и сам	1	1
53	художественном творчестве	1	1
54	отношению к	1	1
55	так и	6	1
56	от этого	2	1
57	того чтобы	6	1
58	не случайно	1	1
59	никогда не	1	1
60	только для	2	1
61	жизни и	8	1
62	не увидел	1	1
63	эпизод с	1	1
64	для других	1	1
65	тем что	1	1
66	в целом	2	1
67	по поводу	4	1
68	точно и	1	1
69	по отношению	1	1
70	в них	6	1
71	все эти	5	1
72	по существу	3	1
73	со всеми	5	1
74	если бы	1	1
75	для того	6	1
