N	3gram	Bakhtin_Fr_2	VLabPisa
1	в этом отношении	3	13
2	с другой стороны	3	8
3	не может быть	4	8
4	по отношению к	1	7
5	в художественном творчестве	1	5
6	то же время	6	5
7	в то же	6	5
8	не могут быть	1	4
9	в художественном произведении	1	4
10	можно сказать что	2	4
11	в том что	1	4
12	и в то	2	3
13	в значительной мере	1	3
14	мы видели что	1	3
15	большей или меньшей	3	3
16	о том что	3	3
17	в другом месте	2	2
18	одной стороны и	1	2
19	в его творческом	1	2
20	в чем же	1	2
21	подобно тому как	2	2
22	также и в	1	2
23	до сих пор	4	2
24	только то что	2	2
25	таким образом в	1	2
26	и не может	1	2
27	или меньшей степени	3	2
28	в том чтобы	1	2
29	с одной стороны	3	2
30	в конце концов	1	2
31	из них которые	1	2
32	в большей или	3	2
33	во всяком случае	2	2
34	не только не	1	2
35	мы знаем что	1	2
36	для того чтобы	1	2
37	во всех его	1	2
38	и связанное с	1	1
39	даже и в	1	1
40	только в году	1	1
41	во всех других	2	1
42	другой стороны он	1	1
43	наконец и это	1	1
44	некоторые из этих	1	1
45	но даже и	2	1
46	в их сознании	1	1
47	к этим формам	1	1
48	что для него	1	1
49	в том же	1	1
50	в силу того	1	1
51	и пытается вскрыть	1	1
52	и во всех	3	1
53	но ни в	1	1
54	именно в этом	1	1
55	на рыцарские романы	1	1
56	но и в	4	1
57	области художественного творчества	1	1
58	него еще в	1	1
59	то что в	1	1
60	прежде всего необходимо	1	1
61	целом но и	1	1
62	что в них	1	1
63	как если бы	1	1
64	не подлежит сомнению	1	1
65	есть то что	1	1
66	и есть в	1	1
67	даже и не	1	1
68	далеко не всегда	1	1
69	но в то	3	1
70	не только в	5	1
71	таким образом и	1	1
72	для проникновения в	1	1
73	в области художественного	1	1
74	в году и	1	1
75	по сравнению с	2	1
76	однако отметить что	1	1
77	это одна из	1	1
78	года в году	1	1
79	его сущность его	1	1
80	отношению к ней	1	1
81	в образе в	1	1
82	именно в том	1	1
83	того или иного	1	1
84	стадиях своего развития	1	1
85	имеем в виду	2	1
86	одной из этих	1	1
87	и без того	1	1
88	было бы чрезвычайно	1	1
89	в новое время	1	1
90	после того как	1	1
91	подлежит сомнению что	1	1
92	только тогда когда	1	1
