N	2gram	Savitsky_P_1	Tvorches
1	и в	14	21
2	как бы	4	17
3	в то	7	15
4	то же	9	13
5	в его	2	13
6	как и	1	12
7	же время	7	12
8	что в	4	12
9	с его	1	11
10	том что	4	11
11	все это	2	10
12	то что	4	8
13	и на	1	7
14	но в	9	7
15	не только	17	7
16	тем самым	3	7
17	и не	12	7
18	в том	9	7
19	в этом	10	6
20	в творчестве	1	6
21	в котором	4	6
22	не менее	2	6
23	по природе	1	6
24	xix века	6	6
25	а в	4	6
26	отнюдь не	2	5
27	все же	1	5
28	в этой	1	5
29	в русской	4	5
30	потому что	3	5
31	только в	7	5
32	творчестве достоевского	1	5
33	может быть	5	5
34	а не	2	5
35	хотя бы	8	5
36	из всех	1	4
37	в своем	4	4
38	и как	3	4
39	это не	3	4
40	мысли и	1	4
41	в мире	2	4
42	прежде всего	3	4
43	в момент	1	4
44	не может	4	4
45	в основном	1	4
46	я и	3	3
47	и т	3	3
48	время в	2	3
49	хотя и	3	3
50	в самом	1	3
51	представляет собой	1	3
52	в нем	3	3
53	в россии	3	3
54	и по	1	3
55	в каждом	1	3
56	что все	1	3
57	и с	2	3
58	и других	2	3
59	далеко не	1	3
60	место в	1	3
61	никогда не	1	3
62	с ее	1	3
63	и другие	1	3
64	того что	2	3
65	во времени	1	3
66	уже в	1	3
67	в виде	2	3
68	в которой	1	3
69	с другой	5	3
70	но и	6	3
71	ни на	1	3
72	но не	3	3
73	это в	1	3
74	так же	1	3
75	по преимуществу	1	2
76	есть не	2	2
77	мир с	1	2
78	в ней	6	2
79	в отличие	1	2
80	не нужно	2	2
81	если в	2	2
82	отличие от	1	2
83	и достоевский	1	2
84	как к	1	2
85	и будущее	1	2
86	отчасти и	1	2
87	в себе	3	2
88	многие русские	1	2
89	ее по	1	2
90	а затем	1	2
91	о котором	1	2
92	и тем	2	2
93	стремления к	1	2
94	личности не	1	2
95	в данном	1	2
96	ведет к	1	2
97	в этих	1	2
98	не столько	2	2
99	не в	5	2
100	одна из	2	2
101	и притом	1	2
102	иными словами	1	2
103	в движении	1	2
104	средство к	1	2
105	могут быть	3	2
106	в с	4	2
107	где он	1	2
108	в жизни	2	2
109	мысль о	2	2
110	в себя	1	2
111	за то	1	2
112	живет в	1	2
113	еще в	1	2
114	быть может	6	2
115	стремление к	1	2
116	может не	1	2
117	настоящее время	1	2
118	что его	1	2
119	переходит в	1	2
120	что и	1	2
121	во всей	2	2
122	вслед за	3	2
123	перед тем	1	2
124	и мир	1	2
125	тот же	3	2
126	традиции в	1	2
127	в качестве	9	2
128	человека с	1	2
129	из них	2	2
130	гоголя и	1	2
131	не означает	1	2
132	только на	1	2
133	именно в	2	2
134	что не	1	2
135	с которым	1	2
136	было в	2	2
137	в частности	2	2
138	вместе с	1	2
139	русской литературы	1	2
140	к жизни	1	2
141	еще более	2	2
142	в мир	1	2
143	в одно	1	2
144	и среди	1	2
145	только что	1	2
146	р г	1	2
147	одновременно и	1	2
148	гораздо более	1	2
149	как известно	1	1
150	от этой	1	1
151	эта идея	2	1
152	в сфере	2	1
153	в русских	1	1
154	же как	1	1
155	и через	1	1
156	связана с	1	1
157	переход от	2	1
158	и есть	2	1
159	выражается в	1	1
160	был и	1	1
161	также и	1	1
162	пришел в	1	1
163	что если	1	1
164	говорить о	2	1
165	в полной	2	1
166	в xix	2	1
167	вопрос об	1	1
168	одно из	1	1
169	еще не	1	1
170	он был	1	1
171	в а	2	1
172	столь же	3	1
173	во всех	2	1
174	это имеет	1	1
175	наряду с	3	1
176	внутреннего разложения	1	1
177	может исчезнуть	1	1
178	к сожалению	1	1
179	в истории	1	1
180	государства и	1	1
181	с этим	2	1
182	и где	1	1
183	что по	1	1
184	к этой	1	1
185	и к	4	1
186	к чему	2	1
187	бы и	1	1
188	что это	1	1
189	формы в	1	1
190	чуть ли	1	1
191	в известном	1	1
192	единению с	1	1
193	в жертву	1	1
194	сливаются в	1	1
195	если он	1	1
196	и специальной	1	1
197	и если	4	1
198	наш взгляд	1	1
199	связанные с	1	1
200	в статье	2	1
201	обратившись к	1	1
202	да и	2	1
203	т д	1	1
204	идеи и	1	1
205	не к	2	1
206	и вот	2	1
207	должен стремиться	1	1
208	на наш	1	1
209	для мировоззрения	1	1
210	заключает в	2	1
211	значительной части	1	1
212	на этой	1	1
213	его в	1	1
214	заключается в	3	1
215	было бы	6	1
216	весь мир	1	1
217	для них	2	1
218	в них	2	1
219	с тем	3	1
220	в действии	1	1
221	и уже	1	1
222	отрыве от	1	1
223	и ее	1	1
224	ощущение что	1	1
225	в народе	1	1
226	к предмету	1	1
227	понять в	1	1
228	бы что	1	1
229	как одна	1	1
230	в философии	1	1
231	куда в	1	1
232	и более	1	1
233	с величайшим	1	1
234	по себе	4	1
235	в историческом	1	1
236	и достоевского	2	1
237	европейской культуры	4	1
238	этой области	1	1
239	в отношении	10	1
240	что эта	1	1
241	что с	1	1
242	в смысле	6	1
243	не имеет	1	1
244	мы все	1	1
245	казалось бы	1	1
246	как образчик	1	1
247	не вполне	1	1
248	на себя	1	1
249	что называют	1	1
250	возвращением к	1	1
251	в русском	2	1
252	как она	1	1
253	xix веке	2	1
254	чем оно	1	1
255	входят в	1	1
256	в области	11	1
257	будущее в	1	1
258	относиться к	1	1
259	есть признак	1	1
260	в других	1	1
261	в недрах	2	1
262	что оно	1	1
263	не есть	1	1
264	иных планет	1	1
265	темы и	1	1
266	она не	1	1
267	и личности	1	1
268	и это	2	1
269	эта мысль	1	1
270	и о	5	1
271	в ее	2	1
272	другой стороны	1	1
273	в собственном	1	1
274	как по	1	1
275	только то	1	1
276	культуры и	1	1
277	он пришел	1	1
278	особенно в	1	1
279	века как	1	1
280	момента и	1	1
281	в эпоху	1	1
282	и здесь	1	1
283	россии из	4	1
284	он живет	1	1
285	никак не	2	1
286	и что	1	1
287	она всегда	1	1
288	с того	1	1
289	вопросу о	1	1
290	связь между	1	1
291	в которую	2	1
292	в отрыве	1	1
293	между тем	3	1
294	восходит к	1	1
295	выступает как	1	1
296	реально и	1	1
297	времени так	1	1
298	в современной	1	1
299	известном смысле	1	1
300	действие в	1	1
301	с ними	3	1
302	грань между	1	1
303	россия должна	3	1
304	их не	1	1
305	с одной	3	1
306	в эти	1	1
307	себя в	1	1
308	и любви	1	1
309	если мы	1	1
310	не все	1	1
311	на этих	2	1
312	в душе	1	1
313	выражена в	1	1
314	мы знаем	1	1
315	к единению	1	1
316	сами по	3	1
317	к ним	1	1
318	представляют собой	1	1
319	не было	2	1
320	п о	5	1
321	развития в	1	1
322	не исчезнет	1	1
323	для этого	1	1
324	было и	1	1
325	а с	1	1
326	одной стороны	3	1
327	и я	1	1
328	всемирной истории	1	1
329	бы ее	1	1
330	люди и	1	1
331	развитие в	1	1
332	в сферу	1	1
333	времени с	1	1
334	xix век	2	1
335	находятся в	1	1
336	из этой	1	1
337	социализма в	1	1
338	от не	1	1
339	ли не	1	1
340	время есть	1	1
341	между прочим	2	1
342	как раз	2	1
343	но на	1	1
344	сколько бы	2	1
345	начала и	2	1
346	в настоящее	1	1
347	настоящее и	1	1
348	значило бы	1	1
349	тем более	2	1
350	мы должны	4	1
351	в чистоте	1	1
352	не одну	1	1
353	же в	4	1
354	от века	1	1
355	давно уже	1	1
356	отношении к	5	1
357	всеми его	1	1
358	гоголь и	1	1
359	может и	2	1
360	только как	1	1
361	и внутренне	1	1
362	т е	3	1
363	и жизнь	1	1
364	в какой	1	1
365	а я	5	1
366	именно здесь	1	1
