N	3gram	Bakhtin_Pr_2	UchenyiS
1	не может быть	4	4
2	в то же	5	3
3	бы то ни	1	3
4	то же время	5	3
5	с другой стороны	3	3
6	то ни было	1	3
7	в этом смысле	2	2
8	в художественном творчестве	2	2
9	в самом деле	4	2
10	в конце концов	2	2
11	до сих пор	7	2
12	хотя бы и	1	2
13	в том что	1	2
14	то же самое	1	2
15	по крайней мере	1	2
16	а между тем	1	2
17	так или иначе	1	1
18	с одной стороны	1	1
19	но он уже	1	1
20	литературного жанра в	1	1
21	на то что	2	1
22	и в их	1	1
23	большей или меньшей	1	1
24	проблем связанных с	1	1
25	более или менее	3	1
26	по себе еще	2	1
27	друг с другом	4	1
28	еще один пример	1	1
29	то что было	1	1
30	конечно не в	1	1
31	он прежде всего	1	1
32	дело конечно не	1	1
33	но в то	3	1
34	в точном смысле	1	1
35	можно сказать что	1	1
36	у пушкина но	1	1
37	все же не	1	1
38	не входит в	1	1
39	в той же	1	1
40	в ухо ивану	1	1
41	является одним из	1	1
42	само по себе	1	1
43	но прежде всего	1	1
44	никогда не может	2	1
45	же время не	1	1
46	в которых слово	1	1
47	в большей или	1	1
48	сам по себе	5	1
49	или меньшей степени	1	1
