N	3gram	Bakhtin_Pr_5	VeschiIm
1	не может быть	3	18
2	бы то ни	3	9
3	то ни было	3	9
4	по крайней мере	1	6
5	в том что	2	6
6	в чем же	1	5
7	одно и то	3	5
8	и то же	3	5
9	в свою очередь	1	5
10	тем не менее	1	5
11	с точки зрения	2	4
12	и то что	1	4
13	то же время	10	4
14	в то же	10	4
15	в самом деле	1	3
16	подобно тому как	2	3
17	и в то	2	3
18	сам по себе	2	3
19	можно было бы	2	3
20	вместе с тем	1	3
21	сама по себе	1	3
22	можно сказать что	1	2
23	дело в том	1	2
24	а затем и	1	2
25	но даже и	1	2
26	какого бы то	1	2
27	как бы ни	1	2
28	о том как	1	2
29	а так как	1	2
30	с самим собою	7	2
31	то что оно	1	2
32	в данном случае	1	2
33	именно тем что	2	2
34	что же такое	1	2
35	в нем нет	1	2
36	вы говорите что	1	2
37	к тому что	1	2
38	и того же	1	1
39	тот же самый	1	1
40	может ли это	1	1
41	то что я	2	1
42	в своей основной	1	1
43	а не в	1	1
44	как и во	1	1
45	в этом смысле	3	1
46	том что он	1	1
47	и все эти	1	1
48	того или другого	1	1
49	потому что я	1	1
50	в этом случае	1	1
51	да и то	1	1
52	и это вовсе	1	1
53	как раз и	2	1
54	до сих пор	1	1
55	и не может	2	1
56	в сущности в	2	1
57	самом деле не	1	1
58	что он не	1	1
59	по себе и	2	1
60	он и не	2	1
61	мы без труда	1	1
62	оно вообще не	1	1
63	резко отличается от	1	1
64	прямо и открыто	1	1
65	и не в	2	1
66	может быть и	1	1
67	что я в	1	1
68	то время как	1	1
69	или хотя бы	1	1
70	она резко отличается	1	1
71	но в то	4	1
72	я имею право	1	1
73	то что уже	1	1
74	в конце концов	3	1
75	смысле этого слова	2	1
76	и в этом	2	1
77	и как бы	1	1
78	и ничего не	1	1
79	смысле и в	1	1
80	один из моментов	1	1
81	для себя и	1	1
82	к самому себе	1	1
83	уже и не	1	1
84	с другой стороны	3	1
85	потому что они	1	1
86	то что у	1	1
87	зачем же я	1	1
88	и во всяком	1	1
89	самим по себе	1	1
90	во всяком случае	4	1
91	ее но и	1	1
92	в то время	1	1
93	и вместе с	1	1
94	о том что	1	1
95	не только не	1	1
96	вопрос о том	1	1
97	и прежде всего	4	1
98	именно потому что	2	1
99	но все же	2	1
100	самим собою в	1	1
101	не говорит о	1	1
102	одного и того	1	1
103	для того чтобы	1	1
104	не может и	1	1
105	чего бы то	2	1
106	в отношении себя	1	1
107	и что он	2	1
108	в отношении к	7	1
109	нет что же	1	1
110	без всякого сомнения	1	1
111	друг с другом	4	1
112	и в нем	3	1
113	что и в	1	1
114	как мы говорили	1	1
115	проявляет себя вовне	1	1
116	мы еще не	1	1
