N	2gram	Vinokur_St_1	Istorich
1	и в	44	24
2	что он	10	21
3	не только	18	21
4	и т	30	17
5	т д	21	16
6	т е	15	16
7	не может	8	14
8	может быть	15	14
9	что в	30	13
10	в этих	2	13
11	в ином	1	12
12	как в	13	12
13	в этом	21	12
14	мы имеем	2	12
15	но и	10	11
16	том что	29	10
17	а в	17	10
18	это не	8	10
19	и что	4	10
20	у него	2	10
21	все же	8	9
22	не в	12	9
23	и другие	1	9
24	потому что	6	9
25	с другой	9	9
26	о том	17	9
27	еще не	3	8
28	или в	1	8
29	показывает что	1	8
30	что и	6	8
31	то же	5	8
32	другой стороны	7	8
33	все это	5	8
34	а не	16	8
35	так как	5	8
36	в первую	2	7
37	таким образом	7	7
38	к нему	2	7
39	во всех	8	7
40	вместе с	1	7
41	в том	36	7
42	то что	18	7
43	одна из	1	7
44	эти случаи	1	7
45	что здесь	2	7
46	для нас	7	6
47	как и	9	6
48	уже выше	2	6
49	и все	2	6
50	что это	4	6
51	в нем	5	6
52	об этом	3	6
53	тем что	5	6
54	ответ на	3	6
55	а именно	3	6
56	того что	9	6
57	с этой	3	6
58	как он	1	6
59	во время	3	6
60	так же	5	6
61	всех этих	2	6
62	он не	2	6
63	только в	10	6
64	но не	3	6
65	видно что	3	5
66	доказывает что	1	5
67	с одной	3	5
68	так и	9	5
69	не менее	5	5
70	право на	1	5
71	там где	5	5
72	дело не	4	5
73	отношение к	2	5
74	в чем	3	5
75	ничего не	2	5
76	то это	3	5
77	одной стороны	2	5
78	но в	10	5
79	тот кто	1	5
80	в тех	3	5
81	что она	4	5
82	в русской	1	5
83	то не	2	4
84	с того	1	4
85	царя в	1	4
86	при этом	2	4
87	после того	1	4
88	вовсе не	19	4
89	точки зрения	11	4
90	случаях когда	1	4
91	мы не	2	4
92	же как	3	4
93	так в	1	4
94	если не	2	4
95	но все	4	4
96	одной из	1	4
97	никогда не	5	4
98	не всегда	2	4
99	не имеет	4	4
100	в других	2	4
101	и не	16	4
102	что у	4	4
103	своего рода	3	4
104	тем не	2	4
105	и говорит	1	4
106	на вопрос	4	4
107	по существу	2	4
108	как бы	4	4
109	в данном	14	4
110	показывает как	1	3
111	данном случае	6	3
112	вопрос о	4	3
113	должны быть	3	3
114	что они	7	3
115	обращается к	1	3
116	кроме того	1	3
117	на то	4	3
118	с ней	1	3
119	сих пор	7	3
120	превращается в	2	3
121	так что	6	3
122	в другой	1	3
123	которой он	1	3
124	того как	1	3
125	его в	2	3
126	в свете	1	3
127	например в	8	3
128	кажется что	3	3
129	здесь нет	1	3
130	должны были	1	3
131	но они	1	3
132	в конце	3	3
133	и даже	5	3
134	хотя и	1	3
135	и этим	1	3
136	из этих	6	3
137	и его	8	3
138	но это	6	3
139	тогда когда	1	3
140	возможно что	3	3
141	не все	3	3
142	связано с	1	3
143	не столько	1	3
144	видеть в	1	3
145	между прочим	2	3
146	в них	1	3
147	не знаю	2	3
148	если он	1	3
149	и по	5	3
150	в качестве	4	3
151	представление о	4	3
152	при помощи	2	3
153	этой стороны	1	3
154	с его	1	3
155	уже в	2	3
156	что мы	5	3
157	как мы	1	3
158	том чтобы	1	3
159	все эти	5	2
160	что по	1	2
161	в которой	4	2
162	и там	1	2
163	с целью	1	2
164	и такие	2	2
165	от всех	1	2
166	образом мы	1	2
167	но он	2	2
168	говорит о	3	2
169	того же	3	2
170	на том	1	2
171	отличается от	1	2
172	в один	1	2
173	нас не	1	2
174	в котором	5	2
175	но при	1	2
176	такие случаи	2	2
177	думать что	2	2
178	мы пока	1	2
179	не по	3	2
180	видит в	1	2
181	и так	3	2
182	ли и	1	2
183	причем в	1	2
184	связанные с	3	2
185	и это	2	2
186	если это	3	2
187	до сих	7	2
188	как это	4	2
189	в том-то	1	2
190	если в	2	2
191	прежде всего	7	2
192	в руках	1	2
193	там же	1	2
194	но вот	1	2
195	по его	2	2
196	кости и	1	2
197	стороны и	1	2
198	в основе	3	2
199	им в	1	2
200	к этому	1	2
201	где оно	1	2
202	в ее	4	2
203	вплоть до	5	2
204	не его	1	2
205	по этому	3	2
206	в таких	1	2
207	не так	1	2
208	из другой	1	2
209	в приведенных	1	2
210	с этим	3	2
211	не имеют	1	2
212	этом и	1	2
213	но эта	1	2
214	вытекает и	1	2
215	во многих	3	2
216	в иной	1	2
217	что этот	2	2
218	именно такое	2	2
219	на него	2	2
220	и дело	1	2
221	и после	1	2
222	они не	1	2
223	том-то и	1	2
224	нас к	1	2
225	это положение	1	2
226	что при	2	2
227	что его	1	2
228	что не	3	2
229	все его	1	2
230	можно найти	2	2
231	что во	2	2
232	тот же	1	2
233	в то	9	2
234	является к	1	2
235	и о	1	2
236	оказывается что	1	2
237	конечно не	2	2
238	задач и	1	2
239	в одной	1	2
240	сказать что	7	2
241	ни в	3	2
242	к ним	1	2
243	эти материалы	1	2
244	не просто	1	2
245	в чужую	3	2
246	в форме	1	2
247	со стороны	6	2
248	уже не	1	2
249	без всякого	2	2
250	у некоторых	1	2
251	и др	1	2
252	и тем	3	2
253	он в	1	2
254	в одну	1	2
255	тому что	3	2
256	в самом	7	2
257	ни с	3	2
258	этот вопрос	4	2
259	не могут	1	2
260	и на	1	2
261	здесь и	1	2
262	она не	2	2
