N	2gram	Nazirov_Tr_1	VelikijI
1	и не	7	20
2	и в	18	16
3	то что	4	9
4	еще не	4	8
5	в истории	1	8
6	на земле	1	7
7	а не	1	7
8	и потому	1	7
9	к людям	3	6
10	человека и	1	6
11	не есть	1	6
12	на себя	1	5
13	но и	4	5
14	того что	1	5
15	в мире	3	5
16	все это	4	5
17	как бы	7	5
18	о счастье	1	5
19	и есть	1	4
20	в образе	6	4
21	мира сего	1	4
22	добра и	1	4
23	в его	3	4
24	против бога	1	4
25	к личности	1	4
26	и я	2	4
27	в этом	9	4
28	что он	6	4
29	потому что	2	4
30	в нем	4	4
31	так и	5	4
32	что все	2	4
33	что не	1	4
34	как и	5	4
35	в котором	1	4
36	в ней	1	4
37	в силах	2	4
38	и все	4	4
39	и что	4	3
40	должна быть	1	3
41	за то	1	3
42	хотя бы	1	3
43	лишь в	1	3
44	в чем	1	3
45	с его	2	3
46	во всех	1	3
47	что и	2	3
48	в том	2	3
49	но в	6	3
50	бы и	2	3
51	все эти	3	3
52	в конце	3	3
53	в своей	1	3
54	ни в	2	3
55	в них	1	3
56	не было	1	3
57	не верит	1	3
58	отвращение к	1	3
59	должно быть	3	3
60	всех людей	1	3
61	что я	4	3
62	не в	2	3
63	любовь к	1	3
64	тому что	1	3
65	но это	4	3
66	не имеет	2	3
67	никогда не	2	3
68	к счастью	1	3
69	личности и	2	3
70	что ты	1	3
71	к тому	2	3
72	что в	4	3
73	людей в	1	3
74	а между	1	2
75	и это	2	2
76	того чтобы	1	2
77	и то	2	2
78	но мы	1	2
79	это мы	1	2
80	и сам	3	2
81	и т	1	2
82	можно было	1	2
83	и за	2	2
84	когда в	1	2
85	и новые	1	2
86	с ним	3	2
87	вместо того	1	2
88	между тем	1	2
89	ивана карамазова	2	2
90	материалом для	1	2
91	не любят	1	2
92	только в	1	2
93	и любви	1	2
94	уже не	2	2
95	не только	8	2
96	ненависти и	1	2
97	сто тысяч	1	2
98	не так	2	2
99	для него	3	2
100	не к	1	2
101	не могли	1	2
102	вот почему	1	2
103	тем что	2	2
104	это не	5	2
105	прежде всего	4	2
106	с тем	2	2
107	личности об	1	2
108	один из	3	2
109	когда я	1	2
110	более чем	1	2
111	смысл жизни	3	2
112	не могут	2	2
113	над ними	1	2
114	одна из	2	2
115	в бога	1	2
116	том что	4	2
117	тот кто	1	2
118	а к	1	2
119	для нас	1	2
120	от него	1	2
121	в форме	1	2
122	и теперь	1	2
123	но теперь	1	2
124	но не	1	2
125	в духе	1	2
126	могут быть	1	2
127	во всяком	1	2
128	если б	2	1
129	эта новая	1	1
130	как мы	1	1
131	быть может	1	1
132	в виду	1	1
133	надругательство над	1	1
134	в ее	2	1
135	и до	2	1
136	роль в	1	1
137	он всегда	4	1
138	да неужто	1	1
139	и которую	1	1
140	имя его	1	1
141	то же	5	1
142	и могут	1	1
143	на благо	1	1
144	в результате	1	1
145	по сравнению	1	1
146	что уже	1	1
147	вопрос о	2	1
148	с человека	1	1
149	но может	1	1
150	я не	4	1
151	и ее	2	1
152	веке в	1	1
153	не был	2	1
154	им под	1	1
155	любви ко	1	1
156	если хочешь	1	1
157	и на	7	1
158	он был	2	1
159	после того	1	1
160	теперь и	2	1
161	и который	1	1
162	отказ от	1	1
163	это желание	1	1
164	все в	1	1
165	что оно	1	1
166	к нему	3	1
167	ее к	2	1
168	но как	1	1
169	и ненависти	1	1
170	тогда как	1	1
171	такой силой	1	1
172	бы в	1	1
173	не просто	2	1
174	если за	1	1
175	это самое	1	1
176	как в	3	1
177	своей и	1	1
178	и пусть	1	1
179	в своем	3	1
180	моя свобода	1	1
181	и тайна	1	1
182	все же	5	1
183	и думать	1	1
184	в двух	1	1
185	мы видим	1	1
186	со злом	1	1
187	с ними	1	1
188	напоминает о	1	1
189	за гробом	1	1
190	и хотя	1	1
191	это очень	5	1
192	со своей	1	1
193	в самом	2	1
194	в которой	1	1
195	что это	5	1
196	же им	1	1
197	в целом	4	1
198	средство для	1	1
199	личности она	1	1
200	в этой	4	1
201	это тот	1	1
202	я в	1	1
203	уже в	3	1
204	жизнь как	1	1
205	то и	2	1
206	зла в	2	1
207	в виде	2	1
208	и если	1	1
209	это право	1	1
210	по словам	2	1
211	но от	1	1
212	они только	1	1
213	говорит что	2	1
214	перестает быть	1	1
215	чем у	1	1
216	и вот	1	1
217	и должна	1	1
218	не для	1	1
219	отношение к	2	1
220	так часто	1	1
221	в xx	1	1
222	у него	6	1
223	не случайно	2	1
224	теперь еще	1	1
225	этом мире	1	1
226	и по	1	1
227	слабых и	1	1
228	на этом	1	1
229	и вместе	1	1
230	на нее	1	1
231	любит и	1	1
232	конечно в	1	1
233	и с	7	1
234	ними как	1	1
235	мечту о	1	1
236	в глазах	2	1
237	в мистический	1	1
238	близок к	1	1
239	лишь на	1	1
240	говорит о	2	1
241	может ли	1	1
242	ничем не	2	1
243	власти и	1	1
244	с которым	1	1
245	для чего	1	1
246	о чем	3	1
247	иван карамазов	1	1
248	же ведь	1	1
249	вместе с	1	1
250	так же	4	1
251	ко всем	1	1
252	как это	3	1
253	то есть	3	1
254	и великий	2	1
255	в человеке	1	1
256	над ним	1	1
257	сравнению с	1	1
258	ненависть к	2	1
259	с такой	1	1
260	ведет к	1	1
261	в одном	2	1
262	но я	1	1
263	не понимает	1	1
264	xx веке	1	1
265	думать о	1	1
266	который он	1	1
267	и великого	1	1
268	этого слова	1	1
269	с этой	1	1
270	еще к	1	1
271	раз и	2	1
272	любви и	2	1
273	людям в	1	1
274	так ли	1	1
275	здесь есть	1	1
276	к ним	1	1
277	обратился к	1	1
278	на котором	1	1
279	понятно это	1	1
280	и от	1	1
281	и всегда	1	1
282	это как	1	1
283	ничего не	2	1
284	того как	1	1
285	может быть	7	1
286	счастье человечества	1	1
287	в русском	2	1
288	конце концов	1	1
289	во всем	1	1
290	вот что	1	1
291	карла маркса	1	1
292	дети но	1	1
293	к жизни	5	1
294	наших дней	1	1
295	к ее	1	1
296	жизни в	1	1
297	что на	1	1
298	в образах	1	1
299	не быть	1	1
300	идея в	1	1
301	от природы	1	1
302	но все	2	1
303	есть и	1	1
304	недоразумение и	1	1
305	насилия и	1	1
306	в окончательном	1	1
307	его с	1	1
308	всего что	1	1
309	я вижу	1	1
310	и эта	1	1
311	это в	1	1
312	злого начала	1	1
313	природу человека	1	1
314	она не	1	1
