N	2gram	Savitsky_E_1	Komedia
1	и в	37	22
2	т е	9	13
3	том что	6	12
4	но и	14	11
5	в том	11	11
6	не только	18	10
7	в то	16	10
8	из них	3	10
9	и т	1	9
10	как и	7	9
11	может быть	6	9
12	таким образом	2	8
13	о том	3	8
14	и его	1	8
15	в одном	2	8
16	и не	14	8
17	в этой	2	7
18	и других	2	7
19	то же	15	6
20	тому же	1	6
21	и по	5	6
22	не в	5	6
23	в отношении	32	6
24	одного из	1	6
25	к тому	8	6
26	а в	2	6
27	что в	21	6
28	в истории	2	5
29	как в	3	5
30	то время	1	5
31	на его	1	5
32	при этом	1	5
33	войны и	2	5
34	iv в	1	5
35	потому что	3	5
36	со своим	1	5
37	так и	10	5
38	еще в	1	5
39	и даже	6	5
40	между тем	8	5
41	один из	1	5
42	уже в	1	5
43	в его	2	5
44	прежде всего	9	5
45	о которых	1	5
46	с другой	7	5
47	другой стороны	2	5
48	время как	1	4
49	но в	14	4
50	в нем	1	4
51	т д	1	4
52	участие в	2	4
53	несмотря на	4	4
54	точки зрения	23	4
55	в котором	2	4
56	в их	11	4
57	одном из	2	4
58	так как	7	4
59	как мы	5	4
60	можно судить	1	4
61	же время	14	4
62	ли не	1	4
63	а также	7	4
64	что и	3	4
65	в качестве	14	4
66	мы можем	3	4
67	тем что	3	4
68	именно в	4	4
69	в результате	3	4
70	же в	2	4
71	речь идет	1	3
72	же как	5	3
73	в тех	1	3
74	идет о	3	3
75	перед лицом	1	3
76	мы не	4	3
77	и о	1	3
78	и на	6	3
79	в последних	1	3
80	с одной	8	3
81	в этом	12	3
82	все же	1	3
83	хотя и	2	3
84	и как	2	3
85	на то	6	3
86	главным образом	2	3
87	он не	2	3
88	и еще	2	3
89	или вовсе	1	3
90	и с	2	3
91	в них	3	3
92	на основании	2	3
93	и ее	1	3
94	место в	3	3
95	вопрос о	4	3
96	не менее	1	3
97	из числа	4	3
98	даже в	4	3
99	по отношению	1	3
100	казалось бы	1	3
101	за исключением	1	3
102	в сознании	1	3
103	этом отношении	3	3
104	у нас	1	3
105	могут быть	2	3
106	и сам	1	3
107	во второй	3	3
108	вероятно что	1	3
109	в частности	5	3
110	тот же	1	3
111	одной из	5	3
112	только в	9	3
113	в виде	5	3
114	в начале	1	3
115	в свои	2	3
116	к которому	1	3
117	все более	9	3
118	так же	9	3
119	как это	4	3
120	их к	1	3
121	по своему	7	3
122	одной стороны	8	3
123	в течение	5	3
124	всего в	2	3
125	в более	1	3
126	и все	2	3
127	все остальные	1	3
128	как известно	1	2
129	того же	3	2
130	тех же	1	2
131	ту же	1	2
132	из всех	3	2
133	том насколько	1	2
134	на себя	3	2
135	столь же	5	2
136	бы то	4	2
137	тем как	1	2
138	отличие от	1	2
139	за пределы	1	2
140	к сожалению	1	2
141	относится к	1	2
142	наряду с	2	2
143	в рамках	1	2
144	независимо от	4	2
145	что к	2	2
146	что по	1	2
147	было только	1	2
148	к числу	1	2
149	представленная в	1	2
150	в самом	4	2
151	в известном	3	2
152	в себе	9	2
153	в принципе	1	2
154	не к	2	2
155	в силу	2	2
156	на этом	1	2
157	то ни	4	2
158	было бы	8	2
159	и тем	3	2
160	для них	2	2
161	мы видели	3	2
162	такой же	2	2
163	или менее	1	2
164	всяком случае	3	2
165	правда в	1	2
166	одна из	1	2
167	в форму	1	2
168	к ней	4	2
169	по своей	2	2
170	и теперь	2	2
