N	3gram	Tiupa_Narr_1	StatiiOP
1	и т д	1	21
2	в том что	5	17
3	о том что	2	11
4	для того чтобы	3	10
5	с точки зрения	1	8
6	до сих пор	2	7
7	в этом отношении	3	7
8	у нас нет	1	7
9	на самом деле	1	6
10	в данном случае	8	6
11	с другой стороны	1	6
12	во всяком случае	2	6
13	в самом деле	2	5
14	не может быть	4	5
15	дело в том	2	4
16	то же время	4	4
17	не только в	6	4
18	на то что	2	4
19	в то же	4	4
20	по отношению к	3	3
21	тем или иным	2	3
22	и в самом	1	3
23	но все же	1	3
24	и даже не	1	2
25	в том числе	1	2
26	а во второй	1	2
27	в той же	1	2
28	но и в	2	2
29	и то что	1	2
30	том числе и	1	2
31	может быть и	1	2
32	по крайней мере	1	2
33	как раз в	2	2
34	с одной стороны	1	2
35	во втором случае	1	2
36	имеем дело с	2	2
37	на этот раз	1	2
38	речь идет о	3	2
39	из этих двух	2	2
40	тем не менее	3	2
41	как и в	1	2
42	в чем он	1	1
43	а во втором	2	1
44	это вовсе еще	1	1
45	если бы она	1	1
46	в той или	1	1
47	никогда не было	1	1
48	той или иной	4	1
49	точки зрения как	1	1
50	каждый из нас	1	1
51	а не в	1	1
52	таким каким он	2	1
53	по тем или	1	1
54	в соответствии с	4	1
55	дело не только	1	1
56	сих пор еще	1	1
57	не могла бы	1	1
58	же как и	1	1
59	в литературном отношении	1	1
60	в зависимости от	2	1
61	сами по себе	2	1
62	ни один человек	1	1
63	бы то ни	1	1
64	только то что	1	1
65	точно так же	1	1
66	но это вовсе	1	1
67	об этом не	1	1
68	в том случае	1	1
69	той же мере	1	1
70	содержит в себе	1	1
71	вплоть до второй	1	1
72	и в то	1	1
73	ровным счетом ничего	1	1
74	жизни и смерти	1	1
75	а с другой	1	1
76	об этом и	1	1
77	вовсе еще не	1	1
78	может быть общим	1	1
79	нам до сих	1	1
80	и не может	1	1
81	друг от друга	1	1
82	к тому что	1	1
83	внимание на то	2	1
84	а в тех	1	1
85	мы имеем дело	2	1
86	а в самом	1	1
87	до второй половины	1	1
