N	3gram	Trubetskoy_1	Komedia
1	в том что	15	9
2	в то время	2	5
3	с другой стороны	4	5
4	к тому же	5	5
5	том что он	2	4
6	то время как	1	4
7	в конце концов	4	4
8	то же время	2	4
9	в то же	2	4
10	по отношению к	9	3
11	с одной стороны	2	3
12	о том что	4	3
13	несмотря на всю	1	3
14	не в состоянии	2	2
15	не говоря уже	1	2
16	то же самое	1	2
17	говоря уже о	1	2
18	при этом что	2	2
19	до сих пор	8	2
20	как и в	2	2
21	то ни было	2	2
22	каждый из них	1	2
23	бы то ни	2	2
24	во всяком случае	2	2
25	и таким образом	1	2
26	именно потому что	2	2
27	на то что	7	2
28	таким образом в	3	2
29	хотя и не	1	1
30	мало или вовсе	1	1
31	что же касается	2	1
32	время от времени	2	1
33	состоит в том	1	1
34	со своей стороны	1	1
35	более или менее	7	1
36	в том числе	1	1
37	идет речь в	1	1
38	а между тем	8	1
39	в том же	3	1
40	с этой точки	1	1
41	в зависимости от	1	1
42	вместе с тем	2	1
43	и отличие от	1	1
44	а может быть	1	1
45	независимо от того	1	1
46	можно было бы	1	1
47	зрения в истории	1	1
48	с тех пор	1	1
49	и в конце	1	1
50	малейшего намека на	1	1
51	между тем с	1	1
52	греческой и римской	1	1
53	так же как	3	1
54	представление о том	1	1
55	в этой области	4	1
56	в данном случае	3	1
57	этих элементов и	1	1
58	именно в этой	1	1
59	в высшей степени	1	1
60	смысле этого слова	1	1
61	аргументы в пользу	2	1
62	но при этом	1	1
63	а сам не	1	1
64	как тот же	1	1
65	так или иначе	5	1
66	во всех отношениях	1	1
67	для этой цели	1	1
68	конце концов в	1	1
69	о которых идет	3	1
70	том что они	1	1
71	о которых мы	3	1
72	и в том	2	1
73	этой точки зрения	1	1
74	следить за тем	1	1
75	в тех случаях	1	1
76	по тем же	1	1
77	и тому же	1	1
78	что и сам	1	1
79	что у него	1	1
80	с самого начала	1	1
81	того чтобы проверить	1	1
82	друг от друга	6	1
83	которые могут быть	1	1
84	все это конечно	1	1
85	лицо к которому	1	1
86	тех случаях когда	1	1
87	в другом случае	1	1
88	к тому что	1	1
89	тем не менее	4	1
90	как мы видели	1	1
91	или вовсе не	1	1
92	мы уже знаем	1	1
93	для того чтобы	7	1
94	и все это	1	1
95	которых идет речь	3	1
96	из того же	2	1
97	одному и тому	1	1
98	из этих элементов	1	1
