N	3gram	Tiupa_Lite_2	Myslijsy
1	по отношению к	3	8
2	в том что	5	7
3	до тех пор	1	6
4	в этом случае	2	5
5	по крайней мере	2	5
6	не может быть	7	5
7	о том что	2	5
8	то же самое	1	4
9	и т п	2	4
10	и то что	1	4
11	для того чтобы	1	4
12	тем не менее	2	4
13	на самом деле	1	3
14	с точки зрения	3	3
15	вместе с тем	1	3
16	то же время	9	3
17	мы не можем	1	3
18	не только не	1	3
19	в то же	9	3
20	тех пор пока	1	2
21	подобно тому как	2	2
22	в данном случае	3	2
23	не могут быть	1	2
24	мы имеем дело	1	2
25	не в том	1	2
26	а в том	1	2
27	после того как	1	2
28	то есть в	1	2
29	то в его	1	1
30	есть не более	1	1
31	что же касается	1	1
32	как было сказано	1	1
33	в том числе	2	1
34	я в этом	1	1
35	но и не	1	1
36	по отношению ко	1	1
37	в этом отношении	3	1
38	и не может	1	1
39	при всей своей	2	1
40	нет и не	1	1
41	ничего общего с	1	1
42	в чем и	1	1
43	в первый раз	2	1
44	что может быть	1	1
45	этом случае мы	1	1
46	с одной стороны	6	1
47	имеем дело с	1	1
48	сказать и о	1	1
49	в свою очередь	1	1
50	со второй половины	1	1
51	с другой стороны	4	1
52	в мире а	1	1
53	все то что	1	1
54	в свое время	2	1
55	чем и состоит	1	1
56	в том чтобы	3	1
57	чтобы слово было	1	1
58	в одном из	1	1
59	речь идет о	3	1
60	том числе и	1	1
61	и находится в	1	1
62	и поэзии и	1	1
63	к тому что	1	1
64	быть не может	1	1
65	в сравнении с	2	1
66	как нам представляется	1	1
67	и других в	1	1
68	самом деле есть	1	1
