N	2gram	Tiupa_Anal_1	NovoeSre
1	а не	17	17
2	и в	18	16
3	не может	22	16
4	нового времени	1	12
5	и не	21	11
6	и есть	3	10
7	что в	5	9
8	как не	1	8
9	в том	27	8
10	жизни и	1	8
11	он не	3	8
12	культуры и	1	7
13	в этом	13	7
14	может быть	29	7
15	не будет	3	7
16	как и	13	7
17	с его	3	6
18	не в	14	6
19	ни в	4	6
20	никогда не	2	6
21	лишь в	5	6
22	но это	1	6
23	не знает	1	6
24	должен быть	6	5
25	в ней	1	5
26	культуры в	2	5
27	и к	3	5
28	не только	15	5
29	в нем	3	5
30	быть может	2	4
31	о том	5	4
32	в них	1	4
33	то что	6	4
34	это не	6	4
35	прежде всего	6	4
36	не было	1	4
37	должно быть	2	4
38	и потому	2	4
39	по своему	1	4
40	не менее	1	4
41	и для	1	4
42	и все	3	4
43	потому что	2	4
44	с другой	4	3
45	смысле слова	1	3
46	начало нового	1	3
47	в ее	1	3
48	должна быть	1	3
49	вопрос о	2	3
50	человека и	1	3
51	еще не	3	3
52	во всех	1	3
53	за пределы	2	3
54	как в	1	3
55	не значит	1	3
56	возвращение к	1	3
57	подобно тому	3	3
58	в мире	8	3
59	но и	17	3
60	не есть	8	3
61	не означает	1	3
62	с тем	1	3
63	в своей	6	3
64	тому как	3	3
65	в основе	6	3
66	жизни в	1	3
67	к тому	7	3
68	роль в	2	2
69	не имеют	1	2
70	так и	4	2
71	времени и	6	2
72	мы не	1	2
73	мира и	1	2
74	и с	2	2
75	для этого	2	2
76	я не	1	2
77	и должно	1	2
78	и что	1	2
79	и на	5	2
80	быть в	1	2
81	времени в	1	2
82	но не	10	2
83	в новом	2	2
84	все время	1	2
85	помнить что	1	2
86	хотя и	1	2
87	но в	8	2
88	который в	2	2
89	все эти	2	2
90	с одной	3	2
91	себя в	6	2
92	думать что	2	2
93	есть в	1	2
94	в себе	11	2
95	уже не	4	2
96	вернуться к	1	2
97	движение от	1	2
98	не к	2	2
99	том чтобы	7	2
100	у него	1	2
101	и заключается	2	2
102	что все	1	2
103	нет и	2	2
104	и даже	1	2
105	на уровне	3	2
106	и т.п	5	2
107	этом смысле	1	2
108	бытия в	1	2
109	личность в	2	2
110	для чего	2	2
111	том что	12	2
112	вместе с	4	2
113	место в	3	2
114	одной стороны	3	2
115	такого рода	5	2
116	другой стороны	2	2
117	том и	2	2
118	как будто	3	2
119	как это	1	2
120	такой же	2	2
121	равно как	1	2
122	в то	9	2
123	одна из	1	2
124	того чтобы	3	2
125	и от	1	2
126	не ставит	1	2
127	хотя бы	3	2
128	все они	1	2
129	познания и	1	2
130	а в	9	2
131	споры о	1	2
132	заключается что	1	2
133	могут быть	4	2
134	в категориях	2	2
135	оно может	3	1
136	обращена к	1	1
137	зависимость от	1	1
138	людей в	1	1
139	ни одно	2	1
140	для себя	2	1
