1	в то же время	2	3
2	в том случае если	4	1
3	на самом деле есть	1	1
4	нет и не может	1	1
5	лишь в том случае	2	1
6	то же самое что	1	1
7	таким образом мы видим	1	1
8	в том виде в	1	1
9	дело в том что	1	1
10	до сих пор не	4	1
11	том случае если бы	1	1
12	что рано или поздно	1	1
13	в том что как	1	1
14	и не может быть	1	1
15	а в том что	1	1
16	тем не менее в	1	1
17	а может быть и	1	1
18	разница только в степени	1	1
19	а для того чтобы	1	1
20	в настоящее время мы	1	1
21	лишь самое незначительное количество	1	1
22	заключается в том что	3	1
23	в этом случае мы	1	1
24	одной и той же	1	1
25	выше мы видели что	1	1
26	одного и того же	3	1
27	стороны одного и того	1	1
28	на первый взгляд кажется	1	1
29	есть не более как	1	1
30	и того же явления	1	1
31	в том и другом	1	1
32	не в том что	1	1
33	вытекают из самой сущности	1	1
34	что же касается до	2	1
35	в том числе и	1	1
