N	2gram	Berdyaev_N_1	Psycholo
1	и в	16	38
2	то что	4	35
3	все время	2	30
4	в том	8	25
5	в самом	1	25
6	что в	9	20
7	может быть	7	19
8	и что	2	18
9	что она	2	16
10	в ней	5	15
11	том что	2	14
12	потому что	4	14
13	в этом	7	13
14	в этой	1	13
15	и мы	4	13
16	не только	5	12
17	было бы	1	12
18	не в	6	12
19	что он	1	11
20	в сущности	1	10
21	и не	11	10
22	и все	4	10
23	того чтобы	2	9
24	с этим	2	8
25	говорит что	1	8
26	с тем	3	8
27	как и	7	8
28	и это	2	8
29	для того	1	8
30	мы уже	1	7
31	с другой	3	7
32	не может	16	7
33	в ее	3	7
34	а не	17	7
35	а в	2	7
36	и на	2	6
37	к чему	1	6
38	как это	2	6
39	он не	8	6
40	в котором	1	6
41	она не	3	6
42	не имеет	4	6
43	и его	1	6
44	к тому	3	6
45	о том	4	6
46	с одной	2	6
47	из них	1	6
48	так как	1	6
49	до сих	1	6
50	должна быть	3	5
51	мы не	2	5
52	я не	2	5
53	в своем	1	5
54	в которой	1	5
55	в своей	3	5
56	и когда	1	5
57	в его	1	5
58	но и	3	5
59	одной стороны	2	5
60	вместе с	2	5
61	в той	1	5
62	сих пор	1	5
63	другой стороны	2	5
64	время как	2	4
65	во всех	3	4
66	как в	3	4
67	все эти	2	4
68	в себе	2	4
69	в нем	5	4
70	но если	1	4
71	не могли	2	4
72	что этот	1	4
73	одна из	2	4
74	никогда не	6	4
75	как будто	2	4
76	в виду	1	4
77	только в	1	4
78	конечно не	3	4
79	у него	2	4
80	и даже	2	4
81	обратиться к	1	4
82	по своему	4	4
83	и для	4	4
84	в свою	1	4
85	сказать что	3	4
86	который не	1	4
87	должен быть	5	3
88	того же	1	3
89	и этот	1	3
90	из всех	1	3
91	совсем не	12	3
92	и к	5	3
93	но в	2	3
94	из этих	1	3
95	не к	2	3
96	что все	2	3
97	ни в	6	3
98	в них	4	3
99	в такой	1	3
100	место в	2	3
101	в то	2	3
102	в основе	3	3
103	на это	1	3
104	и которые	1	3
105	к тем	1	3
106	наряду с	3	3
107	и только	1	3
108	к ним	3	3
109	тем что	1	3
110	что не	1	3
111	когда она	1	3
112	только для	1	3
113	но это	6	3
114	все это	5	3
115	она должна	1	3
116	как на	1	3
117	от этой	1	2
118	что образ	1	2
119	он может	1	2
120	по преимуществу	1	2
121	не имеют	2	2
122	оно есть	1	2
123	на их	1	2
124	что его	1	2
125	в истории	3	2
126	он в	1	2
127	думать что	2	2
128	человеке и	1	2
129	не могла	2	2
130	все другие	1	2
131	в силу	1	2
132	в нее	1	2
133	нашего чувства	1	2
134	такой же	2	2
135	перед собой	1	2
136	в эту	1	2
137	растет и	3	2
138	но он	1	2
139	и более	1	2
140	их в	1	2
141	том и	2	2
142	в этих	1	2
143	и очень	1	2
144	нет никакого	1	2
145	все более	1	2
146	она могла	1	2
147	весь смысл	1	2
148	будут стремиться	1	2
149	под этим	1	2
150	к ней	1	2
151	то это	1	2
152	ли это	2	2
153	у нас	1	2
154	не могут	1	2
155	когда мы	2	2
156	а совсем	1	2
157	с ее	5	2
158	не могу	1	2
159	то время	1	2
160	мы в	1	2
161	же мере	1	2
162	для этого	2	2
163	с ним	1	2
164	и во	1	2
165	в которую	1	2
166	наше время	4	2
167	сам собой	1	2
168	все они	2	2
169	для всех	1	2
170	есть в	2	2
171	уже не	2	2
172	или не	1	2
173	к своим	1	2
174	всяком случае	1	2
175	в конце	1	2
176	и начал	1	2
177	и вместе	1	2
178	сам себя	1	2
179	уже давно	1	2
180	эти слова	1	2
181	к себе	1	2
182	хотя бы	2	2
183	к самой	2	2
184	но сам	1	2
185	есть только	1	2
186	это есть	7	2
187	о человеке	1	2
188	по существу	2	2
189	том смысле	1	2
190	быть не	1	2
191	в наше	3	2
192	не должна	1	2
193	так же	2	2
194	на гибель	2	2
195	к этой	1	2
196	они не	1	2
197	можно назвать	2	2
198	во всяком	1	2
199	же как	2	1
200	зависимость от	1	1
201	и потому	4	1
202	силы и	2	1
203	это и	2	1
204	и есть	10	1
205	он требует	1	1
206	и до	1	1
207	высшей степени	6	1
208	в зависимости	1	1
209	что мы	1	1
210	большую роль	4	1
211	не столько	1	1
212	на себя	1	1
213	и другая	1	1
214	из ее	2	1
215	той роли	1	1
216	выходим из	1	1
217	еще не	3	1
218	не имел	1	1
219	свои права	2	1
220	в чем	1	1
221	с его	6	1
222	что никаких	1	1
223	но не	2	1
224	которую она	2	1
225	эту природу	1	1
226	отличие от	1	1
227	нет и	2	1
228	в свои	2	1
229	красота и	1	1
230	истории мы	2	1
231	к новому	7	1
232	который составляет	1	1
233	хотя и	2	1
234	замечательной речи	1	1
235	с душой	1	1
236	что такова	1	1
237	о самом	1	1
238	бы сказать	1	1
239	в час	4	1
240	в известном	1	1
241	зависимости от	1	1
242	дальше и	1	1
243	и еще	1	1
244	переходит от	1	1
245	том чтобы	2	1
246	подобно тому	3	1
247	смысле как	1	1
248	заключает в	1	1
249	ее жизни	1	1
250	но все	1	1
251	это конечно	1	1
252	в одну	2	1
253	не будет	7	1
254	значение в	1	1
255	чего он	1	1
256	том случае	1	1
257	и с	2	1
258	с другими	1	1
259	это не	4	1
260	свою противоположность	1	1
261	в жизни	5	1
262	для них	1	1
263	жизни от	1	1
264	в высшей	6	1
265	нас к	1	1
266	он и	1	1
267	рода и	1	1
268	и было	2	1
269	должно быть	4	1
270	было ее	1	1
271	мы опять	1	1
272	что такое	3	1
273	этим будет	1	1
274	и всеми	1	1
275	во времена	1	1
276	что вся	1	1
277	двойственно и	1	1
278	мысли и	2	1
279	есть еще	1	1
280	и вся	1	1
281	одна сторона	1	1
282	мысли в	2	1
283	не по	1	1
284	и имеет	1	1
285	из их	1	1
286	того и	1	1
287	так много	1	1
288	как океан	1	1
289	в русском	2	1
290	тогда начинается	1	1
291	вот что	1	1
292	суровой и	1	1
293	к таким	1	1
294	и оно	1	1
295	и заключается	2	1
296	и всех	1	1
297	мы выходим	1	1
298	уже будет	1	1
299	понять что	1	1
300	бы он	1	1
301	формы к	1	1
302	не есть	3	1
303	все еще	1	1
304	все слова	1	1
305	отказаться от	1	1
306	россию и	1	1
307	над нами	1	1
308	характер и	1	1
309	роль в	2	1
310	слова а	1	1
311	можно было	2	1
312	так и	2	1
313	есть грех	1	1
314	учит нас	1	1
315	ли это?	1	1
316	не с	1	1
317	во все	1	1
318	нас и	1	1
319	будет уже	2	1
320	это я	1	1
321	еще при	1	1
322	можно сказать	1	1
323	времени в	2	1
324	знает что	1	1
325	это было	3	1
326	и хочет	1	1
327	раньше чем	1	1
328	нет у	1	1
329	и она	1	1
330	если взять	1	1
331	вступить в	1	1
332	будто бы	1	1
333	это совсем	2	1
334	это показывает	1	1
335	и у	1	1
336	себя и	1	1
337	от других	1	1
338	он стремится	1	1
339	не будут	2	1
340	и их	1	1
341	друг друга	1	1
342	они будут	1	1
343	к той	1	1
344	перейти к	3	1
345	не было	4	1
346	ней и	1	1
347	а на	1	1
348	пришли к	1	1
349	к которому	1	1
350	тому как	3	1
351	в отличие	1	1
352	эту двойственность	1	1
353	превращается в	1	1
354	от этого	1	1
355	был в	1	1
356	с большей	1	1
357	ничем не	1	1
358	имеют никакого	1	1
359	зависит от	2	1
360	видим перед	1	1
