N	4gram	Vygotskiy__1	Myslijsy
1	одной и той же	3	3
2	не что иное как	1	2
3	не в том что	1	2
4	одном и том же	1	2
5	что в таком случае	1	2
6	дело в том что	1	2
7	одного и того же	1	2
8	в том что по	1	2
9	имеет место только тогда	1	1
10	с психологической точки зрения	3	1
11	с этой точки зрения	4	1
12	исследование само по себе	1	1
13	как можно себе представить	1	1
14	не заключает в себе	1	1
15	и т д то	1	1
16	с одной стороны и	1	1
17	только в обществе и	1	1
18	д и т д	1	1
19	место только тогда когда	1	1
20	указывает на то что	3	1
21	с другой стороны и	2	1
22	это не потому что	1	1
23	точно так же как	1	1
24	заключается в том что	3	1
25	могут быть сведены к	1	1
