N	3gram	Ircho_Kome_3	NovoeSre
1	подобно тому как	1	3
2	лицом к лицу	1	3
3	равно как и	1	2
4	вместе с тем	3	2
5	с одной стороны	3	2
6	с другой стороны	2	2
7	вопрос о том	1	2
8	то время как	2	1
9	и до сих	1	1
10	в том числе	1	1
11	не было и	1	1
12	как это было	1	1
13	до сих пор	9	1
14	и не может	1	1
15	в зависимости от	1	1
16	мы конечно не	1	1
17	в отличие от	1	1
18	наряду с этим	2	1
19	том числе и	1	1
20	может быть только	1	1
21	вполне возможно что	2	1
22	еще не знает	1	1
23	в том чтобы	1	1
24	то что он	1	1
25	во всяком случае	3	1
26	о том что	4	1
27	в то время	2	1
28	в том что	9	1
