N	3gram	Potebnia_M_2	FransuaR
1	то же время	2	9
2	в то же	2	9
3	для того чтобы	2	6
4	в том что	7	6
5	в связи с	1	5
6	на самом деле	2	4
7	до сих пор	4	3
8	и во всех	2	3
9	и связанные с	1	2
10	дело в том	1	2
11	как и во	2	2
12	в отличие от	1	2
13	его как бы	1	2
14	и не в	1	2
15	между человеком и	1	2
16	о том как	1	2
17	в то время	4	2
18	по тому же	1	2
19	не может быть	2	2
20	то есть в	1	2
21	в большинстве случаев	1	2
22	здесь как и	1	2
23	и того же	6	1
24	у нас есть	1	1
25	что с ним	1	1
26	вводит его в	1	1
27	мы его не	1	1
28	потому что в	1	1
29	и той же	1	1
30	далеко не все	1	1
31	не только о	1	1
32	и все остальные	2	1
33	и в общем	1	1
34	прежде всего его	1	1
35	между тем как	2	1
36	то что в	2	1
37	но это не	1	1
38	но вряд ли	1	1
39	также что в	1	1
40	в эту минуту	3	1
41	одном и том	1	1
42	мы видели что	1	1
43	вместе с тем	1	1
44	только для того	1	1
45	в себе в	1	1
46	что во время	1	1
47	и том же	1	1
48	между собою и	1	1
49	том как он	1	1
50	во всех этих	1	1
51	в одном случае	1	1
52	не было ничего	1	1
53	независимо от их	2	1
54	в общем не	1	1
55	если бы и	1	1
56	одной и той	1	1
57	не затем чтобы	1	1
58	в одном и	1	1
59	не имеет значения	1	1
60	мы не можем	3	1
61	от того что	4	1
62	так и в	2	1
63	как и в	1	1
64	в свою очередь	6	1
65	на этом основании	1	1
66	и на все	1	1
67	о том что	1	1
68	ничего общего с	1	1
69	и в самом	1	1
70	одного и того	6	1
71	друг от друга	1	1
72	то время когда	1	1
73	мы говорим здесь	1	1
74	после того как	2	1
75	тем не менее	5	1
76	что и в	1	1
77	только тогда когда	2	1
78	во все стороны	1	1
