N	2gram	Voloshinov_1	ViktorSh
1	в том	3	2
2	и в	16	2
3	в конце	1	2
4	том что	3	2
5	дело в	1	1
6	только в	4	1
7	и не	4	1
8	в другом	1	1
9	то же	2	1
10	социальных отношений	1	1
11	и почти	1	1
12	по крайней	3	1
13	этом и	1	1
14	так как	4	1
15	все время	1	1
16	и его	8	1
17	то я	1	1
18	к этому	2	1
19	для них	1	1
20	к чему	1	1
21	в этом	9	1
22	главным образом	1	1
23	крайней мере	3	1
24	столь же	1	1
25	сводится к	2	1
26	и только	9	1
27	и то	1	1
28	в частности	2	1
29	сводится в	1	1
30	по поводу	1	1
31	хотя бы	4	1
32	в самом	2	1
33	говоря о	1	1
34	все то	2	1
35	не будем	1	1
36	и т.д	1	1
37	на одном	1	1
38	даже не	3	1
39	все это	4	1
40	ведь это	1	1
41	но это	2	1
42	и мало	1	1
43	же с	1	1
44	самом деле	6	1
45	я не	1	1
