N	2gram	Savitsky_E_1	Freidism
1	таким образом	2	24
2	и не	14	23
3	не может	9	20
4	точки зрения	23	19
5	прежде всего	9	18
6	в этом	12	15
7	в его	2	15
8	мы можем	3	13
9	может быть	6	13
10	и его	1	12
11	все эти	1	11
12	как и	7	11
13	с точки	17	11
14	как бы	6	11
15	то что	6	11
16	но в	14	10
17	с ним	1	10
18	как мы	5	10
19	так и	10	10
20	и потому	5	10
21	с его	1	9
22	во всех	6	9
23	по отношению	1	9
24	и в	37	9
25	то же	15	8
26	влечение к	1	8
27	не только	18	8
28	он не	2	8
29	в своей	8	8
30	только в	9	8
31	так как	7	8
32	и все	2	8
33	все что	1	8
34	в самом	4	7
35	и наконец	2	7
36	мы видели	3	7
37	те же	1	7
38	к нему	2	7
39	один из	1	7
40	тот же	1	7
41	мы знаем	1	7
42	всяком случае	3	7
43	что же	2	7
44	сказать что	4	7
45	во всяком	3	7
46	в ней	4	6
47	за пределы	1	6
48	и с	2	6
49	и ее	1	6
50	того что	7	6
51	для него	1	6
52	вовсе не	6	6
53	никогда не	3	6
54	хотя бы	15	6
55	культурного творчества	2	5
56	и на	6	5
57	он сам	2	5
58	и к	3	5
59	в этой	2	5
60	не в	5	5
61	мы должны	2	5
62	в то	16	5
63	в каком	4	5
64	могут быть	2	5
65	для этого	1	5
66	можно сказать	4	5
67	для того	6	5
68	в большинстве	2	5
69	большинстве случаев	3	5
70	и прежде	3	5
71	а в	2	5
72	но и	14	5
73	связь с	1	5
74	с этим	2	5
75	его жизни	1	5
76	в свою	3	5
77	что в	21	5
78	той же	1	4
79	мы не	4	4
80	говорить о	1	4
81	но не	5	4
82	все же	1	4
83	не было	1	4
84	в пределах	25	4
85	с их	1	4
86	в нем	1	4
87	всех этих	1	4
88	на этом	1	4
89	то ни	4	4
90	при этом	1	4
91	об этом	1	4
92	с другими	2	4
93	в жизни	1	4
94	на основании	2	4
95	не менее	1	4
96	в основе	1	4
97	же время	14	4
98	потому что	3	4
99	и для	3	4
100	к тому	8	4
101	если мы	1	4
102	того чтобы	6	4
103	данном случае	2	4
104	сводится к	1	4
105	с ними	1	4
106	конечно не	1	4
107	уже не	1	4
