N	2gram	Bakhtin_Pr_1	Tvorches
1	у достоевского	24	30
2	и в	23	20
3	в году	1	16
4	в романе	11	15
5	в романах	7	13
6	романах достоевского	6	13
7	не только	13	13
8	никогда не	5	11
9	как бы	28	11
10	таким образом	11	10
11	в то	10	10
12	в его	24	10
13	достоевского в	19	9
14	и его	13	9
15	и не	34	9
16	ивана карамазова	5	8
17	достоевского не	11	8
18	при этом	3	8
19	достоевского как	12	8
20	и с	4	8
21	в том	11	8
22	может быть	21	8
23	в этом	25	8
24	прежде всего	7	8
25	но и	11	8
26	то же	10	7
27	идей в	1	7
28	это не	10	7
29	же время	7	7
30	иван карамазов	1	7
31	наряду с	1	7
32	потому что	12	7
33	достоевский в	7	7
34	не может	11	7
35	братьях карамазовых	1	7
36	что в	8	7
37	из подполья	11	6
38	в целом	4	6
39	в братьях	1	6
40	как и	8	6
41	в своей	11	6
42	что он	10	6
43	так и	10	6
44	в конце	5	6
45	у него	6	6
46	именно в	6	6
47	а не	20	6
48	романе достоевского	9	6
49	в основном	2	6
50	все это	7	6
51	например в	3	5
52	еще не	5	5
53	и на	10	5
54	но не	8	5
55	все же	5	5
56	героев достоевского	3	5
57	в этой	4	5
58	и сам	2	5
59	в творческом	1	5
60	в мире	7	5
61	романа достоевского	14	5
62	достоевский не	5	5
63	то есть	24	5
64	о том	2	5
65	и даже	3	5
66	достоевского с	7	5
67	в творчестве	5	5
68	но это	5	5
69	романов достоевского	12	5
70	так же	6	5
71	мы не	2	4
72	все эти	8	4
73	и достоевский	3	4
74	что они	1	4
75	как в	6	4
76	хотя и	1	4
77	но в	4	4
78	за собой	1	4
79	не в	6	4
80	творчество достоевского	3	4
81	в дальнейшем	1	4
82	на его	2	4
83	что она	2	4
84	что у	1	4
85	об этом	1	4
86	в черновиках	1	4
87	если бы	10	4
88	тем самым	1	4
89	литературной традиции	1	4
90	ничего не	6	4
91	по нашему	5	4
92	в духе	3	4
93	в чем	1	4
94	творческого процесса	3	4
95	мы видим	3	4
96	герои достоевского	3	4
97	творчестве достоевского	5	4
98	а в	7	4
99	нашему мнению	3	4
100	и потому	3	4
101	и от	1	4
102	героя в	4	4
103	том что	9	4
104	но у	2	4
105	одним из	8	3
106	же как	1	3
107	и отчасти	1	3
108	на западе	2	3
109	самой своей	1	3
110	что достоевский	3	3
111	он сам	3	3
112	роман достоевского	11	3
113	а с	1	3
114	по отношению	11	3
115	тогда как	1	3
116	в одной	4	3
117	отношению к	11	3
118	в себе	5	3
119	в нем	20	3
120	он не	4	3
121	в плане	5	3
122	человека в	5	3
123	я бы	1	3
124	его в	4	3
125	достоевского но	8	3
126	в самом	8	3
127	в котором	2	3
128	в их	3	3
129	место в	1	3
130	в которых	2	3
131	своего рода	1	3
132	достоевского от	2	3
133	тем что	3	3
134	одна из	2	3
135	казалось бы	1	3
136	и это	5	3
137	с ним	6	3
138	мире достоевского	5	3
139	творческий процесс	1	3
140	до сих	2	3
141	между тем	5	3
142	достоевского это	1	3
143	романа и	4	3
144	этот вопрос	2	3
145	достоевского можно	1	3
146	уже не	8	3
147	в начале	1	3
148	для него	15	3
149	так как	7	3
150	то что	18	3
151	подпольного человека	1	3
152	как у	2	3
153	что не	1	3
154	превращается в	1	3
155	в свете	3	3
156	xx века	1	3
157	вместе с	2	3
158	несколько раз	1	3
159	с этой	1	3
160	в й	2	3
161	сих пор	2	3
162	один из	2	3
163	достоевского нет	3	3
164	своих героев	3	3
165	жизни в	1	3
166	одной из	1	3
167	в своих	2	3
168	к этому	2	3
169	неотделима от	1	2
170	самом деле	5	2
171	от этой	1	2
172	и есть	5	2
173	по преимуществу	3	2
174	преступления и	1	2
175	достоевского мы	4	2
176	говорить о	2	2
177	я не	3	2
178	подполья в	1	2
179	стремление достоевского	1	2
180	и он	1	2
181	роман и	1	2
182	как правило	1	2
183	в ее	1	2
184	нет и	1	2
185	во многом	1	2
186	во что	2	2
187	так что	1	2
188	в истории	2	2
189	и наконец	5	2
190	в этот	2	2
191	но эта	4	2
192	в которой	4	2
193	отказывается от	1	2
194	с князем	1	2
195	тоже не	1	2
196	но ведь	1	2
197	так сказать	3	2
198	над героем	1	2
199	едва ли	1	2
200	и сколько	1	2
201	характер в	1	2
202	и по	2	2
203	при помощи	1	2
204	или наконец	1	2
205	к миру	1	2
206	авторского сознания	5	2
207	и наказания	1	2
208	иваном карамазовым	1	2
209	достоевского и	12	2
210	романы достоевского	3	2
211	произведениях достоевского	5	2
212	такой же	1	2
213	реализм достоевского	1	2
214	и еще	1	2
215	личности это	1	2
216	не столько	3	2
217	в отличие	2	2
218	что я	1	2
219	одном из	2	2
220	точку зрения	4	2
221	как достоевский	3	2
222	у тургенева	1	2
223	их в	2	2
224	не могли	2	2
225	в устах	1	2
226	его духовного	1	2
227	героем и	1	2
228	между людьми	1	2
229	не менее	1	2
230	xviii века	1	2
231	на него	2	2
232	в процессе	4	2
233	в русской	1	2
234	весь роман	1	2
235	карамазова и	4	2
236	трагедии в	1	2
237	достоевский изображает	1	2
238	своих романах	1	2
239	другой стороны	2	2
240	в роман	1	2
241	с полным	1	2
242	достоевским в	1	2
243	у нас	1	2
244	и далее	1	2
245	личности в	4	2
246	могут быть	1	2
247	же не	1	2
248	достоевского к	5	2
249	как по	1	2
250	приводит к	3	2
251	роль в	2	2
252	полным правом	1	2
253	он писал	3	2
254	и что	1	2
255	самого достоевского	6	2
256	достоевского всегда	1	2
257	идей а	1	2
258	и только	1	2
259	крайней мере	2	2
260	всяком случае	3	2
261	все время	1	2
262	в литературе	3	2
263	к которому	1	2
264	всякого рода	1	2
265	только в	8	2
266	достоевского для	2	2
267	наше время	1	2
268	точка зрения	7	2
269	себя в	3	2
270	и у	4	2
271	уже в	5	2
272	героя с	2	2
273	й главе	2	2
274	на ней	1	2
275	или даже	2	2
276	и других	5	2
277	из них	2	2
278	его и	1	2
279	не так	1	2
280	в одном	9	2
281	вовсе не	8	2
282	но достоевский	1	2
283	может служить	1	2
284	друг друга	3	2
285	только с	2	2
286	другом в	1	2
287	отличие от	2	2
288	рядом с	13	2
289	с другой	2	2
290	с героями	3	2
291	не было	3	2
292	это прежде	1	2
293	на этот	2	2
294	идеи в	7	2
295	по крайней	2	2
296	в произведениях	2	2
297	в частности	1	2
298	характеров и	1	2
299	не знал	1	2
300	в россии	1	2
301	о человеке	1	2
302	в первой	2	2
303	него в	2	2
304	и тогда	1	2
305	более того	3	2
306	это уже	1	2
307	для автора	3	2
308	в основе	5	2
309	о достоевском	12	2
310	более всего	1	2
311	для достоевского	6	2
312	с другими	7	2
313	доминантой характера	1	2
314	героя и	5	2
315	из этого	1	2
316	сам в	1	2
317	но эти	2	2
318	в искусстве	2	2
319	во всяком	4	2
320	если б	1	1
321	можно говорить	2	1
322	в сфере	2	1
323	как его	1	1
324	не видим	1	1
325	это и	9	1
326	идеями в	2	1
327	роман о	1	1
328	в первом	2	1
329	из его	3	1
330	человека достоевский	2	1
331	видеть в	1	1
332	и за	1	1
333	мышкиным и	1	1
334	мы уже	2	1
335	той же	6	1
336	из всех	1	1
337	заранее обессилена	1	1
338	жестокий талант	1	1
339	со всех	1	1
340	и значение	1	1
341	бы уже	2	1
342	из всего	2	1
343	что если	1	1
344	общества и	1	1
345	и тут	1	1
346	не делает	1	1
347	в первый	1	1
348	господствует над	1	1
349	по достоевскому	2	1
350	которой достоевский	1	1
351	этом не	1	1
352	не была	1	1
353	роман в	2	1
354	мира достоевского	4	1
355	на себя	3	1
356	достоевский был	4	1
357	петербурга и	1	1
358	то это	1	1
359	какой-то другой	1	1
360	этом плане	1	1
361	в традиционном	1	1
362	же что	2	1
363	или ивана	1	1
364	от идеи	1	1
365	из книг	1	1
366	с его	6	1
367	во всех	5	1
368	в создании	1	1
369	иного рода	1	1
370	этих миров	1	1
371	времени как	1	1
372	романа то	1	1
373	сознании достоевского	1	1
374	но как	3	1
375	а только	1	1
376	себе он	1	1
377	к которой	1	1
378	и всякий	1	1
379	сознания не	3	1
380	не все	1	1
381	ответ на	1	1
382	за их	1	1
383	изображает как	1	1
384	менее всего	4	1
385	макара девушкина	1	1
386	и диалога	1	1
387	в жизни	6	1
388	отношение к	1	1
389	автор же	1	1
390	романе а	1	1
391	изображения и	4	1
392	чем же	1	1
393	толстого и	2	1
394	в рамках	2	1
395	автора в	2	1
396	с этим	1	1
397	но принцип	1	1
398	и нет	1	1
399	мир достоевского	11	1
400	однако не	2	1
401	перед нами	4	1
402	романа но	2	1
403	как уже	1	1
404	и как	8	1
405	не являются	1	1
406	его к	4	1
407	бы мир	1	1
408	и к	4	1
409	в противоположность	3	1
410	мир по	2	1
411	романе не	1	1
412	сливается с	2	1
413	достоевского хотя	1	1
414	что это	1	1
415	всего романа	1	1
416	в известном	1	1
417	позиции автора	1	1
418	из этих	2	1
419	замысла и	1	1
420	с их	5	1
421	элементов в	1	1
422	нами в	1	1
423	и до	1	1
424	но его	1	1
425	героя к	1	1
426	мысли и	2	1
427	о принципиальной	1	1
428	он ни	1	1
429	поскольку он	1	1
430	интересно и	1	1
431	высшей степени	1	1
432	не значит	2	1
433	к одному	1	1
434	них нет	1	1
435	не к	1	1
436	и вот	2	1
437	была идея	2	1
438	извне как	1	1
439	работе идеологический	1	1
440	идеологический роман	2	1
441	достоевского со	2	1
442	можно было	3	1
443	героя который	1	1
444	слова не	1	1
445	в каждом	8	1
446	в работе	1	1
447	свободой и	1	1
448	что все	3	1
449	значение в	1	1
450	чего он	1	1
451	поэтому с	1	1
452	а его	3	1
453	ценности и	1	1
454	достоевский создал	1	1
455	художественный образ	1	1
456	входит в	2	1
457	того или	1	1
458	заключается в	2	1
459	его личности	2	1
460	на бумаге	1	1
461	подходит к	4	1
462	понял что	1	1
463	одну мысль	1	1
464	было бы	6	1
465	характер не	1	1
466	по себе	7	1
467	ведь в	1	1
468	я считаю	1	1
469	ни в	3	1
470	для них	1	1
471	вводит в	2	1
472	в них	3	1
473	нет в	1	1
474	князем мышкиным	1	1
475	за пределами	1	1
476	несмотря на	6	1
477	смысле или	1	1
478	ведет к	1	1
479	в развитии	1	1
480	должно быть	1	1
481	потому и	1	1
482	вячеслав иванов	4	1
483	в один	2	1
484	остается в	2	1
485	их на	1	1
486	энгельгардт это	1	1
487	его восприятие	1	1
488	в эту	1	1
489	построения романа	5	1
490	в этих	2	1
491	таким же	2	1
492	его герои	1	1
493	о герое	1	1
494	сам и	1	1
495	признать что	1	1
496	и о	3	1
497	является только	1	1
498	образом и	1	1
499	но он	2	1
500	в философии	1	1
501	в драмах	1	1
502	и более	1	1
503	произведения в	1	1
504	однако в	2	1
505	приводит его	2	1
506	подполья нам	1	1
507	важно лишь	1	1
508	зрения и	2	1
509	любовь к	1	1
510	даже в	2	1
511	сам он	3	1
512	и достоевского	1	1
