N	3gram	Losev_Prob_4	Sovremen
1	с точки зрения	11	5
2	в зависимости от	3	4
3	с самого начала	1	3
4	тем не менее	10	2
5	во всяком случае	4	2
6	в свою очередь	1	2
7	времени и пространства	1	2
8	в настоящее время	1	2
9	то же самое	6	2
10	из них это	1	1
11	и может быть	1	1
12	в том как	1	1
13	что иное как	2	1
14	в известном смысле	1	1
15	и не было	2	1
16	по крайней мере	6	1
17	и есть не	1	1
18	прежде всего человек	1	1
19	всяком случае не	1	1
20	в одном случае	2	1
21	не в том	1	1
22	бы все это	1	1
23	в связи с	3	1
24	не в виде	1	1
25	дело в том	1	1
26	с ним или	1	1
27	равно как и	1	1
28	на самом деле	3	1
29	как и во	1	1
30	в новое время	1	1
31	в этом смысле	3	1
32	так же как	1	1
33	другое дело если	1	1
34	и ни в	3	1
35	до сих пор	1	1
36	тот или иной	2	1
37	и в то	1	1
38	сами по себе	2	1
39	есть не что	2	1
40	бы то ни	1	1
41	а может быть	1	1
42	ведь это не	1	1
43	мы не знаем	1	1
44	и в новое	1	1
45	это значит что	7	1
46	но отнюдь не	1	1
47	можно было бы	4	1
48	и не может	1	1
49	той или иной	11	1
50	и прежде всего	2	1
51	но все же	1	1
52	явлений и не	1	1
53	в то же	2	1
54	те или иные	4	1
55	не что иное	2	1
56	не подлежит никакому	1	1
57	в том что	8	1
58	в этой области	1	1
59	в данном случае	5	1
60	то ни было	1	1
61	подлежит никакому сомнению	1	1
62	и наконец все	1	1
63	с одной стороны	1	1
