N	2gram	Berdyaev_O_1	Dialekti
1	не есть	2	47
2	и не	13	30
3	т е	4	30
4	может быть	11	20
5	не только	11	19
6	и в	19	19
7	по себе	2	18
8	а не	11	16
9	в себе	3	15
10	что она	1	14
11	потому что	9	14
12	то что	5	14
13	в том	5	14
14	так как	2	14
15	и даже	1	14
16	как бы	3	14
17	вовсе не	1	13
18	но и	13	12
19	и все	10	12
20	и как	1	10
21	что это	1	10
22	в нем	10	10
23	как и	6	10
24	том что	2	10
25	сказать что	2	10
26	так и	2	10
27	это не	3	10
28	никогда не	9	9
29	же и	1	9
30	не может	4	9
31	в этом	12	8
32	в своей	2	8
33	не в	11	8
34	она не	1	8
35	прежде всего	9	8
36	это есть	1	8
37	и то	2	7
38	есть не	1	7
39	так что	2	7
40	и к	2	7
41	должно быть	2	7
42	как это	1	7
43	в душе	2	7
44	как будто	1	7
45	совершенно не	1	7
46	но это	1	7
47	что в	4	7
48	чтобы не	1	6
49	но не	1	6
50	что они	2	6
51	не могу	1	6
52	что он	3	6
53	не потому	1	6
54	что не	4	6
55	того что	3	6
56	да и	1	6
57	личности и	2	6
58	жизни и	1	6
59	и потому	2	5
60	и это	1	5
61	должна быть	1	5
62	в силу	1	5
63	и его	4	5
64	и с	2	5
65	в виду	1	5
66	о том	3	5
67	и что	1	5
68	что и	2	5
69	а именно	1	5
70	и пр	1	5
71	в одно	1	5
72	в самом	5	5
73	и есть	3	4
74	еще не	3	4
75	и нигде	1	4
76	самом деле	1	4
77	в одной	1	4
78	в своем	2	4
79	все же	2	4
80	нет никакой	1	4
81	та же	1	4
82	он не	7	4
83	же это	2	4
84	и вот	3	4
85	заключается в	1	4
86	нисколько не	1	4
87	в одном	1	4
88	но он	7	4
89	все это	6	4
90	с ним	3	4
91	по своей	1	4
92	не могут	3	4
93	это конечно	1	4
94	в ее	2	4
95	и когда	1	4
96	в другом	2	4
97	к нему	3	4
98	вопрос об	1	4
99	уже в	2	4
100	ни с	7	4
101	одно из	2	4
102	от того	1	4
103	могут быть	3	4
104	хотя бы	3	4
105	а в	5	4
106	сам по	1	3
107	и тут	1	3
108	вопрос о	10	3
109	себе и	1	3
110	есть просто	1	3
111	в этой	5	3
112	от этого	1	3
113	это за	3	3
114	одно время	1	3
115	после этого	1	3
116	есть та	1	3
117	в глубину	2	3
118	же не	1	3
119	его в	2	3
120	это было	3	3
121	чтобы все	1	3
122	было бы	3	3
123	и тогда	1	3
124	в этих	3	3
125	и более	1	3
126	вещей и	1	3
127	можно ли	2	3
128	ничего не	2	3
129	в разных	1	3
130	все его	1	3
131	уже не	1	3
132	нуждается в	1	3
133	все время	1	3
134	сразу же	2	3
135	будто бы	1	3
136	из них	1	3
137	ведь это	2	3
138	много раз	2	3
139	и из	2	3
140	что лик	1	3
141	не было	9	3
142	о чем	1	3
143	в это	1	3
144	и от	3	3
145	его с	1	3
146	была бы	1	3
147	если вы	1	2
148	также и	1	2
149	человека и	10	2
150	связана с	1	2
151	на самом	1	2
152	тем же	1	2
153	он всегда	7	2
154	его не	2	2
155	например в	1	2
156	из всего	2	2
157	бы ни	1	2
158	в ней	1	2
159	и я	1	2
160	в истории	2	2
161	как в	1	2
162	и нет	2	2
163	но в	2	2
164	не очень	2	2
165	в которой	2	2
166	бы и	1	2
167	все эти	4	2
168	в каждом	1	2
169	в мире	1	2
170	в жизни	1	2
171	только одно	3	2
172	бытие и	1	2
173	она и	1	2
174	с тем	2	2
175	нет никакого	1	2
176	что есть	2	2
177	в вечном	1	2
178	того как	1	2
179	в науке	1	2
180	в сущности	1	2
181	не по	1	2
182	только и	4	2
183	действительно в	1	2
184	всегда есть	4	2
185	в конце	1	2
186	что у	2	2
187	том как	1	2
188	это я	1	2
189	все в	4	2
190	и можно	1	2
191	всяком случае	1	2
192	в сферу	1	2
193	с ними	1	2
194	а потому	1	2
195	само по	1	2
196	тем что	2	2
197	момент в	2	2
198	и прежде	1	2
199	был в	1	2
200	в частности	1	2
201	самой вечности	1	2
202	что же	2	2
203	но о	1	2
204	есть уже	1	2
205	это все	1	2
206	но всегда	1	2
207	личность и	1	2
208	не быть	1	2
209	ее в	2	2
210	в своих	3	2
211	во всяком	1	2
212	всегда в	1	1
213	смысле слова	1	1
214	между двумя	1	1
215	достоевского в	3	1
216	и до	1	1
217	уже указывали	1	1
218	им самим	1	1
219	сравнению с	1	1
220	и ни	2	1
221	не все	2	1
222	быть осуществлено	1	1
223	и он	8	1
224	он был	8	1
225	он сам	4	1
226	природы и	2	1
227	покой и	1	1
228	к которой	1	1
229	со всеми	1	1
230	в новом	1	1
231	человека его	3	1
232	не оставить	1	1
233	человеческая личность	1	1
234	когда он	3	1
235	духа и	1	1
236	человек совершает	1	1
237	уже с	1	1
238	то в	1	1
239	духа в	1	1
240	только один	1	1
241	к чему	1	1
242	из жизни	1	1
243	за это	1	1
244	он в	2	1
245	с их	1	1
246	чувств и	1	1
247	в братьях	1	1
248	с чем	2	1
249	образ и	1	1
250	раз навсегда	1	1
251	на земле	4	1
252	из него	1	1
253	он убивает	1	1
254	я бы	1	1
255	больше всего	1	1
256	что все	2	1
257	в глубине	7	1
258	и менее	1	1
259	лишь на	1	1
260	истории и	1	1
261	тех которые	1	1
262	в них	1	1
263	попадает в	1	1
264	всю жизнь	1	1
265	всегда и	1	1
266	чем в	2	1
267	жизнь а	1	1
268	ибо вечность	1	1
269	его образ	1	1
270	в недра	1	1
271	и ее	3	1
272	в котором	1	1
273	о христе	3	1
274	ли так	1	1
275	не созерцает	2	1
276	это вопрос	1	1
277	и очень	2	1
278	глубину как	1	1
279	ее с	1	1
280	его судьба	1	1
281	виду не	1	1
282	идти в	1	1
283	в нас	1	1
284	человека от	1	1
285	одна из	1	1
286	и любовь	2	1
287	этом отношении	1	1
288	с другом	1	1
289	или лучше	1	1
290	начиная с	1	1
291	было у	1	1
292	отличается от	1	1
293	они и	1	1
294	и самое	1	1
295	можно и	1	1
296	и о	2	1
297	не существует	1	1
298	могут и	1	1
299	мысль о	2	1
300	стремиться к	1	1
301	в глаза	1	1
302	но остается	1	1
303	к его	1	1
304	подойти к	2	1
305	и на	2	1
306	не стоит	1	1
307	и душа	2	1
308	по сравнению	1	1
309	настолько же	2	1
310	быть может	3	1
311	это какое-то	1	1
312	и действий	1	1
313	с утра	1	1
314	очищения и	1	1
315	и здесь	1	1
316	с тою	1	1
317	почему же	1	1
318	любви к	1	1
319	это была	1	1
320	нет у	1	1
321	в которую	1	1
322	но ничего	1	1
323	которой все	1	1
324	у обоих	1	1
325	говорит в	1	1
326	никакого другого	2	1
327	бросается в	1	1
328	людей а	1	1
329	интереса к	1	1
330	совсем не	2	1
331	проникнуть в	1	1
332	не имеет	2	1
333	во всем	1	1
334	и действительно	1	1
335	и после	1	1
336	их не	2	1
337	в эти	1	1
338	человека с	1	1
339	с какой	1	1
340	больше всех	2	1
341	я имею	1	1
342	и везде	1	1
343	а это	1	1
344	на этих	1	1
345	его и	1	1
346	только их	1	1
347	ли сказать	2	1
348	у нее	1	1
349	братьях карамазовых	1	1
350	у него	22	1
351	почему не	1	1
352	нее не	1	1
353	к одной	1	1
354	и всякий	1	1
355	в других	2	1
356	даже и	2	1
357	не овладел	1	1
358	одном месте	1	1
359	и характер	1	1
360	что пишет	1	1
361	и начинается	1	1
362	как у	1	1
363	на то	1	1
364	было и	1	1
365	говорит о	1	1
366	месте и	1	1
367	может ли	1	1
368	его как	1	1
369	человек в	1	1
370	от самой	1	1
371	свое собственное	1	1
372	только несколько	1	1
373	опыт в	1	1
374	в великом	1	1
375	и ему	1	1
376	я хочу	1	1
377	нет ничего	7	1
378	и никакая	1	1
379	слишком много	1	1
380	друг с	1	1
381	особенное значение	1	1
382	и всех	1	1
383	ты не	1	1
384	но почему	1	1
385	может привести	1	1
386	своей жизни	2	1
387	оба они	1	1
388	остается и	1	1
389	видно что	1	1
390	он делается	1	1
391	тут все	1	1
392	от человека	2	1
393	мысли не	1	1
394	самое главное	2	1
395	в его	7	1
396	есть одно	1	1
397	человек и	4	1
398	к счастью	1	1
399	ее и	1	1
400	которые будут	1	1
401	погруженность в	1	1
402	у достоевского	19	1
403	страдании но	1	1
404	мы не	1	1
405	состоит из	1	1
406	а ведь	1	1
407	сама душа	1	1
408	не иметь	1	1
409	ко всему	1	1
410	в свое	1	1
411	ли он	1	1
412	на своем	1	1
413	в голову	1	1
414	предстала перед	1	1
415	и эта	1	1
416	все что	3	1
417	от самого	2	1
