N	3gram	Tiupa_Lite_1	DiskursI
1	в том что	11	13
2	по отношению к	2	9
3	с одной стороны	2	9
4	тогда как в	1	5
5	о том что	2	5
6	в отличие от	5	4
7	то же время	5	4
8	к тому же	1	4
9	но при этом	2	3
10	а с другой	1	3
11	не может быть	1	3
12	в свою очередь	1	3
13	с другой стороны	1	3
14	в то же	5	3
15	пока еще не	1	3
16	в е годы	2	2
17	мы имеем дело	1	2
18	и того же	1	2
19	а не в	1	2
20	по этой причине	2	2
21	уже не является	1	2
22	не говоря уже	2	2
23	подобно тому как	2	2
24	в том числе	1	2
25	в соответствии с	1	2
26	в одной из	1	2
27	и не только	1	2
28	тот или иной	1	2
29	говоря уже о	1	2
30	в наше время	1	2
31	по крайней мере	1	2
32	на мой взгляд	1	2
33	в значительной степени	1	2
34	а не только	1	2
35	в данном случае	4	2
36	по сути своей	1	2
37	не только в	4	2
38	не сводится к	3	2
39	состоит в том	5	2
40	едва ли не	1	2
41	этом своем качестве	1	2
42	в этом своем	1	2
43	только в том	2	2
44	одного и того	1	2
45	в силу своей	3	2
46	здесь как и	1	1
47	на том что	1	1
48	эстетическое переживание переживания	1	1
49	еще и в	1	1
50	в чистом виде	1	1
51	в действительности это	1	1
52	субъекта объекта и	1	1
53	в хх веке	5	1
54	прежде всего в	3	1
55	дело в том	2	1
56	а потому и	1	1
57	может быть названа	1	1
58	одним и тем	1	1
59	прежде всего это	1	1
60	на самом деле	1	1
61	в этом последнем	1	1
62	при этом как	3	1
63	х годов в	1	1
64	ему по своей	1	1
65	выходит за рамки	1	1
66	как раз и	1	1
67	именно в том	1	1
68	художественного письма своего	1	1
69	с точки зрения	2	1
70	не могли быть	1	1
71	коммуникативного события общения	1	1
72	до сих пор	1	1
73	всем многообразии ее	1	1
74	письма своего рода	1	1
75	в силу его	1	1
76	только то что	1	1
77	из того что	2	1
78	ивана петровича белкина	1	1
79	том или ином	1	1
80	перед нами не	1	1
81	том что не	1	1
82	это приводит к	1	1
83	в эпоху классического	1	1
84	к личностному самоопределению	1	1
85	и художественного письма	1	1
86	ту или иную	2	1
87	только потому что	1	1
88	не могло быть	2	1
89	как уже говорилось	1	1
90	и мн др	1	1
91	не несет в	1	1
92	значительную роль в	1	1
93	далеко не всегда	1	1
94	и тем же	1	1
95	в равной мере	1	1
96	в равной степени	1	1
97	если и не	1	1
98	одним из наиболее	2	1
99	в евгении онегине	1	1
100	для своего времени	2	1
101	в xix веке	1	1
102	в связи с	4	1
103	а не как	1	1
104	несет в себе	2	1
105	том что он	1	1
106	искусство слова в	1	1
107	во всяком случае	2	1
108	хотя бы на	1	1
109	в целом ряде	1	1
110	в рамках которого	1	1
111	объекта и адресата	2	1
112	в этом отношении	2	1
113	в россии в	1	1
114	особую и весьма	1	1
115	и не должно	1	1
116	с самого начала	1	1
117	в конечном счете	4	1
118	и тем более	1	1
119	не может стать	1	1
120	если бы я	1	1
121	на то что	1	1
122	может и не	1	1
123	по аналогии с	3	1
124	в полной мере	1	1
125	к хх веку	1	1
126	сознания в формах	2	1
127	в повестях белкина	2	1
128	и прежде всего	3	1
129	тех или иных	1	1
130	тем более не	1	1
131	тем не менее	2	1
132	но все же	1	1
133	художественного письма в	1	1
134	в большинстве случаев	1	1
