N	3gram	Tiupa_Vved_1	Sovremen
1	мы не можем	1	6
2	в зависимости от	1	4
3	не может быть	3	4
4	тем не менее	3	2
5	во всяком случае	1	2
6	в отличие от	2	2
7	в свою очередь	4	2
8	времени и пространства	1	2
9	в настоящее время	1	2
10	то же самое	1	2
11	в том как	1	1
12	что иное как	1	1
13	и в этом	1	1
14	одной стороны и	1	1
15	которая не может	2	1
16	по крайней мере	1	1
17	случае не подлежит	1	1
18	не в том	1	1
19	из которых в	1	1
20	в связи с	1	1
21	в этом направлении	1	1
22	по отношению к	7	1
23	одна и та	1	1
24	на самом деле	3	1
25	в этом смысле	1	1
26	а не только	1	1
27	в этом случае	1	1
28	один и тот	1	1
29	не было бы	1	1
30	и все же	4	1
31	и еще более	1	1
32	то же время	3	1
33	и в то	1	1
34	сами по себе	1	1
35	по аналогии с	1	1
36	что же остается	1	1
37	друг на друга	1	1
38	и та же	1	1
39	один из четырех	1	1
40	в конечном счете	1	1
41	заключает в себе	1	1
42	можно было бы	2	1
43	нейтральной точки зрения	1	1
44	той или иной	2	1
45	и прежде всего	1	1
46	одна из них	1	1
47	может быть только	1	1
48	в то же	4	1
49	не что иное	1	1
50	при которой он	1	1
51	в том что	3	1
52	в данном случае	6	1
53	с одной стороны	5	1
54	на этот раз	1	1
55	и тот же	1	1
