N	2gram	Losev_Dial_2	Narrotol
1	не только	19	31
2	но и	12	27
3	и не	30	23
4	при этом	4	19
5	может быть	20	15
6	в частности	2	14
7	как и	10	13
8	а не	16	13
9	а в	4	13
10	в этом	8	12
11	только в	5	12
12	и в	19	11
13	в данном	3	11
14	и его	5	10
15	времени и	9	9
16	во времени	4	9
17	то что	14	9
18	то же	12	8
19	не может	9	8
20	данном случае	2	8
21	в том	14	8
22	уже не	3	8
23	но в	2	7
24	том что	10	7
25	у него	1	7
26	и он	1	6
27	в самом	5	6
28	не в	8	6
29	в этой	3	6
30	в себе	15	6
31	тому же	1	6
32	об этом	3	6
33	к тому	2	6
34	одного из	1	6
35	в его	1	6
36	как бы	14	6
37	как раз	5	6
38	или в	2	6
39	жизни и	6	6
40	между двумя	1	5
41	и на	1	5
42	той или	4	5
43	перед нами	2	5
44	так и	10	5
45	точки зрения	12	5
46	в своей	8	5
47	потому что	14	5
48	можно сказать	5	5
49	точка зрения	1	5
50	то в	1	4
51	еще не	4	4
52	но не	6	4
53	как в	2	4
54	все же	4	4
55	из этих	1	4
56	в нем	10	4
57	в принципе	1	4
58	в мире	2	4
59	из них	3	4
60	по себе	18	4
61	и тем	1	4
62	в одном	4	4
63	в то	6	4
64	одна из	1	4
65	не по	2	4
66	никогда не	9	4
67	что на	2	4
68	в ней	2	4
69	что у	2	4
70	о том	5	4
71	внимание на	1	4
72	же время	5	4
73	к нему	4	4
74	в литературе	1	4
75	того что	6	4
76	у нее	1	4
77	или иной	1	4
78	прежде всего	8	4
79	о чем	3	4
80	или не	2	4
81	как известно	2	3
82	речь идет	1	3
83	также и	2	3
84	и то	7	3
85	самом деле	4	3
86	идет о	1	3
87	мы имеем	3	3
88	мы не	1	3
89	он сам	1	3
90	но как	5	3
91	в своем	4	3
92	и как	10	3
93	к чему	1	3
94	в целом	1	3
95	он не	4	3
96	подобно тому	1	3
97	и с	5	3
98	это не	10	3
99	в жизни	2	3
100	не всегда	1	3
101	еще раз	1	3
102	и ее	1	3
103	стало быть	10	3
104	тем не	2	3
105	их в	2	3
106	не менее	3	3
107	о них	1	3
108	как будто	7	3
109	этом отношении	1	3
110	начиная с	1	3
111	истории не	1	3
112	и о	1	3
113	но при	1	3
114	еще в	1	3
115	когда в	1	3
116	между тем	2	3
117	человеческого опыта	1	3
118	что он	6	3
119	в состав	1	3
120	в пространстве	1	3
121	именно в	2	3
122	при всей	1	3
123	не было	3	3
124	как это	7	3
125	тому как	1	3
126	но для	1	3
127	это уже	2	3
128	не существует	1	3
129	и все	12	3
130	в поле	1	3
131	что в	7	3
132	в сфере	2	2
133	времени но	2	2
134	тем же	2	2
135	в зависимости	2	2
136	всех его	1	2
137	в сущности	2	2
138	ему в	1	2
139	более не	1	2
140	зависимости от	2	2
141	двух или	1	2
142	в чем	3	2
143	если в	2	2
144	в наиболее	1	2
145	отличие от	1	2
146	отнюдь не	6	2
147	в той	3	2
148	если она	2	2
149	что касается	1	2
150	них как	1	2
151	та же	4	2
152	раз в	2	2
153	на то	1	2
154	не могла	1	2
155	так сказать	1	2
156	и еще	1	2
157	и вот	4	2
158	одно и	4	2
159	не будет	2	2
160	говорил о	1	2
161	это было	3	2
162	я в	1	2
163	также не	1	2
164	все равно	5	2
165	в москве	1	2
166	и тогда	3	2
167	в этих	3	2
168	сих пор	2	2
169	она не	8	2
170	в обоих	1	2
171	не имеет	1	2
172	и сама	1	2
173	дело не	2	2
174	ничего не	3	2
175	и после	1	2
176	связи с	4	2
177	к жизни	1	2
178	ни о	2	2
179	же самое	2	2
180	они и	1	2
181	оно не	1	2
182	как мы	3	2
183	в театре	1	2
184	у себя	1	2
185	с ее	2	2
186	здесь не	1	2
187	и физически	1	2
188	другой стороны	4	2
189	она была	1	2
190	по мере	1	2
191	с ним	4	2
192	смыслов и	1	2
193	до сих	2	2
194	с другой	5	2
195	времени в	2	2
196	это была	1	2
197	нас в	1	2
198	тем или	2	2
199	и только	4	2
200	не сводится	1	2
201	же в	2	2
202	большей или	1	2
203	идет по	1	2
204	с ними	2	2
205	всяком случае	2	2
206	где они	1	2
207	себя в	2	2
208	только на	1	2
209	его и	1	2
210	сами по	3	2
211	в конце	2	2
212	к ним	1	2
213	не о	1	2
214	друг друга	1	2
215	мы можем	1	2
216	в особенности	1	2
217	и даже	14	2
218	в области	2	2
219	в результате	2	2
220	она в	1	2
221	как у	1	2
222	или просто	1	2
223	было и	1	2
224	и притом	7	2
225	что не	6	2
226	зависит от	2	2
227	человеческой жизни	2	2
228	могут служить	1	2
229	что мы	2	2
230	вместе с	2	2
231	к его	1	2
232	по своему	5	2
233	да и	6	2
234	быть и	4	2
235	в связи	4	2
236	и от	3	2
237	или иным	2	2
238	но зато	1	2
239	сливаются в	2	2
240	хотя бы	4	2
241	только что	5	2
242	сказать что	10	2
243	все что	1	2
244	по причине	1	2
245	в таком	4	2
246	во всяком	2	2
247	без этих	1	1
248	жизнь человека	1	1
249	как все	1	1
250	говоря о	1	1
251	и т	17	1
252	же как	3	1
253	чтобы не	6	1
254	не остается	1	1
255	сам по	3	1
256	на самом	2	1
257	только потому	2	1
258	выкинуть из	1	1
259	это и	3	1
260	опираясь на	1	1
261	в самостоятельный	1	1
262	причем все	1	1
263	и есть	4	1
264	и до	1	1
265	выражается в	1	1
266	по его	1	1
267	мы уже	8	1
268	например в	2	1
269	жизни по	1	1
270	от первой	1	1
271	то и	1	1
272	что иное	3	1
273	слова о	1	1
274	но даже	1	1
275	в некотором	1	1
276	мы и	1	1
277	этого термина	1	1
278	из которых	1	1
279	он был	1	1
280	иное как	3	1
281	быть в	4	1
282	бы то	1	1
283	в различных	1	1
284	скорее наоборот	1	1
285	бы она	1	1
286	природы и	1	1
287	сказать и	1	1
288	различия между	2	1
