N	4gram	Vinokur_Vv_1	slovoVRo
1	в то же время	5	12
2	но в то же	3	4
3	в большей или меньшей	1	3
4	большей или меньшей степени	1	3
5	имеет дело не с	1	2
6	одно и то же	1	2
7	с известным правом можно	1	1
8	мы имеем в виду	1	1
9	на то или иное	1	1
10	бы то ни было	1	1
11	дело в том что	2	1
12	и прежде всего в	1	1
13	и до наших дней	1	1
14	то же время в	1	1
15	но с другой стороны	1	1
16	и т д можно	1	1
17	с этой точки зрения	1	1
18	но во всяком случае	1	1
19	одной и той же	2	1
20	именно для того чтобы	1	1
