N	2gram	Berdyaev_O_1	Psycholo
1	в том	5	37
2	и в	19	32
3	и что	1	22
4	том что	2	21
5	потому что	9	21
6	то что	5	21
7	что в	4	20
8	может быть	11	18
9	что и	2	17
10	не может	4	17
11	самом деле	1	16
12	что она	1	16
13	того чтобы	4	14
14	в этом	12	13
15	для того	3	13
16	что он	3	13
17	в самом	5	12
18	заключается в	1	12
19	не только	11	12
20	по себе	2	12
21	так как	2	12
22	на то	1	11
23	было бы	3	11
24	с тем	2	11
25	когда он	3	10
26	но и	13	10
27	как и	6	10
28	и не	13	10
29	как в	1	9
30	никогда не	9	9
31	тем что	2	9
32	что все	2	9
33	в своих	3	9
34	что это	1	8
35	не в	11	8
36	того что	3	8
37	в сущности	1	7
38	что они	2	7
39	и как	1	7
40	все эти	4	7
41	и его	4	7
42	как будто	1	7
43	можно было	1	7
44	что для	2	7
45	а не	11	7
46	сказать что	2	7
47	в этой	5	6
48	он не	7	6
49	если бы	1	6
50	о том	3	6
51	все время	1	6
52	и из	2	6
53	как бы	3	6
54	на самом	1	5
55	и на	2	5
56	что у	2	5
57	все это	6	5
58	в ней	1	5
59	и даже	1	5
60	он говорит	1	5
61	этом отношении	1	5
62	ту же	1	4
63	сам по	1	4
64	есть не	1	4
65	все же	2	4
66	с той	1	4
67	в нем	10	4
68	к одному	1	4
69	том случае	1	4
70	и с	2	4
71	в жизни	1	4
72	и более	1	4
73	не имеет	2	4
74	того как	1	4
75	ничего не	2	4
76	и до	1	4
77	в сознании	1	4
78	и для	2	4
79	могут быть	3	4
80	и это	1	4
81	и когда	1	4
82	и сам	1	4
83	говорит он	1	4
84	из них	1	4
85	от того	1	4
86	в творчестве	5	4
87	как это	1	4
88	случае если	1	4
89	и все	10	4
90	а в	5	4
91	совершенно не	1	4
92	жизни и	1	4
93	например в	1	3
94	отношении к	1	3
95	и то	2	3
96	мы не	1	3
97	и он	8	3
98	как к	2	3
99	и к	2	3
100	но в	2	3
101	та же	1	3
102	он в	2	3
103	думать что	1	3
104	и вот	3	3
105	это было	3	3
106	в своей	2	3
107	человеком и	1	3
108	но он	7	3
109	не могли	2	3
110	в отношении	1	3
111	в нас	1	3
112	во всем	1	3
113	свое собственное	1	3
114	не могут	3	3
115	и заключается	1	3
116	указывает на	1	3
117	в виду	1	3
118	так и	2	3
119	бы и	1	3
120	один из	1	3
121	действующих лиц	1	3
122	и ее	3	3
123	так что	2	3
124	что не	4	3
125	и других	1	3
126	в конце	1	3
127	может служить	1	3
128	до конца	7	3
129	в частности	1	3
130	что же	2	3
131	само по	1	3
132	еще более	1	3
133	хотя бы	3	3
134	также и	1	2
135	и без	1	2
136	не имеют	1	2
137	она стоит	1	2
138	еще не	3	2
139	из всех	1	2
140	ни у	2	2
141	в первый	1	2
142	с его	4	2
143	в ее	2	2
144	слишком много	1	2
145	но не	1	2
146	к которой	1	2
147	себе и	1	2
148	психологии и	1	2
149	из самых	1	2
150	в которой	2	2
151	в себе	3	2
152	они в	1	2
153	заключает в	1	2
154	в каждом	1	2
155	это не	3	2
156	должен был	2	2
157	в них	1	2
158	всю жизнь	1	2
159	искать не	2	2
160	не так	1	2
161	всяком случае	1	2
162	вещей и	1	2
163	в этих	3	2
164	начинает с	1	2
165	в процессе	1	2
166	в уме	1	2
167	до самой	3	2
168	в самой	9	2
169	в русском	1	2
170	показал что	1	2
171	не вполне	1	2
172	не потому	1	2
173	отличается от	1	2
174	его с	1	2
175	она не	1	2
176	том как	1	2
177	по сравнению	1	2
178	ничего кроме	2	2
179	и здесь	1	2
180	во всяком	1	2
181	в глаза	1	2
182	после того	1	2
183	с того	1	2
184	в его	7	2
185	а потому	1	2
186	к нему	3	2
187	ней не	1	2
188	говорит о	1	2
189	не любит	1	2
190	в одном	1	2
191	вовсе не	1	2
192	отношение к	5	2
193	и никогда	2	2
194	в других	2	2
195	на примере	1	2
196	а с	1	2
197	не было	9	2
