N	2gram	Bakhtin_sl_1	PoTuStor
1	может быть	14	17
2	и в	41	16
3	в этом	12	9
4	и проч	2	9
5	таким образом	9	9
6	и только	1	9
7	прежде всего	8	9
8	и с	4	8
9	точки зрения	16	8
10	и его	14	8
11	не может	14	8
12	совершенно не	2	8
13	с его	4	7
14	не только	16	7
15	сказать что	2	7
16	конечно не	3	6
17	при этом	6	6
18	с точки	8	6
19	и это	1	6
20	для него	3	6
21	и к	5	6
22	еще не	4	5
23	отношение к	7	5
24	все эти	9	5
25	сознание и	1	5
26	до сознания	1	5
27	ни в	1	5
28	нуждается в	1	5
29	в него	3	5
30	как бы	12	5
31	на самом	2	4
32	и ее	3	4
33	и на	14	4
34	и наконец	4	4
35	но в	8	4
36	в этой	1	4
37	в нем	30	4
38	и может	3	4
39	его в	3	4
40	в один	1	4
41	все это	5	4
42	самого начала	1	4
43	как мы	8	4
44	с ее	4	4
45	с самого	1	4
46	так и	11	4
47	можно сказать	2	4
48	в его	13	4
49	а потому	1	4
50	с ними	3	4
51	только в	6	4
52	и их	1	4
53	так как	3	4
54	и даже	6	4
55	но и	16	4
56	и не	16	4
57	и все	4	4
58	хотя бы	3	4
59	все что	1	4
60	тех же	1	3
61	во всех	17	3
62	в общем	1	3
63	и есть	1	3
64	на этом	2	3
65	том что	2	3
66	сих пор	2	3
67	в одном	2	3
68	по крайней	1	3
69	в основе	5	3
70	до сих	2	3
71	те же	2	3
72	на язык	2	3
73	с другими	5	3
74	крайней мере	1	3
75	и она	1	3
76	в том	3	3
77	в большинстве	10	3
78	только на	2	3
79	большинстве случаев	6	3
80	всяком случае	5	3
81	и др	14	3
82	но оно	3	3
83	вместе с	1	3
84	и потому	4	3
85	могут быть	19	3
86	в основном	3	3
87	в этих	2	3
88	а в	6	3
89	между ними	2	3
90	только как	1	3
91	жизни и	1	3
92	во всяком	7	3
93	ту же	4	2
94	же как	2	2
95	в самом	5	2
96	мы уже	2	2
97	мы не	2	2
98	и о	2	2
99	того же	6	2
100	между собой	2	2
101	из этих	3	2
102	но как	1	2
103	нет и	1	2
104	за пределы	4	2
105	с этим	3	2
106	в этот	1	2
107	и через	1	2
108	вообще не	3	2
109	в переводе	1	2
110	он не	3	2
111	нашего времени	1	2
112	и по	2	2
113	то же	14	2
114	по своему	2	2
115	связанные с	3	2
116	связанных с	4	2
117	на протяжении	2	2
118	было бы	3	2
119	в жизни	1	2
120	в них	6	2
121	как и	4	2
122	в своей	7	2
123	войти в	2	2
124	и вся	1	2
125	не менее	1	2
126	два полюса	1	2
127	никогда не	3	2
128	только и	1	2
129	и лишь	1	2
130	сводится к	1	2
131	так называемый	1	2
132	в каком	1	2
133	все то	1	2
134	не могут	3	2
135	на границе	1	2
136	и этим	3	2
137	в пределах	14	2
138	по аналогии	1	2
139	для этого	1	2
140	и вообще	2	2
141	с ним	7	2
142	находится в	1	2
143	о том	3	2
144	аналогии с	1	2
145	и содержание	1	2
146	для нас	2	2
147	что и	1	2
148	может иметь	1	2
149	один из	4	2
150	оно и	4	2
151	сделать это	1	2
152	мы видим	2	2
153	и так	1	2
154	поэтому и	3	2
155	всех его	7	2
156	со всеми	1	2
157	есть в	1	2
158	если мы	2	2
159	в начале	1	2
160	в душе	1	2
161	и других	3	2
162	эти понятия	1	2
163	к ним	1	2
164	у него	3	2
165	момент в	1	2
166	оно не	6	2
167	себя и	1	2
168	что не	1	2
169	а на	2	2
170	не на	5	2
171	что мы	1	2
172	с помощью	1	2
173	в частности	2	2
174	так же	2	2
175	с этой	3	2
176	в свое	3	2
177	но это	1	2
178	и для	4	2
179	ни было	2	2
180	не есть	2	2
181	не знает	1	2
182	есть и	1	2
183	к этому	2	2
184	они не	1	2
185	и то	2	1
186	он может	2	1
187	словами и	1	1
188	науки о	1	1
189	или к	3	1
190	самый предмет	1	1
191	далее и	1	1
192	явления и	1	1
193	не имеют	1	1
194	века в	2	1
195	его не	1	1
196	со всех	1	1
197	мы имеем	1	1
198	что между	1	1
199	в основных	1	1
200	почти исключительно	1	1
201	но даже	1	1
202	конечно и	2	1
203	целого в	1	1
204	зависимости от	3	1
205	всех сторон	1	1
206	в ней	4	1
207	социальное явление	1	1
208	в скобках	1	1
209	он был	1	1
210	и различными	1	1
211	не был	1	1
212	столь же	2	1
213	его отношение	1	1
214	бы то	1	1
215	этим не	1	1
216	и поняты	1	1
217	одним словом	2	1
218	но не	2	1
219	не абстрактный	1	1
220	абстрактный момент	2	1
221	не входит	1	1
222	каком направлении	1	1
223	менее всего	1	1
224	иногда и	1	1
225	ориентироваться в	1	1
226	в свои	1	1
227	что они	2	1
228	в течение	1	1
229	отвлечемся от	1	1
230	сам же	1	1
231	все же	7	1
232	образом с	1	1
233	хотя и	2	1
234	лишь абстрактный	1	1
235	что по	1	1
236	его к	1	1
237	всего как	1	1
238	в нормальном	1	1
239	от этого	2	1
240	уже не	2	1
241	та же	1	1
242	точку зрения	3	1
243	не изученных	1	1
244	этот новый	1	1
245	и связанных	2	1
246	или во	2	1
247	сознания с	1	1
248	мы чувствуем	1	1
249	имеем в	1	1
250	на его	8	1
251	что она	1	1
252	на различных	1	1
253	время и	2	1
254	было с	1	1
255	но именно	4	1
256	единство в	1	1
257	различные формы	2	1
258	только те	1	1
259	свое время	1	1
260	и единство	2	1
261	из него	2	1
262	с чем	1	1
263	мы говорили	1	1
264	без исключения	1	1
265	человека в	1	1
266	то ни	1	1
267	различие между	1	1
268	конечно в	1	1
269	той же	2	1
270	на все	2	1
271	всех областях	1	1
272	лишь в	4	1
273	в единую	1	1
274	входит в	4	1
275	это было	1	1
276	может стать	1	1
277	с силами	1	1
278	на почве	4	1
279	форму и	1	1
280	в свой	1	1
281	мы сказали	4	1
282	и социально	1	1
283	для них	2	1
284	он действительно	1	1
285	несмотря на	1	1
286	жизни но	2	1
287	форма и	1	1
288	действительно не	2	1
289	и того	1	1
290	смысл и	1	1
291	язык но	1	1
292	но если	1	1
293	от своего	1	1
294	моментах в	1	1
295	к предмету	4	1
296	такие стороны	1	1
297	исключительно на	1	1
298	которые в	3	1
299	каждое из	1	1
300	друг другу	2	1
301	есть еще	1	1
302	однако в	1	1
303	на всю	3	1
304	и почти	3	1
305	слов о	2	1
306	же мы	1	1
307	на один	2	1
308	в атмосфере	2	1
309	в тесной	1	1
310	а иногда	3	1
311	в практике	1	1
312	с теми	1	1
313	в смысле	4	1
314	дело в	1	1
315	одна из	2	1
316	их моменты	1	1
317	в сущности	13	1
318	к изучению	1	1
319	в самых	2	1
320	того чтобы	1	1
321	для всего	1	1
322	только не	1	1
323	ничего не	4	1
324	и вместо	1	1
325	разрыва между	1	1
326	во всем	1	1
327	связи с	2	1
328	языка который	1	1
329	в сознании	2	1
330	в виду	1	1
331	мы и	2	1
332	с другом	2	1
333	и со	1	1
334	от того	1	1
335	среди них	1	1
336	или только	1	1
337	целиком во	1	1
338	в духе	2	1
339	те основные	1	1
340	плоскости могут	1	1
341	его за	1	1
342	отличается от	1	1
343	к тому	3	1
344	ориентируется в	1	1
345	содержание их	1	1
346	той или	9	1
347	для его	1	1
348	и связанная	1	1
349	все попытки	1	1
350	социальные и	1	1
351	на это	1	1
352	она не	3	1
353	как известно	1	1
354	без всякого	1	1
355	данном случае	3	1
356	характер и	1	1
357	в себя	1	1
358	культуры и	1	1
359	приводит к	1	1
360	роль в	2	1
361	и что	1	1
362	единства с	1	1
363	и сам	3	1
364	что может	1	1
365	в другом	2	1
366	с первым	1	1
367	можно было	2	1
368	его жизни	1	1
369	каждого из	1	1
370	это только	1	1
371	даны в	1	1
372	если бы	1	1
373	из одного	2	1
374	остановимся на	2	1
375	в разных	3	1
376	связанная с	1	1
377	о нем	4	1
378	и здесь	3	1
379	др и	2	1
380	с развитой	1	1
381	нас в	2	1
382	почти полное	1	1
