N	2gram	Bakhtin_sl_2	DiskursI
1	в качестве	1	34
2	не только	24	28
3	в том	5	23
4	а не	14	22
5	то есть	26	20
6	том что	5	19
7	может быть	37	17
8	как и	6	16
9	и в	39	16
10	в этом	16	15
11	еще не	7	14
12	но и	21	14
13	при этом	7	13
14	и т.п	2	12
15	по своей	1	11
16	но не	6	11
17	прежде всего	8	11
18	и не	22	11
19	как в	13	10
20	далеко не	2	10
21	с другой	5	10
22	по отношению	4	9
23	в нем	19	9
24	не может	20	9
25	с одной	5	9
26	одной стороны	5	9
27	в частности	1	9
28	отношению к	4	9
29	отнюдь не	1	8
30	но в	6	8
31	о том	2	8
32	так и	15	8
33	а также	3	8
34	не было	2	7
35	в себе	2	7
36	то же	4	7
37	не в	9	7
38	в основе	4	7
39	роль в	2	7
40	в его	7	7
41	только в	5	7
42	высказывания в	1	6
43	в своем	6	6
44	и как	3	6
45	ни к	2	6
46	в составе	1	5
47	и на	4	5
48	во всех	12	5
49	отличие от	13	5
50	в рамках	1	5
51	в их	2	5
52	в отличие	12	5
53	в процессе	13	5
54	в себя	2	5
55	или иной	5	5
56	можно сказать	1	5
57	в данном	2	5
58	как бы	7	5
59	а в	4	5
60	то что	2	5
61	в своей	1	5
62	и о	1	4
63	с его	7	4
64	в сторону	1	4
65	отношение к	4	4
66	в истории	11	4
67	и к	6	4
68	уже не	5	4
69	в целом	1	4
70	на его	2	4
71	лишь в	3	4
72	в них	6	4
73	могут быть	7	4
74	же время	4	4
75	между тем	3	4
76	одной из	1	4
77	что он	2	4
78	для него	7	4
79	в особенности	3	4
80	не обязательно	1	4
81	что не	1	4
82	связи с	3	4
83	не является	1	4
84	не предполагает	1	4
85	что в	3	4
86	также и	2	3
87	того же	1	3
88	и потому	7	3
89	жанров в	1	3
90	той или	5	3
91	различия между	1	3
92	в одной	1	3
93	с этим	2	3
94	перед нами	3	3
95	в самом	1	3
96	зрения на	2	3
97	это не	5	3
98	ведет к	1	3
99	общения с	1	3
100	точки зрения	8	3
101	в своих	1	3
102	однако в	2	3
103	бы быть	1	3
104	по себе	5	3
105	в то	4	3
106	таким образом	8	3
107	как не	1	3
108	свою очередь	2	3
109	не с	3	3
110	еще в	1	3
111	и даже	7	3
112	или на	2	3
113	что и	3	3
114	хотя бы	3	3
115	к ним	1	3
116	автор и	1	3
117	тем что	1	3
118	именно в	2	3
119	мира в	1	3
120	того что	1	3
121	один из	5	3
122	все же	6	3
123	как уже	2	3
124	в свою	3	3
125	сказать что	3	3
126	другой стороны	1	3
127	отношения к	4	2
128	одним из	2	2
129	например в	5	2
130	языка с	2	2
131	предмета речи	1	2
132	и есть	1	2
133	в сущности	6	2
134	в виду	1	2
135	слово не	1	2
136	между собой	1	2
137	влияния на	1	2
138	в различных	2	2
139	но как	2	2
140	в новом	2	2
141	за пределы	2	2
142	себя в	8	2
143	стороны и	3	2
144	как к	3	2
145	с некоторыми	1	2
146	хотя и	2	2
147	сознания в	1	2
148	целый ряд	1	2
149	однако на	1	2
150	более или	2	2
151	не приходится	3	2
152	в этой	1	2
153	эпохи и	2	2
154	так сказать	6	2
155	он ни	1	2
156	этого жанра	2	2
157	и по	1	2
158	на этом	3	2
159	человека в	5	2
160	в каждом	1	2
161	и слушателей	1	2
162	об этом	1	2
163	того или	1	2
164	и тем	1	2
165	не всегда	2	2
166	с человеком	1	2
167	одного и	1	2
168	или менее	2	2
169	наших дней	1	2
170	и без	1	2
171	мысли и	1	2
172	направлен на	1	2
173	возможно только	1	2
174	в историческом	2	2
175	и герой	1	2
176	не менее	4	2
177	дело не	1	2
178	текста и	1	2
179	к такому	1	2
180	в наше	1	2
181	х годов	2	2
182	и его	33	2
183	к себе	1	2
184	его понимании	1	2
185	отличается от	2	2
186	числе и	1	2
187	значительной степени	6	2
188	оно не	8	2
189	в едином	1	2
190	как мы	7	2
191	с ее	2	2
192	говорит и	2	2
193	языка и	9	2
194	характер и	1	2
195	принадлежащих к	1	2
196	в пределах	13	2
197	приводит к	1	2
198	и иные	1	2
199	на том	1	2
200	но зато	1	2
201	в другом	2	2
202	словесной культуры	1	2
203	о нем	2	2
204	во всяком	3	2
205	и что	1	2
206	самому себе	1	2
207	в значительной	6	2
208	это было	1	2
209	на протяжении	2	2
210	в форме	2	2
211	представления о	1	2
212	в литературе	1	2
213	большей или	1	2
214	к различным	2	2
215	дело с	4	2
216	в какой	1	2
217	и ее	1	2
218	точка зрения	2	2
219	уже в	2	2
220	миров и	1	2
221	или даже	3	2
222	слова в	13	2
223	в одном	2	2
224	сами по	1	2
225	никогда не	7	2
226	здесь в	3	2
227	и др	4	2
228	героя и	5	2
229	более того	2	2
230	зависит от	1	2
231	однако и	1	2
232	его как	2	2
233	то она	1	2
234	к его	2	2
235	для понимания	1	2
236	своего времени	1	2
237	жизни в	2	2
238	смысл в	1	2
239	высказывания и	1	2
240	за его	1	2
241	известной степени	2	2
242	говорящего и	2	2
243	частности в	1	2
244	или в	2	2
245	особого рода	1	2
246	и все	5	2
247	или меньшей	1	2
248	может и	2	2
249	одновременно и	3	2
250	героя в	3	2
251	речи как	2	2
252	мифа как	1	2
253	они не	2	2
254	к этому	1	2
255	том числе	1	2
256	новое время	2	1
257	как известно	1	1
258	человеческой речи	2	1
259	слова является	1	1
260	нем нет	1	1
261	можно говорить	2	1
262	речь идет	1	1
263	создания образов	1	1
264	мы к	1	1
265	не остается	1	1
266	необходимо отметить	3	1
267	науки о	1	1
268	это и	2	1
269	их влияния	1	1
270	и должны	1	1
271	идет о	1	1
272	и до	1	1
273	жанров как	1	1
274	слово же	1	1
275	которое может	1	1
276	во-первых в	1	1
277	и за	1	1
278	этом направлении	1	1
279	той же	3	1
280	правильного понимания	1	1
281	и само	2	1
282	говорить о	3	1
283	но она	2	1
284	но уже	1	1
285	был прежде	1	1
286	они были	1	1
287	чужих высказываний	1	1
288	к общему	1	1
289	себе а	1	1
290	предметом и	1	1
291	на них	2	1
292	он сам	1	1
