1	в то же время	3	5
2	в том смысле что	1	2
3	и то и другое	1	2
4	вместе с тем и	2	2
5	и не может быть	1	2
6	все более и более	2	1
7	и в этом случае	3	1
8	но тем не менее	2	1
9	один и тот же	2	1
10	есть не что иное	1	1
11	в том случае если	1	1
12	лишь в том случае	1	1
13	может быть что даже	1	1
14	и до сих пор	2	1
15	это не так то	1	1
16	том смысле в каком	1	1
17	не могут быть названы	1	1
18	в том смысле в	1	1
19	не в том что	1	1
20	то же время и	1	1
21	не что иное как	2	1
22	не выходя за пределы	1	1
23	иметь в виду что	1	1
