N	3gram	Bakhtin_KF_1	FransuaR
1	то же время	2	5
2	в то же	2	5
3	в средние века	1	4
4	в большинстве случаев	1	4
5	в первом случае	1	3
6	и т.п но	1	3
7	вместо того чтобы	1	3
8	во всех его	1	3
9	с точки зрения	9	2
10	и то что	1	2
11	т.п но и	1	2
12	и тот же	1	2
13	во всех этих	2	2
14	жизни и смерти	1	2
15	в том что	2	2
16	конечно не в	1	2
17	и того же	1	1
18	мир в котором	7	1
19	и говорить о	1	1
20	по отношению к	22	1
21	ничего не остается	1	1
22	в основе своей	1	1
23	ровно ничего не	1	1
24	было и в	1	1
25	дело в том	1	1
26	если ты хочешь	2	1
27	в настоящее время	1	1
28	и по отношению	1	1
29	и связанных с	1	1
30	один и тот	1	1
31	а не из	2	1
32	в нем и	3	1
33	здесь вовсе не	1	1
34	как это было	1	1
35	в лучшем случае	1	1
36	и должна быть	1	1
37	и землю и	1	1
38	с ним в	1	1
39	между тем как	3	1
40	он должен быть	1	1
41	на первом плане	2	1
42	никогда не было	1	1
43	момент в нем	1	1
44	со всех сторон	1	1
45	по самому своему	1	1
46	средних веков и	1	1
47	вместе с тем	1	1
48	связанных с ними	1	1
49	места и все	1	1
50	но в то	1	1
51	но конечно этот	1	1
52	и час и	1	1
53	смысле этого слова	1	1
54	акт в его	1	1
55	и как бы	1	1
56	притом не только	1	1
57	до того что	1	1
58	а не как	1	1
59	все эти моменты	1	1
60	это значило бы	2	1
61	для того чтобы	1	1
62	не может быть	11	1
63	не совпадает с	1	1
64	в зависимости от	1	1
65	себе в своем	1	1
66	и было бы	1	1
67	в значительной степени	1	1
68	будем говорить в	1	1
69	той или иной	2	1
70	мы будем говорить	1	1
71	между жизнью и	1	1
72	одного и того	1	1
73	день и час	1	1
74	этот акт в	1	1
75	а именно в	1	1
76	что и в	1	1
