N	2gram	Losev_Vesc_1	Stilisti
1	и в	21	42
2	не только	36	27
3	как бы	12	27
4	прежде всего	9	22
5	хотя бы	6	17
6	но и	18	15
7	то же	6	15
8	и не	29	14
9	не может	17	12
10	может быть	16	12
11	как и	8	11
12	мы уже	3	11
13	точки зрения	5	11
14	и как	8	10
15	как мы	4	10
16	в этом	4	10
17	отнюдь не	5	10
18	мы должны	2	10
19	что мы	14	10
20	при этом	1	9
21	мы не	6	9
22	то что	27	9
23	в то	3	9
24	для того	2	9
25	в себе	14	8
26	все же	4	8
27	таким образом	8	8
28	тем самым	1	8
29	с тем	5	8
30	что же	8	8
31	в ней	12	8
32	и это	14	8
33	в которой	1	7
34	того чтобы	3	7
35	потому что	16	7
36	а не	19	7
37	и от	3	7
38	и его	2	7
39	зависимости от	1	7
40	ничего не	3	7
41	никогда не	2	7
42	только в	14	7
43	и тем	3	7
44	в зависимости	1	7
45	мы можем	4	7
46	с его	1	7
47	было бы	14	7
48	так как	7	7
49	другими словами	5	6
50	так и	3	6
51	или как	2	6
52	в нем	2	6
53	и так	1	6
54	не в	5	6
55	когда мы	6	6
56	в конце	2	6
57	во всех	2	6
58	но ведь	2	6
59	в этой	3	6
60	мы будем	1	6
61	язык и	1	6
62	или иной	1	6
63	в свою	4	6
64	же мы	1	5
65	и с	8	5
66	и наконец	1	5
67	одно и	5	5
68	слова в	2	5
69	и их	7	5
70	как это	2	5
71	того или	1	5
72	независимо от	5	5
73	вместе с	1	5
74	в той	3	5
75	мы видели	1	5
76	слова и	5	5
77	той же	2	5
78	в его	2	5
79	тому что	2	5
80	а в	4	5
81	с точки	3	5
82	не является	1	5
83	уже в	1	5
84	и следовательно	7	5
85	же самое	1	5
86	бы в	5	4
87	которой мы	1	4
88	можно сказать	6	4
89	так же	1	4
90	не забудем	1	4
91	к данной	2	4
92	было в	1	4
93	что это	13	4
94	и без	3	4
95	всех своих	1	4
96	не знаем	2	4
97	его в	2	4
98	ту или	2	4
99	того что	8	4
100	и к	1	4
101	все время	1	4
102	в качестве	1	4
103	у нас	7	4
104	к тому	3	4
105	свою очередь	4	4
106	один из	3	4
107	а с	3	4
108	в слове	2	4
109	вопроса о	1	4
110	уже не	9	4
111	на это	4	4
112	что именно	1	4
113	в самом	9	4
114	не что	7	4
115	мы видим	2	4
116	общения и	2	4
117	не просто	19	4
118	но в	5	4
119	или иную	2	4
120	о том	6	4
121	все это	5	4
122	себя в	10	4
123	самом деле	4	4
124	и пр	6	4
125	и то	10	4
126	точка зрения	1	4
127	если мы	8	4
128	можно было	2	4
129	если бы	5	4
130	той или	2	4
