N	2gram	Nazirov_Tv_2	UchenyiS
1	и в	20	14
2	а не	6	10
3	не только	13	10
4	прежде всего	8	8
5	и не	9	8
6	не может	7	7
7	в этом	8	7
8	то что	3	7
9	может быть	8	6
10	в искусстве	2	6
11	то же	7	5
12	и только	2	5
13	все это	6	5
14	с другой	2	4
15	но и	8	4
16	в их	3	4
17	в конечном	1	4
18	в россии	2	4
19	конечном счете	1	4
20	в этой	5	4
21	вряд ли	1	3
22	это не	7	3
23	было бы	1	3
24	нашему мнению	4	3
25	как и	6	3
26	в частности	2	3
27	в своей	6	3
28	в то	10	3
29	все же	5	3
30	но в	4	3
31	же время	7	3
32	в области	1	3
33	у нас	2	3
34	другой стороны	2	3
35	по нашему	4	3
36	для него	3	3
37	не о	1	3
38	что все	1	2
39	а между	1	2
40	крайней мере	2	2
41	же не	2	2
42	одним из	3	2
43	и с	8	2
44	художественного произведения	1	2
45	и через	3	2
46	а его	1	2
47	до сих	3	2
48	самом деле	2	2
49	превращается в	3	2
50	мы не	4	2
51	является в	1	2
52	если бы	4	2
53	ничего не	4	2
54	не столько	2	2
55	если не	4	2
56	должна была	1	2
57	том что	4	2
58	сводится к	2	2
59	мы и	1	2
60	прием в	1	2
61	литературы и	1	2
62	нам представляется	1	2
63	с его	1	2
64	но не	5	2
65	в противовес	1	2
66	думается что	2	2
67	не все	1	2
68	в его	10	2
69	по крайней	2	2
70	что и	1	2
71	по себе	1	2
72	сих пор	3	2
73	но это	5	2
74	в том	8	2
75	это уже	2	2
76	и для	1	2
77	что он	6	2
78	в себе	3	2
79	в самом	3	2
80	между тем	3	2
81	и у	2	2
82	только в	2	2
83	мы получаем	1	2
84	не в	4	2
85	и является	1	2
86	не есть	1	2
87	еще ничего	1	2
88	его и	2	2
89	представляется нам	1	2
90	не могут	1	2
91	могут быть	2	2
92	в конце	6	2
93	а о	1	2
94	не случайно	2	2
95	как раз	1	2
96	тем что	3	2
97	что она	4	2
98	таким образом	10	2
99	нас до	1	1
100	для себя	1	1
101	и это	3	1
102	неизбежно упрощает	1	1
103	об этом	4	1
104	же как	3	1
105	не делает	1	1
106	в этот	2	1
107	человека и	3	1
108	даже не	1	1
109	то есть	5	1
110	в виду	1	1
111	входит в	1	1
112	первую очередь	1	1
113	для читателя	1	1
114	и прежде	1	1
115	наука о	1	1
116	в пределах	1	1
117	это для	1	1
118	и др	3	1
119	принцип построения	1	1
120	но понятие	1	1
121	сам автор	1	1
122	к которой	1	1
123	лет с	1	1
124	что для	1	1
125	объясняется и	1	1
126	никогда не	11	1
127	но прежде	2	1
128	этот и	1	1
129	так и	6	1
130	той же	1	1
131	достоевского и	2	1
132	в сфере	1	1
133	отлична от	1	1
134	для начала	1	1
135	такое понимание	1	1
136	со своими	2	1
137	для обоснования	1	1
138	и всякого	1	1
139	и даже	5	1
140	должно быть	1	1
141	метода в	1	1
142	остается в	1	1
143	не вполне	1	1
144	в г	1	1
145	о нем	1	1
146	произведения как	1	1
147	этом плане	1	1
148	как на	1	1
149	приводит к	2	1
150	о том	5	1
151	и потому	4	1
152	в котором	3	1
153	только для	2	1
154	и что	2	1
155	он был	1	1
156	но такое	1	1
157	в различных	1	1
158	быть в	1	1
159	в пользу	3	1
160	признать что	1	1
161	он будет	1	1
162	встречается у	1	1
163	в течение	1	1
164	является только	1	1
165	отказ от	1	1
166	что же	1	1
167	представителей в	1	1
168	не то	1	1
169	переходит в	1	1
170	и возможностей	1	1
171	в которых	3	1
172	поскольку он	1	1
173	не без	1	1
174	их в	2	1
175	произведения в	1	1
176	в наиболее	1	1
177	на его	4	1
178	ничуть не	1	1
179	что этот	2	1
180	нет и	2	1
181	случилось с	1	1
182	на то	1	1
183	не спасается	1	1
184	отнюдь не	4	1
185	она не	1	1
186	толстого и	1	1
187	так он	2	1
188	и наблюдаем	1	1
189	что с	1	1
190	она должна	1	1
191	произведений и	1	1
192	тот же	1	1
193	звучит у	1	1
194	объекта и	1	1
195	частности с	1	1
196	представляется что	1	1
197	присущей ему	1	1
198	себя на	2	1
199	дается на	1	1
200	по мнению	3	1
201	не главное	1	1
202	в которой	2	1
203	он пытается	1	1
204	не было	2	1
205	с одной	1	1
206	без этого	1	1
207	в известном	1	1
208	вообще в	1	1
209	литературы в	1	1
210	уже не	3	1
211	в процессе	2	1
212	в виде	2	1
213	не столь	1	1
214	теории и	1	1
215	в нем	3	1
216	или даже	2	1
217	но если	2	1
218	месте в	1	1
219	он не	3	1
220	о которой	1	1
221	сказать что	1	1
222	только как	1	1
223	что угодно	1	1
224	в первую	1	1
225	не значит	1	1
226	он называет	1	1
227	важным и	1	1
228	случайно и	1	1
229	в современном	3	1
230	до предела	1	1
231	может служить	2	1
232	но он	1	1
233	если у	2	1
234	у пушкина	3	1
235	у него	6	1
236	является одним	1	1
237	всего что	1	1
238	и независимо	1	1
239	о необходимости	1	1
240	ролью в	1	1
241	отказаться от	2	1
242	к этому	3	1
243	что в	7	1
244	в таком	3	1
