N	3gram	Propp_Isto_5	Problemy
1	то же время	1	10
2	в то же	1	10
3	на самом деле	1	9
4	с самого начала	1	8
5	по отношению к	2	6
6	мы уже говорили	1	5
7	в пределах одного	1	5
8	во всяком случае	1	4
9	друг с другом	2	4
10	он не может	2	3
11	с другой стороны	8	3
12	не может быть	3	3
13	так что он	1	2
14	с точки зрения	1	2
15	сам по себе	1	2
16	в отличие от	1	2
17	что все это	1	2
18	подобно тому как	1	2
19	но все же	4	2
20	и что он	1	2
21	в том что	2	2
22	мы увидим что	1	2
23	как мы знаем	1	2
24	как и его	1	1
25	на которой он	1	1
26	потому что в	1	1
27	в самом деле	1	1
28	никак не может	1	1
29	в этом случае	7	1
30	в нем и	3	1
31	знает что он	1	1
32	до сих пор	2	1
33	и в других	1	1
34	вместе с тем	6	1
35	что он не	1	1
36	которой он сам	1	1
37	выдает себя за	1	1
38	у него нет	1	1
39	здесь еще не	1	1
40	главным образом в	1	1
41	в непосредственной близости	1	1
42	о том как	2	1
43	то время как	1	1
44	то что у	1	1
45	в данном случае	2	1
46	тем что он	2	1
47	что может быть	1	1
48	он знает что	1	1
49	не только для	1	1
50	с ним и	1	1
51	не в виде	1	1
52	видели что в	1	1
53	то что он	1	1
54	мы видели что	2	1
55	в то время	1	1
56	но тем не	1	1
57	как и в	2	1
58	и вместе с	2	1
59	в свою очередь	1	1
60	из них он	1	1
61	о том что	4	1
62	но и для	1	1
63	приведем еще один	1	1
64	можно сказать что	1	1
65	вопрос о том	1	1
66	тем не менее	4	1
67	по себе но	1	1
68	вид что он	1	1
69	как мы видели	1	1
70	для того чтобы	3	1
71	а не в	1	1
72	и все эти	1	1
73	что и в	2	1
74	мы еще не	1	1
