N	3gram	Potebnia_M_3	slovoVRo
1	и т п	2	33
2	не может быть	3	15
3	с одной стороны	3	5
4	то же время	5	4
5	в том что	16	4
6	по отношению к	5	4
7	в то же	5	4
8	и там где	1	3
9	так и в	2	3
10	в этом отношении	2	3
11	сама по себе	2	3
12	в собственном смысле	2	3
13	одной стороны и	1	3
14	лишь тогда когда	1	2
15	на каждом шагу	1	2
16	для того чтобы	3	2
17	до сих пор	3	2
18	и т д	3	2
19	в чем не	1	2
20	как мы уже	1	2
21	не только в	4	2
22	более или менее	3	2
23	не могут быть	2	2
24	в свою очередь	3	2
25	в чем же	1	1
26	мы не можем	2	1
27	а в том	5	1
28	заключается именно в	1	1
29	о том что	1	1
30	но все это	1	1
31	же время и	1	1
32	для него самого	1	1
33	по себе а	4	1
34	сливается с нею	1	1
35	тем и другим	1	1
36	но и со	1	1
37	более глубокое и	1	1
38	рано или поздно	1	1
39	как и в	2	1
40	о слове как	1	1
41	не только не	2	1
42	и язык не	1	1
43	и как он	1	1
44	с другой стороны	4	1
45	мы уже сказали	1	1
46	каждом шагу в	1	1
47	здесь не только	1	1
48	в нем его	1	1
49	это и не	1	1
50	могли бы быть	1	1
51	один из многих	1	1
52	что он не	3	1
53	может и не	1	1
54	в себе все	1	1
55	точки зрения и	1	1
56	вместе с ним	1	1
57	как мы видели	1	1
58	со всех сторон	1	1
59	и может быть	2	1
60	уже не в	1	1
61	на то что	1	1
62	все то что	1	1
63	прежде всего он	1	1
64	то есть не	4	1
65	таким образом в	1	1
66	том что оно	2	1
67	нельзя себе представить	1	1
68	по себе еще	1	1
69	сами по себе	1	1
70	может быть только	3	1
71	как мы ее	2	1
72	мы не знаем	2	1
73	далеко не все	3	1
74	то есть к	3	1
75	в одном слове	1	1
76	и внутреннюю форму	2	1
77	но и в	4	1
78	именно в том	2	1
79	вовсе не в	1	1
80	том что он	2	1
81	а не в	1	1
82	сливается с ними	1	1
83	он как мы	1	1
84	для нас в	1	1
85	это то есть	1	1
86	том что она	1	1
87	тем не менее	3	1
88	и в поэзии	1	1
89	то есть вне	1	1
90	в нем процесс	1	1
91	т п язык	1	1
