N	3gram	Propp_Russ_1	Istorich
1	и т д	9	18
2	в этих случаях	1	8
3	точно так же	1	6
4	в этом случае	5	5
5	вместе с тем	6	5
6	мы видим что	1	5
7	в том что	15	5
8	но все же	2	4
9	мы увидим ниже	2	4
10	так же как	1	4
11	не только в	1	4
12	в связи с	4	4
13	по отношению к	1	3
14	подобно тому как	1	3
15	с тем что	1	3
16	можно было бы	1	3
17	мы уже знаем	1	3
18	мы увидим что	1	3
19	что иное как	2	2
20	потому что он	1	2
21	иметь в виду	1	2
22	стоит в связи	2	2
23	на самом деле	1	2
24	так как в	1	2
25	для наших целей	2	2
26	т д и	1	2
27	мы не будем	2	2
28	наряду с этим	1	2
29	во всех этих	1	2
30	не что иное	2	2
31	в других случаях	2	2
32	о том что	4	2
33	на то что	1	2
34	после того как	2	2
35	если предположить что	1	2
36	д к зеленин	5	2
37	том что в	6	1
38	бросается в глаза	1	1
39	мы начнем с	1	1
40	и связанные с	2	1
41	в этой роли	1	1
42	подойти к материалу	2	1
43	в виду что	1	1
44	ниже при рассмотрении	1	1
45	еду и питье	1	1
46	случаи показывают что	1	1
47	так что они	1	1
48	дело не только	1	1
49	и не только	1	1
50	у других народов	1	1
51	ни одно из	2	1
52	но и другие	1	1
53	очень много и	1	1
54	что мы имеем	1	1
55	на путь изучения	1	1
56	в отличие от	1	1
57	перед нами как	1	1
58	что в сказке	1	1
59	необходимо указать что	1	1
60	а в связи	1	1
61	эти случаи показывают	1	1
62	будем останавливаться на	2	1
63	но это не	2	1
64	т е с	1	1
65	увидим ниже в	1	1
66	в заупокойном культе	1	1
67	в это время	2	1
68	известно и в	1	1
69	т е в	1	1
70	может так как	1	1
71	каждый из этих	1	1
72	же значение как	1	1
73	не может так	1	1
74	так как это	1	1
75	мы можем предположить	1	1
76	с этим в	1	1
77	тем не менее	3	1
78	увидим ниже при	1	1
79	но вместе с	1	1
80	что они были	1	1
81	и состоит в	1	1
82	такое же значение	1	1
83	как мы увидим	5	1
84	представляют собой не	1	1
85	эти представления и	2	1
86	не только у	2	1
87	потому что они	1	1
88	есть вместе с	1	1
89	об этом можно	1	1
90	одно из них	1	1
91	в тех случаях	1	1
92	д к зеленина	1	1
93	в свете изложенного	1	1
94	можем предположить что	1	1
95	так например в	1	1
96	можно установить что	1	1
97	дело так что	1	1
98	мы не можем	3	1
99	к этому времени	1	1
100	один из них	2	1
101	для детей и	1	1
102	покажет нам что	1	1
103	можно показать что	1	1
104	и один из	1	1
105	не только на	2	1
106	тех случаях когда	1	1
107	не будем останавливаться	2	1
108	по этому поводу	2	1
109	видели в ней	1	1
110	друг с другом	1	1
111	это показывает что	2	1
112	все это показывает	2	1
113	на другой день	1	1
114	тем способностям которые	1	1
115	приводят нас к	1	1
