N	3gram	Losev_Prob_2	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	5	7
3	во всяком случае	10	6
4	более или менее	4	5
5	в том числе	2	5
6	до сих пор	4	5
7	по крайней мере	6	5
8	а с другой	1	5
9	для того чтобы	2	5
10	о том что	14	4
11	с тем чтобы	1	4
12	том числе и	2	4
13	но все же	1	4
14	так или иначе	6	3
15	а так как	1	3
16	точно так же	3	3
17	в конце концов	7	3
18	так же как	1	3
19	всяком случае не	2	3
20	в связи с	5	3
21	тем не менее	12	3
22	в том что	4	3
23	то же самое	5	2
24	потому что и	1	2
25	в этом отношении	1	2
26	может быть даже	1	2
27	в значительной мере	3	2
28	то или иное	2	2
29	может быть и	2	2
30	то ни было	1	2
31	бы то ни	2	2
32	так и от	1	2
33	но вместе с	1	2
34	такое положение дела	2	2
35	ничего общего с	2	2
36	с самого начала	2	2
37	той или иной	1	2
38	можно сказать что	3	2
39	на то что	4	2
40	в то же	4	2
41	и в этом	3	2
42	каждая из этих	1	1
43	здесь идет речь	2	1
44	не может не	1	1
45	и есть то	2	1
46	что в этом	1	1
47	что самый термин	1	1
48	иметь в виду	1	1
49	с первого взгляда	1	1
50	имеем в виду	2	1
51	в самом деле	2	1
52	в настоящее время	16	1
53	свидетельствует о том	1	1
54	крайней мере в	2	1
55	о том как	1	1
56	важно то что	1	1
57	обстоит дело с	1	1
58	тоже не вполне	1	1
59	но далеко не	1	1
60	ввиду того что	1	1
61	в таком случае	10	1
62	и в то	1	1
63	в одно нераздельное	1	1
64	сами по себе	2	1
65	и только на	1	1
66	совершенно ясно что	1	1
67	но когда мы	1	1
68	том или ином	2	1
69	утверждать что в	1	1
70	этот мир не	1	1
71	но и всякий	1	1
72	не указывает на	1	1
73	в том или	1	1
74	в этой области	3	1
75	в данном случае	5	1
76	не потому что	1	1
77	вовсе уже не	1	1
78	или по крайней	3	1
79	с нашей точки	1	1
80	все более и	1	1
81	друг к другу	2	1
82	не имеет никакого	2	1
83	одно нераздельное целое	1	1
84	с другой стороны	5	1
85	и в настоящее	1	1
86	смысле слова здесь	1	1
87	один и тот	2	1
88	не совпадает с	2	1
89	а в том	1	1
90	только то что	3	1
91	хотя бы например	1	1
92	не может быть	3	1
93	что даже в	1	1
94	то не только	1	1
95	но тем не	1	1
96	в то время	1	1
97	так и в	1	1
98	это и есть	2	1
99	не только не	2	1
100	не менее совершенно	1	1
101	более и более	1	1
102	и связанного с	1	1
103	нашей точки зрения	1	1
104	мы имеем в	1	1
105	но эта связь	1	1
106	самом деле если	1	1
107	что мы можем	1	1
108	и не можем	1	1
109	только тогда когда	3	1
110	и только в	1	1
111	и тот же	2	1
