N	2gram	Losev_Dial_3	Marksizm
1	точки зрения	25	34
2	может быть	13	26
3	и не	27	26
4	не может	19	24
5	с точки	14	20
6	и в	24	19
7	и его	5	19
8	таким образом	13	17
9	в этом	8	16
10	как бы	3	15
11	в процессе	1	14
12	как мы	2	13
13	прежде всего	8	13
14	как и	7	12
15	и пр	6	12
16	если мы	1	11
17	так и	5	11
18	связи с	1	11
19	и для	2	11
20	самом деле	6	10
21	в нем	3	10
22	в слове	3	10
23	ни было	1	10
24	– в	6	10
25	в самом	7	10
26	только в	5	9
27	для него	4	9
28	в результате	1	9
29	бы то	2	8
30	все же	3	8
31	не только	23	8
32	при этом	2	8
33	то ни	1	8
34	друг друга	3	8
35	до сих	1	8
36	но и	9	8
37	– это	6	8
38	сих пор	1	8
39	то что	14	8
40	во всех	1	7
41	в ее	1	7
42	точка зрения	5	7
43	но в	2	7
44	все эти	3	7
45	то же	6	7
46	бытия в	2	7
47	а не	26	7
48	в связи	1	7
49	так же	4	7
50	отнюдь не	10	6
51	кроме того	6	6
52	мы не	5	6
53	в науке	1	6
54	ничего не	17	6
55	и здесь	2	6
56	в его	2	6
57	на почве	1	6
58	в том	5	6
59	– не	7	6
60	в смысле	2	6
61	другой стороны	2	6
62	конечно не	4	5
63	по преимуществу	1	5
64	не в	3	5
65	и все	6	5
66	этот вопрос	1	5
67	ясно что	7	5
68	вовсе не	13	5
69	с другой	4	5
70	за пределы	3	5
71	именно в	2	5
72	мы знаем	3	5
73	и потому	2	5
74	хотя бы	4	5
75	во всяком	2	5
76	науку об	1	4
77	вопрос о	5	4
78	и на	3	4
79	нет и	4	4
80	чем же	1	4
81	не будет	3	4
82	было бы	5	4
83	не менее	11	4
84	по себе	20	4
85	в отношении	1	4
86	в единство	1	4
87	в ней	2	4
88	– и	4	4
89	еще не	2	4
90	только на	7	4
91	это –	16	4
92	от того	4	4
93	для того	3	4
94	далеко не	1	4
95	как же	5	4
96	с этим	3	4
97	в данном	2	4
98	что же	11	4
99	слово –	2	4
100	в условиях	2	4
101	тот же	1	4
102	а в	2	4
103	между ними	1	4
104	и эта	1	4
105	сказать что	4	4
106	что в	7	4
107	на самом	1	3
108	он может	1	3
109	и есть	16	3
110	не имеют	2	3
111	высшей степени	1	3
112	на науку	1	3
113	а как	1	3
114	в сущности	10	3
115	в истории	4	3
116	целый ряд	2	3
117	и как	8	3
118	и к	5	3
119	в первом	2	3
120	в которой	1	3
121	к другому	1	3
122	в корне	1	3
123	но все	1	3
124	его в	1	3
125	он не	5	3
126	том что	8	3
127	эта последняя	1	3
128	и ее	3	3
129	не становится	1	3
130	в котором	1	3
131	место в	1	3
132	в то	5	3
133	– все	3	3
134	не имеет	11	3
135	же время	3	3
136	этом отношении	1	3
137	не могут	4	3
138	же самое	1	3
139	должны быть	3	3
140	не есть	54	3
141	и это	4	3
142	не существует	10	3
143	только при	1	3
144	– то	1	3
145	есть объект	4	3
146	можно сказать	1	3
147	здесь в	1	3
148	и следовательно	2	3
149	того что	12	3
150	быть и	3	3
151	одной из	1	3
152	из них	3	3
153	в систему	1	3
154	момент в	1	3
155	или иной	4	3
156	в каком	3	3
157	не было	3	3
158	все это	6	3
159	и формы	2	3
160	слова и	1	3
161	и от	3	3
162	нет ничего	9	3
163	сознания и	4	3
164	пр в	1	3
165	он –	7	3
166	слово в	2	3
167	и при	1	3
168	совершенно не	2	3
169	они еще	1	3
170	это и	7	3
171	и логикой	1	2
172	ту же	1	2
173	нем нет	1	2
174	же как	2	2
175	все остальное	4	2
176	или к	2	2
177	по которым	1	2
178	мы уже	3	2
179	той же	3	2
180	не приходится	1	2
181	таком случае	10	2
182	и становление	1	2
183	зависимости от	3	2
184	и он	2	2
185	первый план	4	2
186	в чем	4	2
187	то мы	1	2
188	себе и	1	2
189	не просто	18	2
190	сама по	4	2
191	в одной	3	2
192	как к	1	2
193	в своем	3	2
194	суть законы	1	2
195	однако не	2	2
196	от этого	1	2
197	то в	2	2
198	или процесс	2	2
199	бы и	1	2
200	из этих	2	2
201	в себе	2	2
202	на стадии	2	2
203	если он	1	2
204	тем не	10	2
205	он ни	1	2
206	должна быть	6	2
207	не как	1	2
208	одной и	1	2
209	из него	1	2
210	может существовать	2	2
211	от нее	1	2
212	что все	14	2
213	не сможет	1	2
214	и с	6	2
215	бы в	2	2
216	– как	3	2
217	ни в	9	2
218	от него	1	2
219	жизни но	1	2
220	должно быть	3	2
221	лучше всего	1	2
222	на первый	4	2
223	имеет место	1	2
224	или вообще	1	2
225	общества и	1	2
226	первым и	1	2
227	и той	1	2
228	точку зрения	1	2
229	и более	1	2
230	формами и	1	2
231	тому что	4	2
232	что такое	21	2
233	и сама	5	2
234	в основе	3	2
235	следовательно и	2	2
236	одна из	3	2
237	и является	2	2
238	ни из	1	2
239	точке зрения	1	2
240	у нас	4	2
241	от их	1	2
242	ни о	3	2
243	бытие –	2	2
244	нет ни	2	2
245	могут быть	2	2
246	к тому	4	2
247	она не	3	2
248	диалектического материализма	1	2
249	с ее	1	2
250	в виду	7	2
251	и та	1	2
252	другими словами	7	2
253	же –	1	2
254	нет никакой	4	2
255	как с	2	2
256	никогда не	7	2
257	то как	2	2
258	с первым	2	2
259	мог бы	1	2
