N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	24
2	не только	16	21
3	что он	1	21
4	этих случаях	1	16
5	может быть	17	14
6	не может	4	14
7	что в	9	13
8	в этих	3	13
9	мы имеем	7	12
10	как в	5	12
11	в этом	8	12
12	и здесь	2	12
13	но и	9	11
14	это не	2	10
15	том что	9	10
16	и что	3	10
17	у него	1	10
18	мы видим	1	10
19	а в	13	10
20	с другой	7	9
21	не в	7	9
22	о том	1	9
23	потому что	3	9
24	и другие	2	9
25	то же	7	8
26	еще не	4	8
27	что и	2	8
28	так как	1	8
29	другой стороны	5	8
30	а не	9	8
31	все это	2	8
32	или в	3	8
33	во всех	1	7
34	то что	3	7
35	таким образом	3	7
36	с собой	1	7
37	к нему	1	7
38	один из	2	7
39	в том	16	7
40	вместе с	2	7
41	он показывает	1	6
42	что это	1	6
43	но не	9	6
44	в нем	4	6
45	он не	3	6
46	об этом	2	6
47	как и	4	6
48	а именно	2	6
49	того что	4	6
50	только в	6	6
51	тем что	1	6
52	так же	2	6
53	в чем	1	5
54	с одной	2	5
55	отношение к	5	5
56	но в	9	5
57	имеем в	3	5
58	право на	1	5
59	что она	2	5
60	здесь мы	1	5
61	не менее	4	5
62	в русской	6	5
63	дело не	2	5
64	так и	10	5
65	одной стороны	2	5
66	тот кто	2	5
67	героя и	5	5
68	же как	1	4
69	начинается с	1	4
70	представляет собой	9	4
71	первый взгляд	1	4
72	как бы	5	4
73	при этом	12	4
74	на первый	1	4
75	точки зрения	9	4
76	в их	2	4
77	своего рода	7	4
78	тем не	3	4
79	по существу	1	4
80	никогда не	4	4
81	так в	4	4
82	на вопрос	1	4
83	после того	1	4
84	вовсе не	3	4
85	ее на	1	4
86	если не	1	4
87	в данном	8	4
88	за него	1	4
89	и не	13	4
90	одной из	2	4
91	например в	1	3
92	не вполне	2	3
93	с его	5	3
94	герой не	3	3
95	тогда как	15	3
96	что они	1	3
97	хотя и	3	3
98	из этих	3	3
99	на то	1	3
100	если он	1	3
101	и по	2	3
102	его в	2	3
103	в них	2	3
104	и становится	1	3
105	вопрос о	1	3
106	в конце	2	3
107	как мы	1	3
108	не все	3	3
109	и его	8	3
110	связи с	1	3
111	данном случае	5	3
112	не столько	1	3
113	еще одна	1	3
114	это происходит	1	3
115	в качестве	24	3
116	чаще всего	1	3
117	так что	1	3
118	не случайно	5	3
119	в другой	1	3
120	и даже	2	3
121	превратилась в	1	3
122	превращается в	2	3
123	происходит в	1	3
124	обращается к	2	3
125	с ней	1	3
126	ее в	2	3
