N	2gram	Potebnia_M_4	Komedia
1	и в	23	26
2	и не	18	14
3	и его	2	12
4	к тому	3	12
5	так и	6	12
6	может быть	26	11
7	в том	23	11
8	в этом	23	10
9	но и	11	10
10	столь же	2	9
11	том что	12	9
12	если бы	13	9
13	вместе с	6	9
14	что в	17	9
15	ясно что	1	8
16	было бы	8	8
17	и на	3	7
18	не только	10	7
19	что и	7	7
20	из них	1	7
21	еще не	3	6
22	в своем	8	6
23	о том	8	6
24	в нем	7	6
25	таким образом	24	6
26	в то	4	6
27	того чтобы	4	6
28	потому что	33	6
29	и здесь	2	6
30	в двух	2	6
31	во время	2	6
32	то что	29	6
33	в которой	6	5
34	что он	4	5
35	так что	5	5
36	в истории	4	5
37	независимо от	6	5
38	с этим	7	5
39	для того	6	5
40	на основании	4	5
41	с тем	7	5
42	и с	4	5
43	один из	2	5
44	в качестве	1	5
45	б и	1	4
46	уже в	5	4
47	меньше всего	1	4
48	более чем	3	4
49	хотя и	5	4
50	в самом	3	4
51	что это	7	4
52	из этих	2	4
53	это было	2	4
54	в них	3	4
55	как и	14	4
56	в этих	3	4
57	тому что	2	4
58	не менее	5	4
59	не по	1	4
60	с и	2	4
61	судя по	2	4
62	это слово	4	4
63	как будто	1	4
64	как мы	2	4
65	что у	3	4
66	можно было	2	4
67	его в	4	4
68	между тем	9	4
69	в его	5	4
70	только в	15	4
71	же в	1	4
72	так как	14	4
73	у него	1	4
74	на этот	2	4
75	прежде всего	1	4
76	в руках	1	4
77	в частности	1	4
78	как это	1	4
79	все же	1	4
80	и для	2	4
81	одной из	1	4
82	точки зрения	4	4
83	речь идет	1	3
84	например в	3	3
85	в котором	4	3
86	то же	14	3
87	в их	1	3
88	той же	3	3
89	надо было	1	3
90	вопрос о	2	3
91	того же	1	3
92	это время	1	3
93	в ней	2	3
94	что его	2	3
95	во всех	1	3
96	но не	1	3
97	по отношению	10	3
98	как в	7	3
99	но в	8	3
100	так или	2	3
101	в этой	1	3
102	друг другу	1	3
103	но все	1	3
104	человека в	2	3
105	в каждом	3	3
106	но если	1	3
107	не имеет	5	3
108	того как	6	3
109	в самой	2	3
110	же время	3	3
111	связи с	3	3
112	что на	2	3
113	и сам	1	3
114	то время	1	3
115	в образе	2	3
116	и поэтому	1	3
117	к нему	5	3
118	а у	1	3
119	тех пор	6	3
120	дело с	1	3
121	и их	3	3
122	никто не	2	3
123	представить себе	2	3
124	друг друга	2	3
125	мы можем	10	3
126	тем что	10	3
127	даже не	2	3
128	или иначе	2	3
129	здесь в	1	3
130	не было	12	3
131	в связи	1	3
132	из которых	2	3
133	отношению к	8	3
134	да и	4	3
135	войны и	1	3
136	все это	5	3
137	мы найдем	1	3
138	или в	1	3
139	для нас	14	3
140	а в	5	3
141	до тех	6	3
142	в своей	1	3
143	жизни и	1	3
144	по поводу	4	3
145	том числе	1	3
146	не может	11	3
147	также что	1	2
148	и т	7	2
149	одним из	1	2
150	а из	1	2
151	только потому	4	2
152	и есть	3	2
153	в первом	3	2
154	и за	1	2
155	мы имеем	4	2
156	мы не	8	2
157	говорить о	5	2
158	не вполне	2	2
159	то это	8	2
160	в виду	3	2
161	меньше чем	1	2
162	есть для	5	2
163	в ее	2	2
164	силу этого	1	2
165	отличие от	1	2
166	ведь мы	1	2
167	человеку и	1	2
168	и я	2	2
169	идет о	1	2
170	что по	2	2
171	имеет в	2	2
172	в действительности	3	2
173	и хотя	3	2
174	то ли	1	2
175	с той	1	2
176	бы и	5	2
177	сказать о	1	2
178	в нашем	2	2
179	по которым	1	2
180	в греции	1	2
181	роль в	1	2
182	и если	3	2
183	что она	2	2
184	не следует	2	2
185	всех остальных	4	2
186	он не	2	2
187	и еще	1	2
188	в силу	7	2
189	что ни	1	2
190	на этом	1	2
191	об этом	2	2
192	второй половины	1	2
193	в глазах	2	2
194	это не	7	2
195	в это	2	2
