N	3gram	Losev_Vesc_1	Psycholo
1	в самом деле	4	18
2	на то что	2	12
3	в том что	4	11
4	и в самом	1	10
5	с точки зрения	3	9
6	то же самое	1	8
7	для того чтобы	2	8
8	мы видим что	1	7
9	все то что	1	6
10	заключается в том	1	6
11	до сих пор	1	5
12	с одной стороны	3	5
13	с другой стороны	2	5
14	и т д	19	4
15	о котором я	1	3
16	и то и	1	3
17	и то что	3	3
18	она должна быть	1	3
19	о том что	4	3
20	с и в	1	3
21	то и другое	4	3
22	о том как	1	2
23	заключается не в	1	2
24	и во всех	1	2
25	только то что	2	2
26	была бы совершенно	1	2
27	вместе с тем	1	2
28	не то что	1	2
29	одно и то	4	2
30	то время как	1	2
31	и заставляет нас	1	2
32	в данном случае	2	2
33	и как бы	1	2
34	и то же	4	2
35	не в том	1	2
36	во всяком случае	2	2
37	что у него	1	2
38	потому что они	3	2
39	мы видели что	1	2
40	мы не можем	1	2
41	в то время	1	2
42	в свою очередь	4	2
43	к тому что	2	2
44	в том смысле	1	2
45	всякий знает что	1	1
46	а не к	1	1
47	таким образом что	1	1
48	как не в	1	1
49	от всех прочих	3	1
50	того что в	1	1
51	ясно что смысл	1	1
52	это было бы	1	1
53	более или менее	1	1
54	и как раз	1	1
55	но это только	1	1
56	котором я говорю	1	1
57	она могла бы	2	1
58	то что является	1	1
59	в ней есть	1	1
60	как раз к	2	1
61	но если вы	2	1
62	в зависимости от	1	1
63	что мы воспринимаем	1	1
64	в этом отношении	1	1
65	что не только	1	1
66	с тем что	1	1
67	смысл не только	1	1
68	кроме того что	1	1
69	можно было бы	1	1
70	и здесь мы	1	1
71	которой ничего не	1	1
72	в основе своей	2	1
73	она может быть	2	1
74	с этой точки	1	1
75	в одном и	1	1
76	в применении к	1	1
77	так как она	1	1
78	не потому что	4	1
79	что это есть	3	1
80	тот же самый	1	1
81	вовсе не какой-нибудь	1	1
82	в той же	1	1
83	на это я	1	1
84	я только что	1	1
85	и ничего не	1	1
86	есть в основе	1	1
87	видно уже из	1	1
88	это не есть	1	1
89	ни от кого	1	1
90	самом деле в	1	1
91	не мог бы	1	1
92	этой точки зрения	1	1
93	что то же	1	1
94	и когда она	2	1
95	а в том	1	1
96	с но и	1	1
97	по сравнению с	6	1
98	том смысле что	1	1
99	в том чтобы	1	1
100	и что она	1	1
101	что в ней	1	1
102	хотя бы в	2	1
103	таким же точно	1	1
104	и что это	1	1
105	не только не	2	1
106	и что все	1	1
107	не есть еще	2	1
108	но тот же	1	1
109	можно сказать что	3	1
110	каждой из них	1	1
111	если бы я	2	1
112	с которой мы	1	1
113	на действительность и	2	1
114	ли это что	3	1
115	так что в	3	1
116	потому что она	1	1
117	не только то	1	1
118	не может быть	6	1
119	на то чтобы	1	1
120	она не может	2	1
121	подобно тому как	4	1
122	есть все то	1	1
123	как раз в	1	1
