N	4gram	Bakhtin_Pr_4	Tvorches
1	в то же время	5	12
2	но в то же	2	4
3	дело в том что	1	3
4	в преступлении и наказании	2	3
5	в сне смешного человека	1	2
6	степанчиково и его обитатели	1	1
7	мы имеем в виду	3	1
8	в художественном мире достоевского	1	1
9	в романах достоевского в	1	1
10	на самом же деле	1	1
11	в этом романе и	1	1
12	рассматривать в связи с	1	1
13	на пороге у дверей	1	1
14	и в других романах	1	1
15	село степанчиково и его	1	1
16	в других романах достоевского	1	1
17	как в сне смешного	1	1
18	и в то же	1	1
19	на том или другом	1	1
20	с самим собой в	1	1
