N	3gram	Medvedev_V_1	Analitik
1	не может быть	8	16
2	в том что	5	9
3	в то же	5	8
4	в том чтобы	2	7
5	то же время	5	6
6	той или иной	1	6
7	по отношению к	7	5
8	мы имеем дело	1	4
9	большей или меньшей	3	4
10	и не может	2	4
11	в конечном счете	5	4
12	к тому же	1	4
13	о том что	3	3
14	в той или	1	3
15	подобно тому как	2	3
16	в том числе	2	3
17	того или иного	1	3
18	в таком случае	1	3
19	и т п	9	3
20	для того чтобы	3	3
21	с одной стороны	2	3
22	имеем дело с	1	3
23	не в том	2	3
24	том или ином	1	3
25	нет и не	1	2
26	в самом деле	1	2
27	то же самое	1	2
28	именно в этом	1	2
29	сами по себе	1	2
30	но и в	1	2
31	в этом отношении	13	2
32	в данном случае	1	2
33	но в то	1	2
34	не могут быть	1	2
35	с другой стороны	8	2
36	в том или	1	2
37	в творческом акте	1	2
38	могут быть причислены	1	1
39	не требуется чтобы	1	1
40	в художественном творчестве	5	1
41	в виду не	1	1
42	себя свою душу	1	1
43	следует понимать как	2	1
44	оно может быть	1	1
45	оказывается далеко не	1	1
46	более или менее	6	1
47	по меньшей мере	1	1
48	равно как и	4	1
49	имеем в виду	1	1
50	также и в	2	1
51	в соответствии с	1	1
52	и в качестве	1	1
53	о том как	3	1
54	можно утверждать что	3	1
55	следует смешивать с	1	1
56	только в том	2	1
57	до сих пор	1	1
58	говоря уже о	1	1
59	том случае если	1	1
60	в зависимости от	5	1
61	того что мы	1	1
62	вынести за скобки	2	1
63	в том случае	1	1
64	как это происходит	1	1
65	превращать ее в	1	1
66	том числе и	2	1
67	однако при всем	1	1
68	еще не означает	1	1
69	в частности к	1	1
70	в противном случае	2	1
71	и служит для	1	1
72	по себе в	1	1
73	с этой точки	1	1
74	по крайней мере	2	1
75	как если бы	1	1
76	то или иное	1	1
77	взаимодействует с другими	1	1
78	вместе с тем	3	1
79	одно и то	1	1
80	любой из которых	1	1
81	в его противопоставлении	1	1
82	с другими как	1	1
83	или ином отношении	1	1
84	не только в	2	1
85	в художественном произведении	4	1
86	и то же	1	1
87	в свою очередь	1	1
88	как будто бы	1	1
89	не обходится в	1	1
90	обычно относят к	1	1
91	в большей или	2	1
92	хотя бы с	1	1
93	или меньшей степени	2	1
94	все же не	1	1
95	представляет собою не	1	1
96	быть сведена к	1	1
97	во всяком случае	1	1
98	этой точки зрения	2	1
99	в целом но	1	1
100	а вместе с	1	1
101	произведения так и	1	1
102	еще в году	1	1
103	по аналогии с	1	1
104	и вместе с	1	1
105	это происходит в	1	1
106	может быть сведена	1	1
107	и следовало ожидать	1	1
108	только тогда когда	1	1
109	в этом смысле	1	1
110	не следует смешивать	1	1
111	в связи с	3	1
112	к тому что	3	1
113	мы встречаемся с	1	1
114	всего может быть	1	1
115	дело не в	1	1
116	или говоря иначе	1	1
117	в том же	1	1
118	не говоря уже	1	1
