N	2gram	Bakhtin_Pr_2	BTomashe
1	у нас	2	3
2	и не	29	2
3	можно было	3	2
4	видеть в	1	2
5	все это	5	2
6	не то	1	2
7	во всяком	2	1
8	его функцией	1	1
9	с другой	4	1
10	вопрос о	2	1
11	совершенно не	4	1
12	в своей	4	1
13	художественного произведения	1	1
14	по крайней	1	1
15	между ними	4	1
16	всяком случае	1	1
17	и о	2	1
18	следовало бы	1	1
19	до конца	4	1
20	и ее	3	1
21	не укладывается	3	1
22	на которой	1	1
23	и в	43	1
24	так и	3	1
25	за пределы	3	1
26	крайней мере	1	1
27	стоит на	1	1
28	стиля и	1	1
29	формализма и	1	1
30	не о	1	1
31	установка на	4	1
32	об этом	2	1
33	что все	1	1
34	же не	4	1
35	пожалуй и	2	1
36	и нет	4	1
37	не было	1	1
38	и во	1	1
39	должна быть	3	1
40	признать его	1	1
41	кроме того	3	1
42	было бы	5	1
43	не признать	1	1
44	одной из	1	1
45	далеко не	4	1
46	и потому	1	1
47	в пределах	16	1
48	нет но	2	1
49	в значительной	1	1
50	никак не	5	1
51	понимания художественной	1	1
52	все же	3	1
53	о них	1	1
54	произведении что	1	1
55	как первый	1	1
56	в книге	1	1
57	говорить не	1	1
58	прежде всего	10	1
59	что в	4	1
60	таким образом	5	1
61	всего в	1	1
62	но автор	1	1
63	можно в	1	1
64	еще не	9	1
65	как будто	1	1
66	в речи	5	1
67	не только	11	1
68	не следует	1	1
69	и на	10	1
70	еще лучше	1	1
71	на самом	1	1
72	другой стороны	3	1
73	из своей	1	1
74	ведет по	1	1
75	нельзя не	1	1
76	значительной степени	1	1
77	тем более	1	1
78	а не	7	1
