N	2gram	Tiupa_Narr_1	DiskursI
1	в качестве	21	34
2	не только	32	28
3	в том	18	23
4	литературных жанров	1	22
5	а не	12	22
6	то есть	19	20
7	тогда как	12	19
8	том что	14	19
9	представляет собой	13	17
10	может быть	25	17
11	как и	7	16
12	и в	19	16
13	в этом	17	15
14	еще не	7	14
15	коммуникативного события	12	14
16	но и	23	14
17	при этом	9	13
18	речевых жанров	4	12
19	и т.п	8	12
20	речевого общения	1	12
21	по своей	3	11
22	но не	5	11
23	прежде всего	4	11
24	и не	20	11
25	как в	7	10
26	далеко не	5	10
27	с другой	8	10
28	по отношению	7	9
29	в нем	4	9
30	не может	10	9
31	состоит в	13	9
32	с одной	7	9
33	одной стороны	7	9
34	в частности	14	9
35	отношению к	6	9
36	речевой жанр	1	8
37	отнюдь не	5	8
38	но в	6	8
39	своего рода	12	8
40	о том	6	8
41	так и	9	8
42	а также	7	8
43	не было	2	7
44	в себе	8	7
45	то же	4	7
46	не в	14	7
47	в основе	5	7
48	роль в	2	7
49	со стороны	9	7
50	в его	9	7
51	только в	4	7
52	высказывания в	6	6
53	в своем	2	6
54	пока еще	4	6
55	литературные жанры	3	6
56	жанр в	1	6
57	и как	5	6
58	и на	3	5
59	во всех	1	5
60	отличие от	5	5
61	в рамках	12	5
62	коммуникативной ситуации	2	5
63	тому же	5	5
64	в силу	4	5
65	художественного дискурса	2	5
66	в котором	1	5
67	в их	1	5
68	в отличие	5	5
69	композиции по	1	5
70	в процессе	1	5
71	по стилю	1	5
72	в себя	6	5
73	сводится к	3	5
74	коммуникативное событие	3	5
75	или иной	5	5
76	можно сказать	5	5
77	а с	3	5
78	дискурса и	1	5
79	по теме	1	5
80	в данном	5	5
81	как бы	4	5
82	по композиции	1	5
83	к тому	7	5
84	теме по	1	5
85	а в	11	5
86	то что	11	5
87	в нарративном	2	4
88	в которых	1	4
89	с его	6	4
90	отношение к	2	4
91	о.м фрейденберг	3	4
92	форма авторства	2	4
93	и к	1	4
94	уже не	5	4
95	в целом	1	4
96	определена как	1	4
97	в притче	3	4
98	претендует на	1	4
99	на его	1	4
100	не как	2	4
101	лишь в	1	4
102	блудном сыне	1	4
103	в них	1	4
104	своей коммуникативной	1	4
105	потому что	1	4
106	могут быть	3	4
107	для себя	1	4
108	по сути	2	4
109	сказания и	1	4
110	о блудном	1	4
111	писал бахтин	1	4
112	и т.д	7	4
113	внимание на	1	4
114	же время	4	4
115	между тем	3	4
116	во втором	4	4
117	как правило	4	4
118	одной из	4	4
119	что он	6	4
120	жанровая форма	1	4
121	для него	2	4
122	в особенности	4	4
123	не обязательно	3	4
124	что не	4	4
125	связи с	4	4
126	такого рода	7	4
127	не является	8	4
128	не предполагает	5	4
129	что в	3	4
130	по бахтину	3	4
131	также и	1	3
132	того же	1	3
133	и потому	2	3
134	значении этого	3	3
135	в первом	3	3
136	сказание как	1	3
137	жанров в	1	3
138	столь же	3	3
139	коммуникативная стратегия	1	3
140	той или	4	3
141	художественной словесности	1	3
142	перед нами	4	3
143	в самом	1	3
144	человеческого сознания	1	3
145	из жизни	1	3
146	от мифа	2	3
147	нарративный дискурс	5	3
148	зрения на	2	3
149	это не	2	3
150	по мысли	3	3
151	события рассказывания	5	3
152	общения с	1	3
153	и того	1	3
154	точки зрения	10	3
155	в ходе	1	3
156	самого рассказывания	1	3
157	в сказке	1	3
158	жанр это	1	3
159	ситуацией высказывания	1	3
160	однако в	2	3
161	бы быть	3	3
162	нарративного дискурса	9	3
163	жанры как	2	3
164	по себе	5	3
165	о событиях	1	3
166	в то	3	3
167	принадлежат к	1	3
168	речевыми жанрами	1	3
169	ситуации рассказывания	2	3
170	качестве дискурса	1	3
171	таким образом	1	3
172	они и	1	3
173	в ситуации	1	3
174	предметом целью	1	3
175	как не	1	3
176	свою очередь	3	3
177	в ее	3	3
178	в произведении	3	3
179	времени и	7	3
180	не с	3	3
181	и даже	3	3
182	картина мира	5	3
183	определяется предметом	1	3
184	рассказывания а	2	3
185	по слову	1	3
186	значении термина	1	3
187	что и	1	3
188	существенную роль	1	3
189	дискурс в	2	3
190	не сводится	2	3
191	с.с аверинцева	2	3
192	хотя бы	4	3
193	рассказывания в	2	3
194	являет собой	2	3
195	различного рода	3	3
196	в сказании	2	3
197	из них	3	3
198	тем что	3	3
199	именно в	6	3
200	очевидным образом	2	3
201	при всей	4	3
202	имеет место	4	3
203	себе не	2	3
204	мира в	5	3
205	к содержанию	3	3
206	в акте	1	3
207	неотделимо от	1	3
208	сказания или	4	3
209	ван дейк	1	3
210	по своему	1	3
211	для обозначения	1	3
212	тому как	2	3
213	того что	1	3
214	и ситуацией	1	3
215	один из	3	3
216	все же	7	3
217	мира которая	1	3
218	как уже	1	3
219	быть определена	1	3
220	целью и	1	3
221	в свою	3	3
222	сказать что	4	3
223	другой стороны	4	3
224	в действительности	1	3
225	дискурс не	1	3
226	отношения к	2	2
227	одним из	2	2
228	например в	2	2
229	сценарием сюжетом	1	2
230	свидетель и	3	2
231	и есть	1	2
232	к сыну	1	2
233	к другому	2	2
234	к нарратологическому	1	2
235	едва ли	1	2
236	процессов состояний	1	2
237	в году	1	2
238	мифологические тексты	1	2
239	персонажем сценарием	1	2
240	притча анекдот	1	2
241	сказания это	2	2
242	мы имеем	2	2
243	благодаря связи	2	2
244	преданий о	1	2
