N	2gram	Voloshinov_1	Retstnzi
1	не может	8	4
2	и в	13	3
3	в.в виноградова	14	3
4	в.в виноградов	20	2
5	общения и	2	2
6	социального общения	6	2
7	один из	1	2
8	нуждаются в	1	1
9	социальной борьбы	1	1
10	неполно и	1	1
11	то же	4	1
12	произведения но	2	1
13	не из	1	1
14	в системе	1	1
15	в ней	2	1
16	и истории	2	1
17	школе фосслера	1	1
18	о литературе	1	1
19	может быть	8	1
20	сил которые	1	1
21	самых первых	1	1
22	литературного языка	2	1
23	в выборе	4	1
24	и не	8	1
25	этой проблемы	2	1
26	в его	7	1
27	виноградова при	1	1
28	абстрактного объективизма	10	1
29	в лингвистике	2	1
30	организующих сил	1	1
31	подхода к	1	1
32	это направление	1	1
33	может и	1	1
34	и предварительно	1	1
35	связи с	1	1
36	школе соссюра	2	1
37	формального метода	1	1
38	этого общения	1	1
39	ставить в	1	1
40	школы фосслера	1	1
41	границ поэтики	1	1
42	не только	6	1
43	с точки	5	1
44	в каждом	4	1
45	не менее	2	1
46	для него	2	1
47	ни один	3	1
48	направления абстрактного	1	1
49	если бы	2	1
50	и лингвистики	2	1
51	поэтики и	2	1
52	тому что	1	1
53	в школе	4	1
54	при анализе	3	1
55	и социальной	1	1
56	литературного произведения	2	1
57	нет и	1	1
58	виноградовым методы	1	1
59	фосслера и	1	1
60	к тому	2	1
61	в особенности	1	1
62	разных категорий	1	1
63	несмотря на	2	1
64	и все	3	1
65	именно с	1	1
66	в то	1	1
67	в.в виноградовым	3	1
68	бы в	2	1
69	обратное явление	1	1
70	художественного произведения	5	1
71	социально-иерархического взаимоотношения	1	1
72	языка как	3	1
73	но и	3	1
74	вполне понятно	4	1
75	быть подхода	1	1
76	точки зрения	7	1
77	в выводах	1	1
78	анализе именно	1	1
79	не смог	1	1
80	художественных категорий	1	1
81	мы видим	2	1
82	и должно	2	1
83	в языке	2	1
84	же время	1	1
85	событий и	1	1
86	виноградова в	1	1
87	а не	2	1
