N	2gram	Propp_Morf_1	Freidism
1	таким образом	21	24
2	и не	12	23
3	не может	14	20
4	точки зрения	2	19
5	прежде всего	9	18
6	в его	1	15
7	в этом	14	15
8	и пр	37	15
9	с помощью	1	14
10	мы можем	2	13
11	может быть	52	13
12	и его	1	12
13	все эти	2	11
14	как и	3	11
15	с точки	2	11
16	то что	8	11
17	как бы	3	11
18	как мы	6	10
19	так и	6	10
20	его в	2	10
21	но в	2	10
22	самом деле	4	10
23	во всех	4	9
24	и в	13	9
25	по отношению	4	9
26	с его	2	9
27	еще не	3	8
28	отношению к	4	8
29	и все	1	8
30	в своей	1	8
31	то же	7	8
32	он не	3	8
33	только в	2	8
34	не только	4	8
35	так как	16	8
36	что он	4	8
37	и наконец	1	7
38	во всяком	2	7
39	к нему	3	7
40	те же	1	7
41	что же	2	7
42	отношение к	1	7
43	сказать что	2	7
44	один из	5	7
45	всяком случае	2	7
46	мы уже	1	7
47	ни в	1	7
48	и с	1	6
49	вовсе не	4	6
50	хотя бы	4	6
51	для него	1	6
52	совершенно не	1	6
53	того что	3	6
54	точку зрения	1	6
55	и ее	3	6
56	можно сказать	2	5
57	в этой	2	5
58	что в	8	5
59	в большинстве	3	5
60	не в	3	5
61	но мы	3	5
62	а в	7	5
63	мы должны	3	5
64	он сам	1	5
65	на самом	4	5
66	но и	4	5
67	могут быть	16	5
68	что такое	3	5
69	в чем	1	5
70	с этим	11	5
71	для того	2	5
72	и на	1	5
73	в то	3	5
74	и к	4	5
75	в каком	2	5
76	большинстве случаев	3	5
77	в которой	3	4
78	все же	7	4
79	данном случае	1	4
80	в собственном	3	4
81	говорить о	3	4
82	при этом	1	4
83	и для	2	4
84	мы находим	1	4
85	не менее	5	4
86	как раз	1	4
87	мы не	8	4
88	того чтобы	3	4
89	не дает	1	4
90	потому что	3	4
91	смысле слова	4	4
92	совсем не	3	4
93	но не	4	4
94	между ними	1	4
95	в следующей	1	4
96	в этих	13	4
97	из этих	1	4
98	с другими	1	4
99	то ни	3	4
100	на основании	1	4
101	в последнем	2	4
102	и за	2	4
103	уже не	2	4
104	об этом	4	4
105	в основе	1	4
106	с ними	1	4
107	и др	10	4
108	от того	3	4
109	связанные с	1	4
110	в таком	1	4
111	себя и	2	4
112	к тому	4	4
113	на этом	3	4
114	с самого	1	4
115	если мы	5	4
116	в пределах	3	4
117	этот вопрос	2	4
118	во время	6	4
119	в данном	1	4
120	такие же	1	3
121	главным образом	4	3
122	приводит к	2	3
123	и вот	1	3
124	бы то	3	3
125	случае не	3	3
126	на другие	2	3
127	учение о	3	3
128	и тот	1	3
129	в себе	1	3
130	главе мы	1	3
131	не знает	1	3
132	нисколько не	1	3
133	в голову	1	3
134	ничего общего	1	3
135	и может	1	3
136	таком случае	1	3
137	где оно	2	3
138	конечно в	1	3
139	очень важный	1	3
140	собственном смысле	3	3
141	между двумя	1	3
142	как в	3	3
143	и этим	5	3
144	ее в	1	3
145	именно и	1	3
146	сказать о	2	3
147	и она	1	3
148	он был	1	3
149	мы имеем	9	3
150	по своему	2	3
151	в них	1	3
152	одна из	4	3
153	у него	1	3
154	такой же	1	3
155	не могут	4	3
156	и что	2	3
157	она не	2	3
158	тому что	4	3
159	но ведь	1	3
160	на него	3	3
161	со всеми	1	3
162	на этот	1	3
163	себя в	1	3
164	и есть	2	3
165	и по	2	3
166	с ее	1	3
167	не является	3	3
168	со стороны	3	3
169	если бы	2	3
170	было бы	3	3
171	и как	5	3
172	самого начала	1	3
173	но это	6	3
174	во втором	3	3
175	они и	3	2
176	его рождения	1	2
177	из этой	1	2
178	для всех	1	2
179	или иное	1	2
180	что бы	1	2
181	когда мы	1	2
182	очень много	1	2
183	самого себя	2	2
184	для нас	2	2
185	таких случаях	2	2
186	из них	3	2
187	в другом	2	2
188	в него	1	2
189	должны быть	1	2
190	тех же	4	2
191	и ни	1	2
192	так же	3	2
193	как на	1	2
194	в этот	1	2
195	это уже	3	2
196	только на	1	2
197	них не	1	2
198	лежат в	1	2
199	ни было	2	2
200	значение для	1	2
201	только о	1	2
202	сих пор	1	2
203	в какой	3	2
204	его и	2	2
205	дает нам	1	2
206	что это	1	2
207	и другие	6	2
208	до сих	1	2
209	в области	1	2
210	как это	3	2
211	которые он	1	2
212	всех других	1	2
213	а потому	1	2
214	и становится	1	2
215	в нашем	3	2
216	ответ на	1	2
217	не можем	1	2
218	всех людей	1	2
219	но все	3	2
220	для нее	1	2
221	нами выше	1	2
222	этого не	2	2
223	между собой	4	2
224	как не	1	2
225	в таких	2	2
226	и притом	1	2
227	в нашей	1	2
228	но если	7	2
229	этом отношении	1	2
230	но как	2	2
231	высшей степени	1	2
232	по всему	2	2
233	в момент	1	2
234	дело не	2	2
235	они не	1	2
236	в совершенно	1	2
237	чаще всего	7	2
238	на которой	1	2
239	отличие от	1	2
240	это и	2	2
241	можно сделать	2	2
242	в самых	2	2
243	в мифах	1	2
244	вспомнить о	1	2
245	в глаза	2	2
246	оно не	2	2
247	теми же	1	2
248	а с	2	2
249	в первом	3	2
250	и таким	2	2
251	и даже	1	2
252	тем не	5	2
253	это утверждение	1	2
254	заметить что	8	2
255	это было	3	2
256	на работу	2	2
257	одной стороны	1	2
258	не делает	1	2
259	с этими	1	2
260	ли мы	1	2
261	не существует	3	2
262	с одной	1	2
263	в настоящей	1	2
264	наоборот мы	1	2
265	во всей	1	2
266	что и	7	2
