N	3gram	Bakhtin_sl_2	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	с самого начала	1	4
4	в чем не	2	3
5	до сих пор	2	3
6	во всяком случае	2	3
7	не может быть	15	3
8	ни в чем	2	3
9	в большинстве случаев	5	3
10	и может быть	1	2
11	в нем нет	1	2
12	не могут быть	2	2
13	в его целом	1	2
14	все то что	1	2
15	о том что	1	2
16	мы можем сказать	1	2
17	во всех его	2	2
18	несколько слов о	2	1
19	всех его многообразных	1	1
20	и связанные с	2	1
21	во всех областях	4	1
22	и др но	1	1
23	всех его моментах	1	1
24	всех областях идеологического	1	1
25	на первый план	1	1
26	как мы сказали	2	1
27	вступают в борьбу	1	1
28	в этом отношении	3	1
29	его моментах в	1	1
30	как это было	1	1
31	свой смысл и	1	1
32	рано или поздно	1	1
33	она может быть	1	1
34	со всех сторон	1	1
35	может быть только	1	1
36	все снова и	1	1
37	с одной стороны	5	1
38	может быть очень	3	1
39	областях идеологического творчества	1	1
40	в связи с	2	1
41	приемов могут быть	1	1
42	как один из	1	1
43	в применении к	1	1
44	смысл и значение	1	1
45	всяком случае не	1	1
46	с ним и	1	1
47	в них и	1	1
48	все что не	1	1
49	в том что	4	1
50	может быть при	1	1
51	и ни в	1	1
52	вместе с ним	1	1
53	мы не можем	1	1
54	только одна из	1	1
55	только для сознания	1	1
56	и связанная с	1	1
57	так и в	3	1
58	в этих областях	1	1
59	мира и общества	1	1
60	и как мы	1	1
61	в известной степени	1	1
62	лежит на границе	2	1
63	и ту же	1	1
64	снова и снова	1	1
65	для того чтобы	2	1
66	одну и ту	1	1
67	мы увидим что	1	1
68	той или иной	5	1
69	мы еще не	1	1
